plaid_primary_category,plaid_detailed_category,raylo_category,cash_flow_type,necessity,is_debt_related,risk_flag,is_recurring_income,notes
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_BNPL_AND_EWA,bnpl_or_ewa_disbursement,debt_disbursement,not_applicable,true,high_cost_credit,,FLAG - bundles BNPL with Earned Wage Access; needs merchant-name split
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_CASH_ADVANCES,cash_advance_disbursement,debt_disbursement,not_applicable,true,high_cost_credit,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_PERSONAL,personal_loan_disbursement,debt_disbursement,not_applicable,true,none,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_STUDENT,student_loan_disbursement,debt_disbursement,not_applicable,true,none,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_MORTGAGE_AND_AUTO,mortgage_auto_disbursement,debt_disbursement,not_applicable,true,none,,
LOAN_PAYMENTS,LOAN_PAYMENTS_BNPL_AND_EWA,bnpl_or_ewa_payment,debt_repayment,essential,true,high_cost_credit,,FLAG - same BNPL/EWA bundling issue as disbursement
LOAN_PAYMENTS,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,personal_loan_payment,debt_repayment,essential,true,none,,
LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,credit_card_payment,debt_repayment,essential,true,none,,
LOAN_PAYMENTS,LOAN_PAYMENTS_OTHER,loan_payment_other,debt_repayment,essential,true,none,,
LOAN_PAYMENTS,LOAN_PAYMENTS_MORTGAGE_AND_AUTO,mortgage_auto_payment,debt_repayment,essential,true,none,,same necessity as rent; is_debt_related is what distinguishes them
LOAN_PAYMENTS,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance_payment,debt_repayment,essential,true,high_cost_credit,,
LOAN_PAYMENTS,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,student_loan_payment,debt_repayment,essential,true,none,,
MEDICAL,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,pharmacy,spend,essential,false,none,,
MEDICAL,MEDICAL_OTHER_MEDICAL,medical_other,spend,essential,false,none,,
MEDICAL,MEDICAL_DENTAL_AND_VISION,dental_vision,spend,essential,false,none,,
MEDICAL,MEDICAL_PRIMARY_CARE,primary_care,spend,essential,false,none,,
OTHER,OTHER_OTHER,unclassified,unclassified,not_applicable,false,none,,genuinely unclassifiable, not a mapping gap
PERSONAL_CARE,PERSONAL_CARE_HAIR_AND_BEAUTY,hair_beauty,spend,discretionary,false,none,,
PERSONAL_CARE,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,gym_fitness,spend,discretionary,false,none,,
PERSONAL_CARE,PERSONAL_CARE_OTHER_PERSONAL_CARE,personal_care_other,spend,discretionary,false,none,,
PET_CARE_AND_SUPPLIES,PET_CARE_AND_SUPPLIES_PET_SUPPLIES,pet_supplies,spend,discretionary,false,none,,
PET_CARE_AND_SUPPLIES,PET_CARE_AND_SUPPLIES_VETERINARY_SERVICES,veterinary,spend,essential,false,none,,treated as non-optional care, consistent with medical
RENT_AND_UTILITIES,RENT_AND_UTILITIES_TELECOMMUNICATIONS,telco,spend,essential,false,none,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,energy_utility,spend,essential,false,none,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT,rent,spend,essential,false,none,,is_debt_related=false distinguishes this from mortgage_auto_payment despite same necessity
RENT_AND_UTILITIES,RENT_AND_UTILITIES_OTHER_UTILITIES,utility_other,spend,essential,false,none,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_WATER,water_utility,spend,essential,false,none,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE,internet_cable,spend,essential,false,none,,
TAX_REFUND,TAX_REFUND_TAX_REFUND,tax_refund,income,not_applicable,false,none,false,one-off annual event - must not be treated as regular income
TRANSFER_IN,TRANSFER_IN_OTHER,transfer_in_other,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_IN,TRANSFER_IN_SAVINGS,savings_transfer_in,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_IN,TRANSFER_IN_TRANSFER_IN_FROM_APPS,p2p_like_in,p2p_transfer,not_applicable,false,none,,distinct from own-account transfers - could indicate informal borrowing
TRANSFER_IN,TRANSFER_IN_CHECKS_AND_ATM,cash_deposit_in,transfer_own_accounts,not_applicable,false,none,,source of cash deposited is unobservable
TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,investment_transfer_in,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_IN,TRANSFER_IN_CHECKING,checking_transfer_in,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_OUT,TRANSFER_OUT_OTHER,transfer_out_other,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_OUT,TRANSFER_OUT_SAVINGS,savings_transfer_out,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_OUT,TRANSFER_OUT_CHECKS_AND_ATM,cash_withdrawal_out,transfer_own_accounts,not_applicable,false,none,,downstream spend of withdrawn cash is unobservable - rising share of this may itself be a signal
TRANSFER_OUT,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,p2p_like_out,p2p_transfer,not_applicable,false,none,,
TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,investment_transfer_out,transfer_own_accounts,not_applicable,false,none,,
TRANSFER_OUT,TRANSFER_OUT_CHECKING,checking_transfer_out,transfer_own_accounts,not_applicable,false,none,,
TRAVEL_AND_TRANSPORTATION,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,travel_transport_other,spend,mixed_basket,false,none,,
TRAVEL_AND_TRANSPORTATION,TRAVEL_AND_TRANSPORTATION_PUBLIC_TRANSIT,public_transit,spend,essential,false,none,,
TRAVEL_AND_TRANSPORTATION,TRAVEL_AND_TRANSPORTATION_TAXIS_AND_RIDE_SHARES,rideshare_taxi,spend,mixed_basket,false,none,,revised from discretionary - can be essential commute for those without car/transit access; needs frequency/time-of-day signal to disambiguate
TRAVEL_AND_TRANSPORTATION,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,automotive,spend,mixed_basket,false,none,,revised from essential - fuel/repair vs discretionary customization is mixed
TRAVEL_AND_TRANSPORTATION,TRAVEL_AND_TRANSPORTATION_LODGING,lodging,spend,discretionary,false,none,,leisure travel - kept distinct from mixed-basket cases as clearly discretionary in consumer context
TRAVEL_AND_TRANSPORTATION,TRAVEL_AND_TRANSPORTATION_FLIGHTS,flights,spend,discretionary,false,none,,
