row,gold_set,provider,merchant_raw,description_raw,amount,direction,gold_leaf,gold_general,review_notes,agree,native_category_raw,plaid_leaf,plaid_general,native_leaf,native_general,pipeline_leaf,pipeline_general,pipeline_tier,gold_matches_native,gold_matches_pipeline,gold_matches_native_general,gold_matches_pipeline_general,excluded_from_v3_score_self_sourced_dict
12,v3_volume,equifax,NetFlix,Netflix NETFLIX.COM            18665797172   GBR,4.99,debit,streaming,digital_subscriptions_services,Netflix subscription debit.,established,"Utilities | Internet, TV and Phone",,,broadband_tv_phone,utilities_household_bills,streaming,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,no
13,v3_volume,equifax,O2,O2,34.33,debit,mobile_phone_contract,utilities_household_bills,O2 mobile contract debit.,yes,Utilities | Mobile Phone Contracts,,,mobile_phone_contract,utilities_household_bills,mobile_phone_contract,utilities_household_bills,T4_dictionary,yes,yes,yes,yes,no
14,v3_volume,equifax,Deliveroo,"DELIVEROO (VIA APPLE PAY), ON 05-01-2024",32.63,debit,takeaway,eating_drinking_out,Deliveroo app debit.,established,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
15,v3_volume,equifax,Londis,LONDIS,5.28,debit,groceries,groceries_household_essentials,Londis is a symbol-group grocer; brief maps Spar/Nisa/Costcutter/Londis/Premier to groceries not convenience_store.,no,Shopping (Discretionary) | Newsagents and Convenience Stores,,,convenience_store,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,no,yes,yes,yes,no
16,v3_volume,equifax,Sainsbury's,SAINSBURYS S/MKTS,12.55,debit,groceries,groceries_household_essentials,Sainsbury's supermarket debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
17,v3_volume,equifax,Sky,SKY DIGITAL,169.49,debit,broadband_tv_phone,utilities_household_bills,Sky Digital debit; TV/broadband bundle not insurance.,yes,"Utilities | Internet, TV and Phone",,,broadband_tv_phone,utilities_household_bills,broadband_tv_phone,utilities_household_bills,T4_dictionary,yes,yes,yes,yes,no
18,v3_volume,equifax,Play.com,"SUMUP *PLAY BASE LTD (VIA APPLE PAY), ON 23-08-2024",1.44,debit,entertainment_other,entertainment_leisure,Override prefill software: narrative is SUMUP *PLAY BASE LTD not Play.com/Google Play. Playbase Ltd (Dover) is amusement/recreation; £1.44 card via SumUp.,established,Shopping (Discretionary) | TV and Online Shopping,,,retail_tv_online_shopping,general_retail_marketplaces,gaming_console_pc,entertainment_leisure,T4_dictionary,no,no,no,yes,no
19,v3_volume,equifax,Depop,DEPOP LIMITED DEPOP /PAYER ACC/E PH737VTI1HMGKO8300,34.67,credit,income_other_unspecified,income_other,"Depop seller-account credit; non-Amazon marketplace payout. Parent check: Depop CREDIT /PAYER ACC is marketplace proceeds, not spend. income_other_unspecified.",established,Transfers / Other | General Fashion,,,clothing_general,clothing_personal_care,marketplace_amazon,general_retail_marketplaces,T4_dictionary,no,no,no,no,no
20,v3_volume,equifax,Uber,UBER   *TRIP,16.9,debit,taxi_rideshare,transport_motoring,Uber *TRIP debit.,yes,Commuting and travel | Taxis,,,taxi_rideshare,transport_motoring,taxi_rideshare,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
21,v3_volume,equifax,DVLA,DVLA-RL64KEL,16.62,debit,road_tax,transport_motoring,DVLA debit with vehicle registration; VED.,established,Automotive | Road Tax,,,road_tax,transport_motoring,road_tax,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
22,v3_volume,equifax,OVO Energy,OVO Energy OVO ENERGY             BRISTOL       GBR,10.0,debit,energy,utilities_household_bills,OVO Energy debit.,established,Utilities | Energy Providers,,,energy,utilities_household_bills,energy,utilities_household_bills,T4_dictionary,yes,yes,yes,yes,no
23,v3_volume,equifax,Paypal,PAYPAL PAYMENT,3.99,debit,payment_intermediary,general_retail_marketplaces,Bare PayPal payment; underlying merchant not identifiable.,yes,Shopping (Discretionary) | E-Commerce Payment System,,,payment_intermediary,general_retail_marketplaces,payment_intermediary,general_retail_marketplaces,T4_dictionary,yes,yes,yes,yes,no
24,v3_volume,equifax,Uber,Uber UBER   * PENDING       London        GBR,5.93,debit,taxi_rideshare,transport_motoring,Uber pending trip debit.,yes,Commuting and travel | Taxis,,,taxi_rideshare,transport_motoring,taxi_rideshare,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
25,v3_volume,equifax,Tesco,Contactless Payment TESCO STORES 5138 APPLEPAY 0699 2024-12-01,21.7,debit,groceries,groceries_household_essentials,Tesco supermarket debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
26,v3_volume,equifax,Just Eat,Just Eat Just Eat               London        GBR,23.84,debit,takeaway,eating_drinking_out,Just Eat debit.,yes,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
27,v3_volume,equifax,Merkur Slots,VISA DIRECT PAYMENT MERKUR SLOTS ON 04 SEP CRE,25.0,credit,gambling_unspecified,gambling,Merkur Slots credit; casino winnings stay on the casino leaf. Parent check: Merkur Slots VISA DIRECT CREDIT is winnings. T1 gambling_unspecified.,yes,Gambling and Betting | Poker and Casino Games,,,gambling_unspecified,gambling,gambling_unspecified,gambling,T6_native_fallback,yes,yes,yes,yes,no
28,v3_volume,equifax,Shell,SHELL U.K. OIL PRO  ON 25 DEC CPM SHELL U.K. OIL PRODUCT,29.4,debit,fuel,transport_motoring,Shell UK oil products debit; forecourt fuel.,established,Commuting and travel | Fuel,,,fuel,transport_motoring,fuel,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
29,v3_volume,equifax,Sky Bet,Visa credit Sky Betting Gaming,23.2,credit,gambling_unspecified,gambling,Sky Bet credit; bookmaker winnings. Parent check: Sky Bet visa credit is winnings. T1 gambling_unspecified.,established,Gambling and Betting | Betting,,,gambling_unspecified,gambling,gambling_betting,gambling,T4_dictionary,yes,no,yes,yes,no
30,v3_volume,equifax,B&M,B&M 505 - CASTLEFO B&M 505 - CASTLEFORD,6.75,debit,discount_store,groceries_household_essentials,B&M debit.,established,Shopping (Home) | Home Improvements,,,home_improvement,home_garden,discount_store,groceries_household_essentials,T4_dictionary,no,yes,no,yes,no
31,v3_volume,equifax,ASDA,ASDA STORES,18.79,debit,groceries,groceries_household_essentials,Asda supermarket debit.,yes,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
32,v3_volume,equifax,EDF,1013 22JUN24      EDF UK CARD       PAYMENTS          LONDON GB,10.0,debit,energy,utilities_household_bills,EDF card payment debit.,established,Utilities | Energy Providers,,,energy,utilities_household_bills,energy,utilities_household_bills,T4_dictionary,yes,yes,yes,yes,no
33,v3_volume,equifax,Resolvecall,"DIRECT DEBIT PAYMENT TO RESOLVECALL LIMITE REF 59367165, MANDATE NO 0088",6.0,debit,debt_collection,high_cost_distress_credit,Resolvecall Limited direct debit; DCA.,established,Financial Services | Debt Collection,,,debt_collection,high_cost_distress_credit,debt_collection,high_cost_distress_credit,T6_native_fallback,yes,yes,yes,yes,no
34,v3_volume,equifax,Paypal,PAYPAL PAYMENT,13.59,debit,payment_intermediary,general_retail_marketplaces,Bare PayPal payment; underlying merchant not identifiable.,yes,Shopping (Discretionary) | E-Commerce Payment System,,,payment_intermediary,general_retail_marketplaces,payment_intermediary,general_retail_marketplaces,T4_dictionary,yes,yes,yes,yes,no
35,v3_volume,equifax,Subway,SUBWAY,8.09,debit,takeaway,eating_drinking_out,Subway fast-food debit.,established,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
36,v3_volume,equifax,Prime,Amazon Prime*TQ64F Amazon Prime*TQ64F31C4,8.99,debit,streaming,digital_subscriptions_services,Amazon Prime debit; consumer media streaming.,established,Amazon All | Amazon,,,marketplace_amazon,general_retail_marketplaces,streaming,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,no
37,v3_volume,equifax,Bet365,BET365,25.0,debit,gambling_betting,gambling,Bet365 stake debit.,established,Gambling and Betting | Betting,,,gambling_betting,gambling,gambling_betting,gambling,T4_dictionary,yes,yes,yes,yes,no
38,v3_volume,equifax,Argos,ARGOS LTD         NEWCASTLE UPO,0.3,debit,catalogue_retail,general_retail_marketplaces,Argos Ltd in-store debit.,established,Shopping (Discretionary) | General Catalogues,,,catalogue_retail,general_retail_marketplaces,catalogue_retail,general_retail_marketplaces,T4_dictionary,yes,yes,yes,yes,no
39,v3_volume,equifax,Employment and Support Allowance,JA702052A DWP EESA  000000001525469903 BGC,360.36,credit,benefits_state,income_benefits_state_support,DWP ESA (Employment and Support Allowance) credit.,established,,,,unclassified_other,unclassified,benefits_state,income_benefits_state_support,T4_dictionary,no,yes,no,yes,no
40,v3_volume,equifax,TheTrainLine,Trainline Trainline.com Ltd\120 Holburn Road\London\EC1N 2TD  GBRGBR,6.7,debit,public_transport_rail_coach,transport_motoring,Trainline debit.,yes,Commuting and travel | Trains and Coaches,,,public_transport_rail_coach,transport_motoring,public_transport_rail_coach,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
41,v3_volume,equifax,Sony,6220 07JAN24      PLAYSTATION       NETWORK           SONY PSN GB,17.49,debit,gaming_console_pc,entertainment_leisure,PlayStation Network debit.,established,Shopping (Discretionary) | Audio Equipment,,,audio_equipment,general_retail_marketplaces,gaming_console_pc,entertainment_leisure,T4_dictionary,no,yes,no,yes,no
42,v3_volume,equifax,musicMagpie,WWW.MUSICMAGPIE.CO.UK CD 6654,16.19,debit,marketplace_refurbished,general_retail_marketplaces,musicMagpie debit; refurbished-device marketplace.,established,Shopping (Discretionary) | General Electrical,,,electrical_goods,general_retail_marketplaces,electrical_goods,general_retail_marketplaces,T6_native_fallback,no,no,yes,yes,no
43,v3_volume,equifax,Dobbies Garden Centre,Dobbies,8.55,debit,garden,home_garden,Dobbies garden centre debit.,established,Shopping (Home) | Garden Accessories,,,garden,home_garden,garden,home_garden,T6_native_fallback,yes,yes,yes,yes,no
44,v3_volume,equifax,GoHenry ,GoHenry MembershipLYMINGTON,4.49,debit,prepaid_card,transfers,GoHenry membership fee for a children's prepaid card.,established,Financial Services | Prepaid Cards,,,prepaid_card,transfers,prepaid_card,transfers,T4_dictionary,yes,yes,yes,yes,no
45,v3_volume,equifax,George at Asda,CARD PAYMENT TO ASDA GEORGE COM LEEDS ON 26-11-2023,98.25,debit,clothing_general,clothing_personal_care,George at Asda clothing debit.,yes,Shopping (Fashion) | General Fashion,,,clothing_general,clothing_personal_care,clothing_general,clothing_personal_care,T4_dictionary,yes,yes,yes,yes,no
46,v3_volume,equifax,Apple App Store,APPLE.COM/BILL IRELAND ON 13 NOV BCC,1.99,debit,software,digital_subscriptions_services,Apple.com/bill debit; no media-product cue.,yes,Shopping (Discretionary) | Music and Downloads,,,streaming,digital_subscriptions_services,software,digital_subscriptions_services,T4_dictionary,no,yes,yes,yes,no
47,v3_volume,equifax,Child Benefits,Child Benefit HMRC CHILD BENEFIT,55.8,credit,benefits_state,income_benefits_state_support,HMRC Child Benefit credit.,established,,,,unclassified_other,unclassified,benefits_state,income_benefits_state_support,T4_dictionary,no,yes,no,yes,no
48,v3_volume,equifax,Domestic and General,Direct debit D&G APPLIANCE CARE ************0692,9.85,debit,insurance_general,insurance,Domestic & General appliance-care insurance debit.,established,Insurance | General Insurance,,,insurance_general,insurance,insurance_general,insurance,T4_dictionary,yes,yes,yes,yes,no
49,v3_volume,equifax,Greggs,GREGGS,5.0,debit,restaurant_cafe,eating_drinking_out,Greggs debit; cafe/bakery per brief.,established,"Restaurants and takeaway | Restaurants, Cafes and Bistros",,,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
50,v3_volume,equifax,Co-op,"CO-OP GROUP 310531 (VIA APPLE PAY), ON 13-12-2024",2.1,debit,groceries,groceries_household_essentials,Co-op food retail debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
51,v3_volume,equifax,Lavazza Professional,Lavazza Professional Uk O,1.1,debit,confectionary,groceries_household_essentials,Lavazza Professional £1.10; workplace coffee/vending.,yes,Shopping (Discretionary) | Confectionary,,,confectionary,groceries_household_essentials,confectionary,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
52,v3_volume,equifax,Uber Eats,0073 10SEP24  D   UBER   * EATS     PENDING           LONDON GB,50.28,debit,takeaway,eating_drinking_out,Uber Eats debit.,established,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
53,v3_volume,equifax,E,WWW.E.ORG  ON 07 NOV BCC,30.0,debit,energy,utilities_household_bills,www.e.org energy supplier debit.,established,Utilities | Energy Providers,,,energy,utilities_household_bills,unclassified_other,unclassified,T4_dictionary,yes,no,yes,no,no
54,v3_volume,equifax,Dunelm,Dunelm SoftFurnish  ON 15 OCT BCC,40.0,debit,home_accessories,home_garden,Dunelm debit.,established,Shopping (Home) | Home Accessories,,,home_accessories,home_garden,home_accessories,home_garden,T4_dictionary,yes,yes,yes,yes,no
55,v3_volume,equifax,Just Eat,Visa purchase Just Eat APPLEPAY 5411,10.58,debit,takeaway,eating_drinking_out,Just Eat debit.,yes,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
56,v3_volume,equifax,Starbucks,(2550)STARBUCKS B (2550)STARBUCKS B HOTEL,7.95,debit,restaurant_cafe,eating_drinking_out,Starbucks debit.,established,"Restaurants and takeaway | Restaurants, Cafes and Bistros",,,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
57,v3_volume,equifax,Home Bargains,HOME BARGAINS,29.62,debit,discount_store,groceries_household_essentials,Home Bargains debit.,established,Shopping (Home) | Home Accessories,,,home_accessories,home_garden,discount_store,groceries_household_essentials,T4_dictionary,no,yes,no,yes,no
58,v3_volume,equifax,Uber,Visa purchase UBR* PENDING.UBER.COM APPLEPAY 5865,5.99,debit,taxi_rideshare,transport_motoring,Uber pending trip debit.,yes,Commuting and travel | Taxis,,,taxi_rideshare,transport_motoring,taxi_rideshare,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
59,v3_volume,equifax,PayPal Credit,CARD PAYMENT TO PAYPAL *PYPL PAYIN3 ON 27-08-2024,10.32,debit,bnpl,credit_loan_repayments,"PayPal Pay in 3 debit; BNPL product, no underlying shop.",established,Financial Services | BNPL,,,bnpl,credit_loan_repayments,bnpl,credit_loan_repayments,T4_dictionary,yes,yes,yes,yes,no
60,v3_volume,equifax,Aldi,ALDI 112 775,9.18,debit,groceries,groceries_household_essentials,Aldi food discounter debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
61,v3_volume,equifax,Motor Fuel Group,6682 25FEB24 CD   MFG PENCOED       PENCOED GB,44.15,debit,fuel,transport_motoring,Motor Fuel Group (MFG) Pencoed forecourt debit.,established,Commuting and travel | Fuel,,,fuel,transport_motoring,fuel,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
62,v3_volume,equifax,E.On,E.ON NEXT  ON 06 DEC BCC,24.87,debit,energy,utilities_household_bills,E.ON Next debit.,established,Utilities | Energy Providers,,,energy,utilities_household_bills,energy,utilities_household_bills,T4_dictionary,yes,yes,yes,yes,no
63,v3_volume,equifax,Select & Save,Select And Save SELECT AND SAVE        SUTTONINASHFI GBR,2.64,debit,convenience_store,groceries_household_essentials,"Select & Save is an independent convenience fascia, not a listed symbol-group grocer.",established,Shopping (Discretionary) | Newsagents and Convenience Stores,,,convenience_store,groceries_household_essentials,convenience_store,groceries_household_essentials,T6_native_fallback,yes,yes,yes,yes,no
64,v3_volume,equifax,ASDA,CARD PAYMENT TO ASDA STORES ON 25-10-2023,17.49,debit,groceries,groceries_household_essentials,Asda supermarket debit.,yes,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
65,v3_volume,equifax,KFC,1079 27AUG23 CD   KFC - DUMFRIES    DUMFRIES GB,10.98,debit,takeaway,eating_drinking_out,KFC debit.,yes,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
66,v3_volume,equifax,Royal London Pensions,ROYAL LONDON,38.21,debit,pension_contribution,savings_investments,Royal London pensions debit.,established,,,,unclassified_other,unclassified,pension_contribution,savings_investments,T4_dictionary,no,yes,no,yes,yes
67,v3_volume,equifax,Ladbrokes,LC INTERNATIONAL L LC INTERNATIONAL LTD,5.0,debit,gambling_betting,gambling,Ladbrokes (LC International) stake debit.,established,Gambling and Betting | Betting,,,gambling_betting,gambling,gambling_betting,gambling,T4_dictionary,yes,yes,yes,yes,no
68,v3_volume,equifax,ASDA,Contactless Payment ASDA SUPERSTORE 2024-12-22,26.93,debit,groceries,groceries_household_essentials,Asda supermarket debit.,yes,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
69,v3_volume,equifax,Clearpay,Visa purchase Clearpay 3992,18.0,debit,bnpl,credit_loan_repayments,Clearpay debit; no underlying merchant.,established,Financial Services | BNPL,,,bnpl,credit_loan_repayments,bnpl,credit_loan_repayments,T4_dictionary,yes,yes,yes,yes,no
70,v3_volume,equifax,M and M Direct,M AND M DIRECT LIMLEOMINSTER,1.7,debit,clothing_general,clothing_personal_care,M&M Direct fashion debit.,yes,Shopping (Fashion) | General Fashion,,,clothing_general,clothing_personal_care,clothing_general,clothing_personal_care,T6_native_fallback,yes,yes,yes,yes,no
71,v3_volume,equifax,Scoffable,Scoffable SCOFFABLE              +441312082230 GBR,14.15,debit,takeaway,eating_drinking_out,Scoffable is a Scottish takeaway-ordering platform.,yes,Restaurants and takeaway | Take Away,,,takeaway,eating_drinking_out,takeaway,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,no
72,v3_volume,equifax,Revolut,JULIE ASHTON SENT FROM REVOLUT REV************9563,30.0,credit,transfer_p2p,transfers,Credit SENT FROM REVOLUT by named person Julie Ashton; not own-account without pot evidence.,no,Own Transfers | Bank Transfer,,,transfer_bank_unspecified,transfers,transfer_own_account,transfers,T4_dictionary,no,no,yes,yes,no
73,v3_volume,equifax,Apple App Store,APPLE.COM/BILL,9.99,debit,software,digital_subscriptions_services,Apple.com/bill debit.,yes,Shopping (Discretionary) | Music and Downloads,,,streaming,digital_subscriptions_services,software,digital_subscriptions_services,T4_dictionary,no,yes,yes,yes,no
74,v3_volume,equifax,Uber Eats,3295 06AUG24      UBER   *EATS      HELP.UBER.COM GB  REFUND,2.43,credit,refund_received,income_other,Override prefill takeaway: Uber Eats CREDIT with REFUND in the narrative.,established,Refund | Take Away,,,refund_received,income_other,takeaway,eating_drinking_out,T4_dictionary,yes,no,yes,no,no
75,v3_volume,equifax,Marston's Plc,MARSTON'S PLC,5.5,debit,pub_bar,eating_drinking_out,Marston's pub debit.,yes,Restaurants and takeaway | Pubs and Bars,,,pub_bar,eating_drinking_out,pub_bar,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,no
76,v3_volume,equifax,Next,Contactless Payment NEXT RETAIL LTD,35.15,debit,clothing_general,clothing_personal_care,Next retail debit.,established,Shopping (Fashion) | General Fashion,,,clothing_general,clothing_personal_care,clothing_general,clothing_personal_care,T4_dictionary,yes,yes,yes,yes,no
77,v3_volume,equifax,FarmFoods,FARMFOODS 401     STOKE-ON-TREN,70.6,debit,groceries,groceries_household_essentials,Farmfoods food discounter debit.,yes,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
78,v3_volume,equifax,Bolt,BOLT.EU/O/24091520  ON 15 SEP CPM BOLT.EU/O/2409152055,24.2,debit,taxi_rideshare,transport_motoring,"Override prefill salary_gig: Bolt.eu debit £24.20 is a ride, not gig income (established-leaf trap).",established,Commuting and travel | Taxis,,,taxi_rideshare,transport_motoring,taxi_rideshare,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
79,v3_volume,equifax,Anglian Water,ANGLIAN WATER,13.0,debit,water,utilities_household_bills,Anglian Water debit.,established,Utilities | Water Companies,,,water,utilities_household_bills,water,utilities_household_bills,T4_dictionary,yes,yes,yes,yes,no
80,v3_volume,equifax,Zilch,ZILCH INSTALMENT,3.75,debit,bnpl,credit_loan_repayments,Zilch instalment; no underlying shop.,yes,Financial Services | BNPL,,,bnpl,credit_loan_repayments,bnpl,credit_loan_repayments,T4_dictionary,yes,yes,yes,yes,no
81,v3_volume,equifax,Parent Pay,PARENTPAY E-COM R  ON 14 SEP BCC,20.0,debit,school_fees,childcare_education,ParentPay school payment platform debit.,established,Services | Childcare,,,childcare,childcare_education,school_fees,childcare_education,T4_dictionary,no,yes,yes,yes,no
82,v3_volume,equifax,Boots,BOOTS 1490  ON 09 MAR CLP,20.11,debit,pharmacy,health_medical,Boots debit.,established,Personal Healthcare | General Health and Beauty,,,health_beauty_general,clothing_personal_care,pharmacy,health_medical,T4_dictionary,no,yes,no,yes,no
83,v3_volume,equifax,Disability Living Allowance,PP069164A DWP DLA  000000002163804355 BGC,524.6,credit,benefits_state,income_benefits_state_support,DWP DLA credit.,established,,,,unclassified_other,unclassified,benefits_state,income_benefits_state_support,T4_dictionary,no,yes,no,yes,no
84,v3_volume,equifax,TFL,2011 16NOV23 CD   TFL TRAVEL CH     TFL.GOV.UK/CP GB,1.75,debit,public_transport_rail_coach,transport_motoring,TfL travel charge debit.,established,Commuting and travel | Trains and Coaches,,,public_transport_rail_coach,transport_motoring,public_transport_rail_coach,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
85,v3_volume,equifax,NetFlix,Netflix.com  ON 28 JUL BCC,17.99,debit,streaming,digital_subscriptions_services,Netflix debit.,established,"Utilities | Internet, TV and Phone",,,broadband_tv_phone,utilities_household_bills,streaming,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,no
86,v3_volume,equifax,Lidl,LIDL GB  ON 25 NOV CPM,10.4,debit,groceries,groceries_household_essentials,Lidl debit.,established,Shopping (Household Essentials) | General Groceries,,,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T4_dictionary,yes,yes,yes,yes,no
87,v3_volume,equifax,Shell,8355 11DEC24 C    SHELL DOVER       DOVER GB,6.4,debit,fuel,transport_motoring,Shell Dover forecourt debit.,established,Commuting and travel | Fuel,,,fuel,transport_motoring,fuel,transport_motoring,T4_dictionary,yes,yes,yes,yes,no
88,v3_volume,equifax,The Kings Head,Kings Head  ON 26 AUG CLP,10.6,debit,pub_bar,eating_drinking_out,Kings Head pub debit.,yes,Restaurants and takeaway | Pubs and Bars,,,pub_bar,eating_drinking_out,pub_bar,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,no
89,v3_volume,equifax,The Red Lion,Red Lion Cromer  ON 14 JAN CLP RED LION CROMER,5.0,debit,pub_bar,eating_drinking_out,Red Lion Cromer pub debit.,yes,Restaurants and takeaway | Pubs and Bars,,,pub_bar,eating_drinking_out,pub_bar,eating_drinking_out,T4_dictionary,yes,yes,yes,yes,no
90,v3_volume,equifax,Homebase,Homebase HOMEBASE               NEWCASTLE     GBR,8.0,debit,home_improvement,home_garden,Homebase debit.,established,Shopping (Home) | Home Accessories,,,home_accessories,home_garden,home_accessories,home_garden,T6_native_fallback,no,no,yes,yes,no
