merchant_raw,description_raw,amount,direction,provider,native_category,source,provenance,haiku_leaf,sonnet_leaf,gold_leaf,notes
Bauerukcomp Cd,PAYPAL *BAUERUKCOMP CD 7706,5,debit,plaid,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,already_verified,production_tranche3_review,,,prize_competitions,
Best Of The Best Cd,BEST OF THE BEST CD 4411,1.2,debit,plaid,DINING_DINING,already_verified,production_tranche2_review,,,prize_competitions,
Borders Competitioeye,4513 11JUL25  D   BORDERS COMPETITIOEYEMOUTH GB,9,debit,plaid,MEDICAL_DENTAL_AND_VISION,already_verified,production_tranche3_review,,,prize_competitions,
Botb,BOTB,14.44,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,prize_competitions,
Caddy Comps LTD,CADDY COMPS LTD,59,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,production_tranche1_review,,,prize_competitions,
Chaotic,1433 08AUG25  D   CHAOTIC           REDHILL GB,4.74,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,prize_competitions,
A & S Outdoor LTD,A & S OUTDOOR LTD,14.99,debit,plaid,GENERAL_MERCHANDISE_SPORTING_GOODS,already_verified,gold_head_adjudicated,,,clothing_outdoor,
Berghaus,Berghaus,68,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,clothing_outdoor,
Ellis Brigham,Ellis Brigham ,40,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,clothing_outdoor,
Go Outdoors,GO OUTDOORS       SALTNEY,35.2,debit,plaid,GENERAL_MERCHANDISE_SPORTING_GOODS,already_verified,gold_head_adjudicated,,,clothing_outdoor,
Mountain Warehouse,Mountain Warehouse Ltd,26.99,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_outdoor,
Saltrock Surfwear,Saltrock Teignmouth,63,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_outdoor,
The North Face,The North Face,49,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_outdoor,
A A Via,A                 A                 VIA MOBILE - PYMT FP 12/08/25 10    62182839229863000N,4,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche2_review,,,transfer_p2p,
A Phillips,A PHILLIPS,25,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,transfer_p2p,
Abbi,Payment to ABBI STAFFORD 516123 72615958,300,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,transfer_p2p,
Agapitou Vasileios,Agapitou Vasileios,9.09,debit,plaid,DINING_DINING,already_verified,gold_tail_human_verified,,,transfer_p2p,
Ahmed Money,"MOB, Nj Ahmed, money",1580,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,transfer_p2p,
Alex.,ALEX. M. ADAMSON                      REFERENCE: T00021417394,300,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,transfer_p2p,
Alexandru Mihai So,ALEXANDRU MIHAI SO 400000001614915464,20,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,transfer_p2p,
Alfie Minta,Alfie Minta Hagues Morzine,7,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,transfer_p2p,
A C,To A/C 85228966   PENNINGTON P      Via Mobile Xfer,764,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,transfer_bank_unspecified,
Hungarians Worldwi,HUNGARIANS WORLDWI 500000001619634748,150,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_tail_human_verified,,,transfer_bank_unspecified,
Tele,"TeleService 3610173062
31EC-52618519996
3783651
REF: 31EC-52618519996
06000101
QUILTER CHEVIOT CLIENT ACCOUNT
Amount ordered: GBP 1,850,000.00
BANK OF SCOTLAND PLC
3783651
Fee: GBP 20.00
Receivers charge: 0.00",1850020,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,investment_general,
A Kayum Advance,A KAYUM           Advance,110,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,loan_repayment_manual,
A Reeson Loan,A REESON  LOAN FT,50,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,loan_repayment_manual,
Aimeeleigh Wallace Lend,aimeeleigh wallace                       lend,15,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,loan_repayment_manual,
Amy Loan Ft,AMY  LOAN FT,65,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,loan_repayment_manual,
Bradley Draycott Loan,BRADLEY DRAYCOTT  LOAN              VIA MOBILE - PYMT FP 25/06/25 10    39150628181472000N,20,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,loan_repayment_manual,
David Ferebee Reddit,David Ferebee     Reddit Loan final,150,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,loan_repayment_manual,
Dulgher,Pavel Dulgher     Loans,520,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,loan_repayment_manual,
Eugene Ampofo Gyek Loan,EUGENE AMPOFO GYEK  LOAN FT,30,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,loan_repayment_manual,
A M Humphreys Mags,A M HUMPHREYS     MAGS              VIA MOBILE - PYMT FP 24/06/25 10    01075307133227000R,50,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche2_review,,,magazines,
Conde Nast Pubs,"DIRECT DEBIT PAYMENT TO CONDE NAST PUBS REF 300000164547, MANDATE NO 0297",1,debit,plaid,DINING_DINING,already_verified,production_tranche3_review,,,magazines,
Hachette Partworks,HACHETTE PARTWORKS,3.99,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,magazines,
The Economist,The Economist,23.9,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,magazines,
Thomson Initial,DC THOMSON        INITIAL PAYMENT,11,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche3_review,,,magazines,
A&f Bargains LTD,A&F BARGAINS LTD,2,debit,plaid,GENERAL_MERCHANDISE_DISCOUNT_STORES,already_verified,gold_head_adjudicated,,,discount_store,
B&M,B&M 868 WATERSIDE,10.82,debit,plaid,GENERAL_MERCHANDISE_DISCOUNT_STORES,already_verified,gold_head_adjudicated,,,discount_store,
Bm Retail LTD,BM RETAIL LTD,4.69,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche3_review,,,discount_store,
Home B,WYTHENSHAWE HOME B,26.17,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,discount_store,
Home Bargains,Home Bargains,9.97,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,discount_store,
Last Chance Store,PPOINT_*LAST CHANC,1,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche3_review,,,discount_store,
Onebeyond Retail Bar,ONEBEYOND RETAIL  BARNSLEY,6.49,debit,plaid,DINING_DINING,already_verified,production_tranche3_review,,,discount_store,
Super Pound Saver,Super Pound Saver,1.5,debit,plaid,GENERAL_MERCHANDISE_DISCOUNT_STORES,already_verified,gold_head_adjudicated,,,discount_store,
Abbey Local,ABBEY LOCAL,2.15,debit,plaid,DINING_DINING,already_verified,production_tranche2_review,,,convenience_store,
Akenside Traders,AKENSIDE TRADERS,5.95,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,production_tranche3_review,,,convenience_store,
Ancoats General Store,Ancoats General Store,2,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,gold_head_adjudicated,,,convenience_store,
Ayr Local,Ayr Local,12,debit,plaid,DINING_DINING,already_verified,production_tranche3_review,,,convenience_store,
Barrys Premier,BARRYS PREMIER - H,14.29,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche3_review,,,convenience_store,
Bestone,Bestone,13.99,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,convenience_store,
Bhavin Express,Bhavin Express,9,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,gold_tail_human_verified,,,convenience_store,
Billys Licecned Gr,Billys licecned GrPaisley,1.55,debit,plaid,DINING_DINING,already_verified,production_tranche3_review,,,convenience_store,
Abercrombie & Fitch,Abercrombie & Fitch,35,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_general,
boohoo,Boohoo.com UK Ltd CD 2031,41.99,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_general,
Damaged Society,Contactless Payment DAMAGED SOCIETY APPLEPAY 9309 2025-09-14,13,debit,plaid,DINING_DINING,already_verified,production_tranche2_review,,,clothing_general,
Flannels,5831 16SEP25  D   FLANNELS.COM      SHIREBROOK GB,39.99,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_general,
Lacoste,LACOSTE,103.64,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,clothing_general,
M And M,M and M Direct Ltd,60.96,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche2_review,,,clothing_general,
Matalan,Visa purchase Klarna*Matalan 8998,2.25,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,clothing_general,
New Look,New Look,16.48,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_general,
Absolute Music,ABSOLUTE MUSIC  ON 17 AUG CPM,10,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,gold_head_adjudicated,,,musical_instruments,
Gear4music,Gear4music,79,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,musical_instruments,
Abvintn,1522 22JUL25      WWW.ABVINTN       ERS.CO.UK         01892725194 GB,642.9,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,production_tranche3_review,,,alcohol_wine,
C Mon Etiquette,C Mon Etiquette FRANCE ON 19 SEP CPM C MON ETIQUETTE,28.06,debit,plaid,DINING_DINING,already_verified,production_tranche2_review,,,retail_other,
Justerini Brookscave,JUSTERINI   BROOKSCAVE BRISTOL      VIA MOBILE - PYMT FP 31/07/25 10    56105610883768000N,121.54,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,alcohol_wine,
Ls Lea,"LS LEA & SANDEMAN (VIA APPLE PAY), ON 17-08-2025",16.95,debit,plaid,DINING_DINING,already_verified,production_tranche3_review,,,alcohol_wine,
Vine Trail Cave,VINE TRAIL        CAVE BRISTOL      VIA MOBILE - PYMT FP 11/06/25 10    13064613767659000N,1310.64,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,production_tranche3_review,,,alcohol_wine,
Acc-nwestmstgl,ACC-NWESTMSTGL    543699******8897  VIA MOBILE - PYMT FP 16/10/25 10    32074346309180000N,300,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,credit_card_repayment,
BIP,Bip,42.42,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche1_review,,,credit_card_repayment,
Byron,Byron Hara Credit Card,130,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche1_review,,,transfer_p2p,
Cr LTD Prescot Rd Ts3,CR LTD PRESCOT RD,200,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche3_review,,,credit_card_repayment,
Drctr,Payment to DRCTR 309950 54679462,25,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche3_review,,,credit_card_repayment,
Dundee Cc T,DUNDEE CC T/T Dundee Cc T/t,90,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche3_review,,,council_tax,
Epsod Limited,EPSOD Limited                            009 A SMITH,13.67,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,credit_card_repayment,
Lloyds Tsb Create,LLOYDS TSB CREATE  XXXXXXXXXXXX6224 BBP,50,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,credit_card_repayment,
Accessorize,CARD PAYMENT TO ACCESSORIZE ON 30-08-2025,37,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,jewellery,
Hiscox The Jewelle,HISCOX THE JEWELLEBURTON-ON-TRE,40,debit,plaid,INSURANCE_AND_TAX_INSURANCE,already_verified,gold_tail_human_verified,,,jewellery,
Aci-uk,ACI-2628166-1 Aci-Uk,14.75,debit,plaid,LOAN_PAYMENTS_OTHER,already_verified,production_tranche1_review,,,debt_collection,
Andrew Whittaker Recovery,ANDREW WHITTAKER  RECOVERY FT,20,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,debt_collection,
Asset Link Capital R,ASSET LINK CAPITAL,246.48,debit,plaid,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,already_verified,production_tranche3_review,,,debt_collection,
Cabot Financial,CABOT FINANCIAL E CCMDD02966306/2,166.67,debit,plaid,LOAN_PAYMENTS_OTHER,already_verified,gold_tail_human_verified,,,debt_collection,
Credit Resource So,CREDIT RESOURCE SO,1,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,debt_collection,
Drydens,DRYDENS FAIRFAX,1,debit,plaid,PERSONAL_CARE_HAIR_AND_BEAUTY,already_verified,production_tranche2_review,,,debt_collection,
Dwp-crg,Dwp-crg DWP Central Recovery,10,debit,plaid,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,already_verified,production_tranche3_review,,,debt_collection,
Mortimer Clarke Solicitors,GB Account - 36736314 Mortimer Clarke Solicitors - SortCodeAccountNumber: 16142411322059,10,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,debt_collection,
Aclax LTD,Barclays account - deposit Aclax ltd - SortCodeAccountNumber: 20134523641341,4100,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,unclassified_transfer,
Adam Eve,ADAM EVE  ON 11 JUL CLP ADAM   EVE,2.5,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,production_tranche2_review,,,adult_products,
Ann Summers,Ann Summers,27.18,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,adult_products,
Admiral,ADMIRAL CASINO  2KR9L5CMRH18HDJWTC FT,23,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,gold_head_adjudicated,,,gambling_casino,
Citymain Admin Re,"DIRECT DEBIT PAYMENT TO CITYMAIN ADMIN RE REF MUINS.244531490, MANDATE NO 0067",9.99,debit,plaid,RENT_AND_UTILITIES_WATER,already_verified,production_tranche3_review,,,insurance_general,
Citymainadminre,CITYMAINADMINRE A1INS.245049295,12.99,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche2_review,,,insurance_general,
Domestic & General,"DIRECT DEBIT PAYMENT TO D&G APPLIANCE CARE REF DBJR0006668, MANDATE NO 0056",7.83,debit,plaid,INSURANCE_AND_TAX_INSURANCE,already_verified,gold_tail_human_verified,,,insurance_general,
Hastings Insurance,"Card 37, Hastings Insurance",55.48,debit,plaid,INSURANCE_AND_TAX_INSURANCE,already_verified,gold_tail_human_verified,,,insurance_general,
Onecall,ONECALL*9853154-25DONCASTER,129.21,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche3_review,,,insurance_general,
Pmgi LTD,PMGI LTD,54.89,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche2_review,,,insurance_general,
Swiftcover,SWIFTCOVER,57.76,debit,plaid,INSURANCE_AND_TAX_INSURANCE,already_verified,gold_head_adjudicated,,,insurance_general,
ADT,ADT - OIN ACCOUNT,33.47,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche2_review,,,utility_other,
Gas And Water Pipeline,Gas And Water Pipeline,277.56,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,production_tranche3_review,,,utility_other,
Glide Student & Reside,GLIDE STUDENT & RE  ON 12 AUG BCC GLIDE STUDENT & RESIDE,25,debit,plaid,RENT_AND_UTILITIES_RENT,already_verified,production_tranche3_review,,,utility_other,
Homebox,HOMEBOX  1795190448 DDR,25,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche3_review,,,utility_other,
Leep Networks,"DIRECT DEBIT PAYMENT TO LEEP NETWORKS REF A-C301AB24-001, MANDATE NO 0034",36.38,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,utility_other,
Virgin Pure Ourtaap,Virgin Pure Ourtaap,19.95,debit,plaid,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,already_verified,production_tranche2_review,,,utility_other,
Afro Shop Emma Limited,AFRO SHOP EMMA LIM,3.48,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,groceries,
Asda Stores LTD,CRV*ASDA STORES LT,4.53,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_tail_human_verified,,,groceries,
Baba Jaga,Baba Jaga  ON 16 JUL CLP BABA JAGA,1.1,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,groceries,
Big Ben Fore Street,BIG BEN Fore Stree  ON 26 SEP CLP BIG BEN FORE STREET,7.36,debit,plaid,GENERAL_MERCHANDISE_FURNITURE_AND_HARDWARE,already_verified,production_tranche2_review,,,groceries,
Bodega Ibiza,Bodega Ibiza,52.31,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,production_tranche3_review,,,groceries,
C Ringland Premier,1940 28JUL25 C    RINGLAND PREMIER  CYMBRAN GB,1.25,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,groceries,
Carrefour,Carrefour,32.82,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries,
COOP,CENTRAL ENG COOP,12.28,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_tail_human_verified,,,groceries,
Afsl,AFSL,423.84,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,personal_loan_repayment,AFSL is Admiral Financial Services Ltd / Admiral Money unsecured personal loans. £423.84 is a typical monthly instalment.
Aprova Carros Apoi,Pg *aprova Carros Apoi,26.39,debit,plaid,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,already_verified,gold_tail_human_verified,,,unclassified_other,
ETB,"ETB WORCESTER HYLTON R - UNIT 1 AND 2, WORCESTER",146.88,debit,plaid,RENT_AND_UTILITIES_RENT,already_verified,gold_tail_human_verified,,,vehicle_maintenance,
Expo,Expo International Sup,1.39,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_tail_human_verified,,,groceries_specialist,
Flex,Flex,50,debit,plaid,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES,already_verified,gold_tail_human_verified,,,unclassified_other,
Hedon,HEDON,5.68,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,unclassified_other,
Magic Lantern,MAGIC LANTERN,7.2,debit,plaid,LOAN_PAYMENTS_OTHER,already_verified,gold_tail_human_verified,,,cinema,The Magic Lantern Limited (SIC 59140) is the Tywyn cinema. £7.20 matches a ticket.
New Mastercard,NEW MASTERCARD 300000001586035992,10,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,unclassified_other,
After Dark,After Dark  ON 02 AUG CLP AFTER DARK,4.7,debit,plaid,DINING_OTHER_DINING,already_verified,production_tranche2_review,,,night_club,
Circuit Southampton,Contactless Payment CIRCUIT SOUTHAMPTON APPLEPAY 9309,10,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,production_tranche3_review,,,laundry,
Club Chemistry,CLUB CHEMISTRY,2.3,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,production_tranche3_review,,,night_club,
Club Salvation,Club Salvation,11,debit,plaid,GENERAL_MERCHANDISE_DISCOUNT_STORES,already_verified,production_tranche2_review,,,night_club,
Club X,Club X,6,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,production_tranche2_review,,,night_club,
Dalston Superstor,Zettle_*dalston Supers,20.4,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,gold_tail_human_verified,,,night_club,
Dalston Superstore,Dalston Superstore,12,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,production_tranche3_review,,,night_club,
Drumsheds,Drumsheds,6.9,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,night_club,
Ai-acc.co.uk,AI-ACC.CO.UK CD 0541,17.29,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,online_services,
Dama Live,PM *Dama Live HONG KONG ON 04 OCT CPM PM *DAMA LIVE,3.79,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,production_tranche3_review,,,online_services,
Facebook,Facebk *y9236y4gj2,17.13,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,online_services,
Hint.app,3763 07JUL25  D   HINT.APP/UK       LONDON GB,14.99,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche2_review,,,online_services,
LinkedIn,LinkedIn P784441494,125.99,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,gold_head_adjudicated,,,online_services,
Location-tool,LOCATION-TOOL.COM* 24H Location-Tool,0.47,debit,plaid,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,already_verified,production_tranche2_review,,,online_services,
Minnect,www.minnect.com,3.67,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,online_services,
Nest London,2650 01SEP25      GOOGLE NEST       LONDON GB,8,debit,plaid,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,already_verified,production_tranche3_review,,,online_services,
Alardistributionlt,NYX*AlarDistributi  ON 29 AUG CPM NYX*ALARDISTRIBUTIONLT,1.9,debit,plaid,FOOD_RETAIL_OTHER,already_verified,production_tranche1_review,,,confectionary,
