gold_leaf,n,hinge_correct,t6_correct,hinge_acc,t6_acc,t6_minus_hinge,train_n
lighting,1,1,1,1.0,1.0,0.0,22
live_music,1,0,0,0.0,0.0,0.0,715
mobile_phone_contract,1,1,1,1.0,1.0,0.0,771
optician,1,1,1,1.0,1.0,0.0,198
pension_contribution,1,0,0,0.0,0.0,0.0,122
personal_loan_repayment,1,0,0,0.0,0.0,0.0,680
photography_services,1,0,0,0.0,0.0,0.0,288
retail_other,1,0,0,0.0,0.0,0.0,483
stationery,1,0,0,0.0,0.0,0.0,59
storage,1,1,1,1.0,1.0,0.0,237
supplements,1,0,0,0.0,0.0,0.0,636
tax_payment,1,1,1,1.0,1.0,0.0,185
trade_union,1,1,1,1.0,1.0,0.0,148
travel_other,1,0,0,0.0,0.0,0.0,179
vehicle_purchase,1,1,1,1.0,1.0,0.0,108
vehicle_servicing,1,0,0,0.0,0.0,0.0,105
water,1,1,1,1.0,1.0,0.0,232
weight_loss,1,1,1,1.0,1.0,0.0,114
restaurant_cafe,17,14,12,0.8235294117647058,0.7058823529411765,-0.11764705882352933,26002
pet_supplies,8,5,4,0.625,0.5,-0.125,1092
transfer_own_account,13,2,0,0.15384615384615385,0.0,-0.15384615384615385,728
discount_store,6,6,5,1.0,0.8333333333333334,-0.16666666666666663,1725
sports_participation,6,2,1,0.3333333333333333,0.16666666666666666,-0.16666666666666666,3377
education_general,6,5,4,0.8333333333333334,0.6666666666666666,-0.16666666666666674,1027
gym_fitness,5,3,2,0.6,0.4,-0.19999999999999996,2414
taxi_rideshare,5,5,4,1.0,0.8,-0.19999999999999996,2568
unclassified_other,12,3,0,0.25,0.0,-0.25,15003
convenience_store,8,6,4,0.75,0.5,-0.25,30299
insurance_life,4,4,3,1.0,0.75,-0.25,229
rent,4,3,2,0.75,0.5,-0.25,3629
sports_tickets,4,3,2,0.75,0.5,-0.25,967
career_services,3,2,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,150
catering,3,2,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,1892
department_store,3,2,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,235
forex_trading,3,2,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,124
gambling_casino,3,1,0,0.3333333333333333,0.0,-0.3333333333333333,663
software,3,1,0,0.3333333333333333,0.0,-0.3333333333333333,2366
council_tax,6,3,1,0.5,0.16666666666666666,-0.33333333333333337,2728
sportswear,3,3,2,1.0,0.6666666666666666,-0.33333333333333337,732
debt_collection,5,3,1,0.6,0.2,-0.39999999999999997,1090
government_services,5,3,1,0.6,0.2,-0.39999999999999997,2417
groceries,5,2,0,0.4,0.0,-0.4,14359
charitable_donation,7,5,2,0.7142857142857143,0.2857142857142857,-0.4285714285714286,1868
car_parking,6,3,0,0.5,0.0,-0.5,3304
holiday_uk,6,5,2,0.8333333333333334,0.3333333333333333,-0.5,1358
books,4,3,1,0.75,0.25,-0.5,1334
charity_shop,4,2,0,0.5,0.0,-0.5,678
entertainment_other,4,2,0,0.5,0.0,-0.5,1441
payment_intermediary,4,2,0,0.5,0.0,-0.5,1136
arts_crafts,2,1,0,0.5,0.0,-0.5,240
credit_reporting_service,2,2,1,1.0,0.5,-0.5,139
gambling_unspecified,2,1,0,0.5,0.0,-0.5,707
hospital,2,2,1,1.0,0.5,-0.5,694
income_other_unspecified,2,1,0,0.5,0.0,-0.5,216
magazines,2,1,0,0.5,0.0,-0.5,143
newspapers,2,2,1,1.0,0.5,-0.5,222
online_services,2,1,0,0.5,0.0,-0.5,1479
tradesmen,2,2,1,1.0,0.5,-0.5,364
pub_bar,10,8,2,0.8,0.2,-0.6000000000000001,18125
transfer_p2p,47,30,1,0.6382978723404256,0.02127659574468085,-0.6170212765957447,103373
bicycle,3,2,0,0.6666666666666666,0.0,-0.6666666666666666,424
takeaway,3,2,0,0.6666666666666666,0.0,-0.6666666666666666,15414
beauty_treatment,10,7,0,0.7,0.0,-0.7,4440
confectionary,4,3,0,0.75,0.0,-0.75,3586
foreign_spend_unspecified,4,3,0,0.75,0.0,-0.75,2325
insurance_motor,4,3,0,0.75,0.0,-0.75,680
fuel,6,5,0,0.8333333333333334,0.0,-0.8333333333333334,11495
pawnbroker,6,6,1,1.0,0.16666666666666666,-0.8333333333333334,77
overdraft_arranged,20,20,0,1.0,0.0,-1.0,21
cash_advance,10,10,0,1.0,0.0,-1.0,200
alcohol_beer_spirits,3,3,0,1.0,0.0,-1.0,2223
balance_transfer,2,2,0,1.0,0.0,-1.0,200
gifts_flowers,2,2,0,1.0,0.0,-1.0,915
loan_repayment_manual,2,2,0,1.0,0.0,-1.0,1730
pet_other,2,2,0,1.0,0.0,-1.0,318
private_members_club,2,2,0,1.0,0.0,-1.0,1478
prize_competitions,2,2,0,1.0,0.0,-1.0,1300
road_tax,2,2,0,1.0,0.0,-1.0,2459
airport_spend,1,1,0,1.0,0.0,-1.0,811
baby_products,1,1,0,1.0,0.0,-1.0,102
carwash,1,1,0,1.0,0.0,-1.0,630
clothing_general,1,1,0,1.0,0.0,-1.0,2139
debt_management_plan,1,1,0,1.0,0.0,-1.0,302
gambling_betting,1,1,0,1.0,0.0,-1.0,755
gambling_lottery,1,1,0,1.0,0.0,-1.0,372
jewellery,1,1,0,1.0,0.0,-1.0,280
marketplace_general,1,1,0,1.0,0.0,-1.0,777
pension_received,1,1,0,1.0,0.0,-1.0,47
prepaid_card,1,1,0,1.0,0.0,-1.0,236
