merchant_raw,description_raw,amount,direction,provider,native_category,source,provenance,haiku_leaf,sonnet_leaf,gold_leaf,notes
Pharmacy2U,Pharmacy2U,-0.01,credit,plaid,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,already_verified,gold_head_adjudicated,,,refund_received,Final human adjudication: refund_received. Credit direction and merchant/refund evidence indicate money returned to the customer. Luna votes: pharmacy / pharmacy / pharmacy.
Health Express,Health Express,21.99,debit,plaid,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,already_verified,gold_head_adjudicated,,,pharmacy,
Express Chemist,Express Chemist,13.3,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,gold_head_adjudicated,,,pharmacy,
Savers Health,CRV*SAVERS HEALTH  ON 06 AUG BCC,5.69,debit,plaid,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,already_verified,gold_head_adjudicated,,,health_beauty_general,Savers is beauty-led discount retail;
Shein,5780 07JUL25      SHEIN.COM         LONDON GB,6.85,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_general,
Thatassinte,"Card 73, Paypal *Thatassinte",12.99,debit,plaid,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,already_verified,production_tranche1_review,,,clothing_general,
Costco,"WLT 64, Costco Wholesale #118",21.57,debit,plaid,GENERAL_MERCHANDISE_SUPERSTORES,already_verified,gold_head_adjudicated,,,cash_and_carry,
Bestway,3583 06AUG25 CD   NYA*BESTWAY RETAILBRISTOL GB,1,debit,plaid,GENERAL_MERCHANDISE_CONVENIENCE_STORES,already_verified,gold_head_adjudicated,,,cash_and_carry,
Lwc Drinks,HFAI01 Lwc Drinks,196.98,debit,plaid,DINING_OTHER_DINING,already_verified,production_tranche2_review,,,cash_and_carry,
Pret A Manger,PRET A MANGER Pret A Manger,3.99,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,restaurant_cafe,
Loungers,0855 05JUL25  D   LOUNGERS          BRISTOL GB,19,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,restaurant_cafe,
Joe & The Juice,JOE THE JUICE UK L  ON 20 JUL CPM Joe & The Juice,14.8,debit,plaid,DINING_OTHER_DINING,already_verified,gold_head_adjudicated,,,restaurant_cafe,
Kokoro,Kokoro,3.75,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,restaurant_cafe,
Shake Shack,Shake Shack,24.6,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,restaurant_cafe,
Cornish Bakehouse,8957 01SEP25 CD   CORNISH BAKEHOUSE BATH GB,3.3,debit,plaid,DINING_OTHER_DINING,already_verified,gold_head_adjudicated,,,restaurant_cafe,
McQueens Dairies,MCQUEENS DAIRIES                      REFERENCE: 9M3SQ5K,8.74,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Tian Tian Market,TIAN TIAN MARKET - RUS Tian Tian Market - Rus,5.31,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Tariq Halal Meats,TARIQ HALAL MEATS,2,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Planet Organic,8168 13SEP25 CD   PLANET ORGANIC -  BRO               LONDON GB,6.38,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Wawel Polski Sklep,Wawel Polski Sklep,14.33,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Pactcoffee,4446 03SEP25  D   WWW.PACTCOFFEE.COMLONDON GB,9.95,debit,plaid,DINING_COFFEE,already_verified,gold_head_adjudicated,,,groceries_specialist,
OnlyFans,OnlyFans,7.36,debit,plaid,ENTERTAINMENT_OTHER_ENTERTAINMENT,already_verified,gold_head_adjudicated,,,adult_entertainment,
JWS,6926 08AUG25      JWSBILL.COM       LUXEMBOURG LU,37.99,debit,plaid,TRAVEL_AND_TRANSPORTATION_LODGING,already_verified,production_tranche2_review,,,adult_entertainment,
Everai Limited,EVERAI LIMITED,12.99,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche2_review,,,adult_entertainment,
Livcam Me,ONA*livcam me,7.7,debit,plaid,DINING_DINING,already_verified,production_tranche2_review,,,adult_entertainment,
P Dome Amsterdam,P Dome Amsterdam,15.59,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,production_tranche3_review,,,adult_entertainment,
Currys,"CURRYS ONLINE (VIA APPLE PAY), ON 12-07-2025",24.99,debit,plaid,GENERAL_MERCHANDISE_COMPUTERS_AND_ELECTRONICS,already_verified,gold_head_adjudicated,,,electrical_goods,
Nest,NEST,50,debit,plaid,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,already_verified,production_tranche1_review,,,electrical_goods,
JD Williams,JD WILLIAMS  941393F3508388 DDR JD Williams,67.89,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,catalogue_retail,
La Redoute,LA REDOUTE,11.5,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,catalogue_retail,
Secret Sales,SECRETSALES.COM,37.99,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,catalogue_retail,
Nextltd,PAYPAL *NEXTLTD   0443337778733,59.95,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche1_review,,,catalogue_retail,
Next On,"NEXT (VIA APPLE PAY), ON 23-07-2025",50,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche1_review,,,catalogue_retail,
Home Choice,"HOME CHOICE (VIA APPLE PAY), ON 03-08-2025",13.97,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche2_review,,,catalogue_retail,
Taco Bell,"TACO BELL (VIA APPLE PAY), ON 11-07-2025",11.28,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,takeaway,
Popeyes,Popeyes,13.38,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,takeaway,
Grab-a-bite,SumUp *Grab-A-Bite  ON 07 AUG CLP SUMUP  *GRAB-A-BITE,1.25,debit,plaid,DINING_OTHER_DINING,already_verified,gold_head_adjudicated,,,takeaway,
Grimsby Fisheries,GRIMSBY FISHERIES,13.8,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,takeaway,
Tasty Plaice,Contactless Payment Tasty Plaice 2025-07-27,3.5,debit,plaid,DINING_OTHER_DINING,already_verified,gold_head_adjudicated,,,takeaway,
Star Pizza,Star Pizza,24.2,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,takeaway,
Patreon,Visa purchase PAYPAL *PATREON MEMBERSH 4239,4.67,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,gold_head_adjudicated,,,online_services,
Ring Basic Plan,7137 30JUL25      RING BASIC PLAN   LONDON GB,49.99,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche1_review,,,online_services,
Ring Basic Plan Ring,RING BASIC PLAN Ring,49.99,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,production_tranche1_review,,,online_services,
Rentumo.co.uk,RENTUMO.CO.UK 1360,35,debit,plaid,RENT_AND_UTILITIES_RENT,already_verified,production_tranche2_review,,,online_services,
Rentola,5377 22AUG25  D   RENTOLA*          RENTOLA.CO.UK     KBENHAVN K DK     REFUND,-35,credit,plaid,RENT_AND_UTILITIES_RENT,already_verified,production_tranche2_review,,,refund_received,Final human adjudication: refund_received. Credit direction and merchant/refund evidence indicate money returned to the customer. Luna votes: refund_received / online_services / refund_received.
Rentola.co.uk,RENTOLA* RENTOLA.C DENMARK ON 23 JUL CPM RENTOLA* RENTOLA.CO.UK,35,debit,plaid,RENT_AND_UTILITIES_RENT,already_verified,production_tranche2_review,,,online_services,
Omaze,SP OMAZE UK,15,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,gold_head_adjudicated,,,prize_competitions,
That Prize Guy,0153 21SEP25  D   THAT PRIZE GUY LTDBANGOR GB,5.64,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,gold_head_adjudicated,,,prize_competitions,
Competition Fox,4244 10AUG25  D   COMPETITION FOX   LONDON GB,2,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,prize_competitions,
Click Competitions,9299 03AUG25      CLICK COMPETITIONSBRUNDALL GB,497,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,prize_competitions,
Kilted Competition,KILTED COMPETITION,4,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,gold_head_adjudicated,,,prize_competitions,
Jackpotz Competition,JACKPOTZ COMPETITIONS Jackpotz Competitions,0.49,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,gold_tail_human_verified,,,prize_competitions,
Pet Health Club,PET HEALTH CLUB MND005QH5VLMJO,20.99,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,veterinary,
Pet Drugs Online,PET DRUGS ONLINE,73.75,debit,plaid,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,already_verified,gold_head_adjudicated,,,veterinary,
Ivc Services,IVC SERVICES MND0067K3BYNJ2,28.66,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,veterinary,
Holland & Barrett,Holland And Barrett,19.25,debit,plaid,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,already_verified,gold_head_adjudicated,,,supplements,
Herbalife,Herbalife,66.79,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,supplements,
Nutrivend,NYA*NutriVend Ltd 3719411,2.5,debit,plaid,FOOD_RETAIL_OTHER,already_verified,production_tranche3_review,,,supplements,
Gethemp.co.uk,GETHEMP.CO.UK,121.45,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,supplements,
Paypal Credit,PAYPAL *PAYPAL CRE,21,debit,plaid,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,already_verified,gold_head_adjudicated,,,bnpl,
Paypal Pay in 4,CARD PAYMENT TO PAYPAL *PYPL PAYIN3 ON 31-08-2025,8.56,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,gold_tail_human_verified,,,bnpl,
The Entertainer,The Entertainer 163,42,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,toys,
Stop & Shop,0817 14AUG25 C    PPOINT_*THE TOP   SHOP 3            DUNOON GB,16.97,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,groceries,
Gousto,Gousto,44.79,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,groceries,
E.leclerc,E.LECLERC,34.5,debit,plaid,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,already_verified,gold_head_adjudicated,,,groceries,
Icelandair,Contactless Payment ICELAND,4,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_tail_human_verified,,,groceries,
Southern Co-op,SOUTHERN CO-OP RET LAMBOURN        GB  ,13.65,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_tail_human_verified,,,groceries,
Mullaco Supermarket,MULLACO SUPERMARKE,39.43,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_tail_human_verified,,,groceries,
Max Spielmann,MAX SPIELMANN 3650  ON 19 AUG CPM 3650 MAX SPIELMANN LTD,0.75,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,photography_services,
Photobox,"PHOTOBOX LIMITED (VIA APPLE PAY), ON 13-10-2025",5.14,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,photography_services,
Snapfish,Snapfish,10.37,debit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,photography_services,
Zenfolio,Zenfolio Online Photo,35,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,gold_head_adjudicated,,,photography_services,
Freesnaps.co.uk,FREESNAPS.CO.UK   OMAGH,6.54,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,production_tranche3_review,,,photography_services,
Euro Car Parts,"CLS 68, Euro Car Parts P",50.99,debit,plaid,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,already_verified,gold_head_adjudicated,,,spares_repairs,
Waltham Cross Autopoin,Contactless Payment WALTHAM CROSS AUTOPOIN APPLEPAY 5082,3.65,debit,plaid,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,already_verified,production_tranche3_review,,,fuel,"Waltham Cross Autopoint is a Jet filling station; £3.65 contactless is forecourt fuel, not parts."
Dingbro,Dingbro,246.42,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche3_review,,,spares_repairs,
Parkdean Resorts,"BANK GIRO CREDIT REF PARKDEAN RESORTS U, 168348",-286.48,credit,plaid,INCOME_SALARY,already_verified,gold_head_adjudicated,,,salary,"Final human adjudication: salary. Credit amount, employer identity, and salary evidence support employment income. Luna votes: holiday_uk / holiday_uk / holiday_uk."
Center Parcs,CENTER PARCS,100,debit,plaid,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,already_verified,gold_head_adjudicated,,,holiday_uk,
Blue Anchor Leisure Limi,Blue Anchor Leisure Li,8.4,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,production_tranche2_review,,,holiday_uk,
Camber Sands,CAMBER SANDS Camber Sands,70.4,debit,plaid,DINING_DINING,already_verified,production_tranche3_review,,,holiday_uk,
Cd Silver Birch,0215 10AUG25 CD   SILVER BIRCH      OPERATION         ABERGELE GB,30,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,production_tranche3_review,,,holiday_uk,
British Heart Foundation,"BRITISH HEART FOUNDATI (VIA APPLE PAY), ON 24-09-2025",3,debit,plaid,GOVERNMENTS_AND_NON_PROFIT_DONATIONS,already_verified,gold_head_adjudicated,,,charity_shop,
Traid, TRAID,1.98,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,charity_shop,
Farplace,Contactless Payment FARPLACE - CONSETT 2025-07-06,3,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,production_tranche2_review,,,charity_shop,
Schuh,schuh,23.99,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,footwear,
SKECHERS,Skechers,95,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,footwear,
Wynsors,WYNSORS,12,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,footwear,
Office Shoes,Office Shoes,35,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,footwear,
Ugg Australia,UGG AUSTRALIA Ugg Australia,34.01,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,footwear,
Rocket Dog,Rocket Dog from Groceries Pot,68.99,debit,plaid,PET_CARE_AND_SUPPLIES_PET_SUPPLIES,already_verified,gold_head_adjudicated,,,footwear,
Revolucion De Cuba,Contactless Payment Revolucion de Cuba Readin,3.15,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,pub_bar,
Walkabout,WALKABOUT,12.65,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,pub_bar,
The Cricketers,The Cricketers,6.2,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,pub_bar,
The Corner House,THE CORNER HOUSE B,24.1,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,pub_bar,
The Bat And Ball,Contactless Payment The Bat and Ball APPLEPAY 7201,7.9,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,pub_bar,
Fishermans Rest,Fishermans Rest,18.4,debit,plaid,DINING_DINING,already_verified,gold_head_adjudicated,,,pub_bar,
School Gateway,SCHOOLGATEWA*DORCH  ON 17 SEP BCC School Gateway,24,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,school_fees,
Schoolmoney,schoolmoney,2.5,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,gold_head_adjudicated,,,school_fees,
ParentPay,PARENTPAY PARENTPAYADAAU41AX,1.5,debit,plaid,CHILDCARE_AND_EDUCATION_CHILDCARE_AND_EDUCATION,already_verified,gold_tail_human_verified,,,school_fees,
Mychildatschool,"MYCHILDATSCHOOL BROMCO (VIA APPLE PAY), ON 03-09-2025",8,debit,plaid,CHILDCARE_AND_EDUCATION_CHILDCARE_AND_EDUCATION,already_verified,gold_tail_human_verified,,,school_fees,
Ipayimpact.co.uk,VMS*iPayimpact.co.,10,debit,plaid,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,already_verified,production_tranche1_review,,,school_fees,
Ipayimp,3350 14JUL25  D   VMS*IPAYIMP       ACT.CO.UK         EDINBURGH GB,5,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche1_review,,,school_fees,
Stripe,2B1RXK6OOBQEZZYGDQ Stripe Re Pax8 Uk,323.09,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,software,Final human adjudication: software. The underlying merchant supplies cloud/software services despite the payment-processor descriptor. Luna votes: payment_intermediary / payment_intermediary / payment_intermediary. Sources: https://www.pax8.com/
Mandate No,"DIRECT DEBIT PAYMENT TO PAYPAL PAYMENT REF 5S9J2223HE3H8, MANDATE NO 0001",2.99,debit,plaid,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,already_verified,gold_tail_human_verified,,,payment_intermediary,
Lcinternati,Paypal *lcinternati,10,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche1_review,,,payment_intermediary,
Kashing,Kashing*amusement/Leicester,2.99,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,production_tranche1_review,,,entertainment_other,Final human adjudication: entertainment_other. The visible underlying merchant supplies or operates amusement/entertainment services. Luna votes: payment_intermediary / payment_intermediary / payment_intermediary.
Lcinternati Cd,PAYPAL *LCINTERNATI CD 5097,10,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche1_review,,,payment_intermediary,
Iduk.co.uk,IDUK.CO.UK,29.85,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche2_review,,,online_services,"iduk.co.uk is Identity UK, an identity-protection subscription, not a hidden-shop payment rail."
Fashionworld,WWW.FASHIONWORLD.C,7,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_womens,
Boux Avenue,BOUX AVENUE LTD 50DUDLEY,52,debit,plaid,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,already_verified,gold_head_adjudicated,,,clothing_womens,
Quiz Clothing,QUIZ CLOTHING,68.57,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_womens,
Marisota,MARISOTA  ON 12 SEP CPM,5,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,clothing_womens,
Bonmarche,Bonmarche,36,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,clothing_womens,
Bravissimo,Visa purchase Bravissimo Ltd,52,debit,plaid,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,already_verified,gold_head_adjudicated,,,clothing_womens,
Supercell,0444 28AUG25  D   SUPERCELL         HELSINKI FI,19.99,debit,plaid,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,already_verified,gold_head_adjudicated,,,gaming_mobile,
Expedia,EXPEDIA 72066379214402035643904,180.65,debit,plaid,TRAVEL_AND_TRANSPORTATION_FLIGHTS,already_verified,gold_head_adjudicated,,,flights,
Explore Flights Lim,EXPLOREFLIGHTS LIM 400000001632802177,250,debit,plaid,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,already_verified,production_tranche3_review,,,flights,
Uphold,"BILL PAYMENT VIA FASTER PAYMENT TO UPHOLD REFERENCE DOMINIC MATTHEWS , MANDATE NO 158",3.52,debit,plaid,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,already_verified,gold_head_adjudicated,,,crypto,
Vistaprint,Vistaprint,38.58,debit,plaid,GENERAL_SERVICES_OTHER_SERVICES,already_verified,gold_head_adjudicated,,,printing_services,
Forbidden Planet,FORBIDDENPLANET.COM Forbidden Planet,-0.01,credit,plaid,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,already_verified,gold_head_adjudicated,,,refund_received,Final human adjudication: refund_received. Credit direction and merchant/refund evidence indicate money returned to the customer. Luna votes: comics / comics / comics.
The Travelling Man,The Travelling Man,43.65,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,comics,
Roxy Ball Room,Roxy Ball Room,5,debit,plaid,ENTERTAINMENT_OTHER_ENTERTAINMENT,already_verified,gold_head_adjudicated,,,entertainment_other,
Grant Leisure Group Lt,Grant Leisure Grou  ON 28 JUN CPM GRANT LEISURE GROUP LT,51.98,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,gold_tail_human_verified,,,entertainment_other,
Leisurematic LTD,Leisurematic Ltd,2,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,production_tranche2_review,,,entertainment_other,
Lucky Claw,Lucky Claw,10,debit,plaid,DINING_DINING,already_verified,production_tranche2_review,,,entertainment_other,
Wifinity,WIFINITY LIMITED,905.5,credit,equifax,"Identified Salary | Internet, TV and Phone",new_targeted,targeted_for:salary,broadband_tv_phone,salary,salary,
Esso,RSS WESSEX LTD,286.8,credit,equifax,Identified Salary | Fuel,new_targeted,targeted_for:salary,fuel,salary,salary,
