merchant_raw,description_raw,amount,direction,gold_leaf,target_leaf
Virgin Games,Virgin Games,95.87,debit,gambling_casino,gambling_casino
Bally's,Visa purchase BALLYCASINO,10.0,debit,gambling_casino,gambling_casino
Monopoly Casino,Monopoly Casino,10.0,debit,gambling_casino,gambling_casino
Virgin Games,CARD PAYMENT TO VIRGIN GAMES ON 22-08-2025,10.0,debit,gambling_casino,gambling_casino
Admiralcasino,admiralcasino.co.uk Admiralcasino,10.0,debit,gambling_casino,gambling_casino
Electraworks LTD,ELECTRAWORKS LTD,5.0,debit,gambling_unspecified,gambling_casino
888.com,UK REGULATED LIM GIBRALTAR ON 09 AUG BCC,10.0,debit,gambling_casino,gambling_casino
Magicalvegas Cd,MAGICALVEGAS CD 1957,30.0,debit,gambling_casino,gambling_casino
Ballycasino Cd,BALLYCASINO CD 2413,20.0,debit,gambling_casino,gambling_casino
Bingo Cash,Bingo Cash,5.0,debit,gambling_unspecified,gambling_bingo
tombola,TOMBOLA,15.0,debit,gambling_bingo,gambling_bingo
tombola,TOMBOLA GIBRALTAR ON 10 OCT BCC TOMBOLA UK,50.0,debit,gambling_bingo,gambling_bingo
tombola,TOMBOLA,10.0,debit,gambling_bingo,gambling_bingo
tombola,Visa purchase TOMBOLA,10.0,debit,gambling_bingo,gambling_bingo
tombola,CARD PAYMENT TO TOMBOLA ON 02-08-2025,15.0,debit,gambling_bingo,gambling_bingo
tombola,Tombola,5.0,debit,gambling_bingo,gambling_bingo
Kittybingo,Kittybingo,5.0,debit,gambling_bingo,gambling_bingo
tombola,TOMBOLA,13.02,debit,gambling_bingo,gambling_bingo
tombola,Visa purchase TOMBOLA,10.0,debit,gambling_bingo,gambling_bingo
tombola,TOMBOLA,5.0,debit,gambling_bingo,gambling_bingo
tombola,INT'L 0014356005  TOMBOLA           TOMBOLA UK,28.0,debit,gambling_bingo,gambling_bingo
Heart Bingo Gibraltar,2652 11JUL25  D   HEART BINGO       GIBRALTAR GI,5.0,debit,gambling_bingo,gambling_bingo
Sun Bingo,SUNBINGO,200.0,credit,gambling_bingo,gambling_bingo
tombola,TOMBOLA,25.0,debit,gambling_bingo,gambling_bingo
tombola,INT'L 0094506367  TOMBOLA           TOMBOLA UK,25.0,debit,gambling_bingo,gambling_bingo
tombola,"TOMBOLA (VIA APPLE PAY), ON 29-07-2025",25.0,debit,gambling_bingo,gambling_bingo
Doublebubblebingo,DOUBLEBUBBLEBINGO,20.0,debit,gambling_bingo,gambling_bingo
tombola,Visa purchase TOMBOLA,10.0,debit,gambling_bingo,gambling_bingo
Mecca Bingo,MECCABINGO,10.0,debit,gambling_bingo,gambling_bingo
The National Lottery,6342 27AUG25      NATIONAL LOTTERY  LONDON GB,48.0,debit,gambling_lottery,gambling_lottery
The National Lottery,5224 29AUG25      NATIONAL LOTTERY  LONDON GB,2.5,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY CD 4411,10.0,debit,gambling_lottery,gambling_lottery
The National Lottery,CARD PAYMENT TO NATIONAL LOTTERY ON 19-08-2025,10.0,debit,gambling_lottery,gambling_lottery
Postcode Lottery,POSTCODE LOTTERY,12.25,debit,gambling_lottery,gambling_lottery
The National Lottery,Visa purchase NATIONAL LOTTERY,5.0,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY CD 7012,15.0,debit,gambling_lottery,gambling_lottery
The National Lottery,3961 27AUG25      NATIONAL LOTTERY  LONDON GB,15.0,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY,7.0,debit,gambling_lottery,gambling_lottery
The National Lottery,Visa purchase NATIONAL LOTTERY,2.5,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY,15.0,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY  ON 14 JUN BCC,10.0,debit,gambling_lottery,gambling_lottery
Postcode Lottery,POSTCODE LOTTERY  03MS91BESA48PG021 DDR Postcode Lottery,12.25,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY  WWW.NATIONAL-,5.0,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY The National Lottery,6.0,debit,gambling_lottery,gambling_lottery
The National Lottery,8575 09AUG25      NATIONAL LOTTERY  LONDON GB,9.5,debit,gambling_lottery,gambling_lottery
The National Lottery,The National Lottery,15.0,debit,gambling_lottery,gambling_lottery
The National Lottery,9403 27JUN25      NATIONAL LOTTERY  LONDON GB,4.6,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY  ON 03 JUN BCC,2.0,debit,gambling_lottery,gambling_lottery
The National Lottery,NATIONAL LOTTERY,6.0,debit,gambling_lottery,gambling_lottery
Ry's Competitions,Ry's Competitions CD 3103,2.0,debit,prize_competitions,prize_competitions
That Prize Guy,9764 09JUL25  D   THAT PRIZE GUY LTDBANGOR GB,0.4,debit,prize_competitions,prize_competitions
That Prize Guy LTD,THAT PRIZE GUY LTD,0.5,debit,prize_competitions,prize_competitions
Palladium Competitions,0430 14JUL25      PALLADIUM         COMPETITIONS      WESTHILL GB,5.07,debit,prize_competitions,prize_competitions
Compcity Giveaways,Compcity Giveaways,14.3,debit,prize_competitions,prize_competitions
Dreamcargiv,PAYPAL *DREAMCARGI,9.99,debit,prize_competitions,prize_competitions
Palladium Competitions,PALLADIUM COMPETIT,0.24,debit,prize_competitions,prize_competitions
Omaze,4785 14AUG25      SP OMAZE UK       ALTRINCHAM GB,15.0,debit,prize_competitions,prize_competitions
Palladium Competitions,Visa purchase PALLADIUM COMPETITIONS APPLEPAY 1755,0.84,debit,prize_competitions,prize_competitions
Prize Paradise,Prize Paradise,1.92,debit,prize_competitions,prize_competitions
Bauer Uk Competition,Visa purchase BAUER UK COMPETITIONS,5.0,debit,prize_competitions,prize_competitions
Nitrous Competitions,Nitrous Competitions,16.1,debit,prize_competitions,prize_competitions
Bright Competition,Bright Competition  ON 04 OCT CPM BRIGHT COMPETITIONS,1.0,debit,prize_competitions,prize_competitions
Gaming,"GAMING GIVEAWAYS (VIA APPLE PAY), ON 26-06-2025",0.35,debit,prize_competitions,prize_competitions
Ukcc.co.uk,UKCC.CO.UK Uk Carp Competitions,0.88,debit,prize_competitions,prize_competitions
That Prize Guy LTD,THAT PRIZE GUY LTD,0.9,debit,prize_competitions,prize_competitions
Botb,BOTB,16.55,debit,prize_competitions,prize_competitions
Jackpotz Competitions,Jackpotz Competitions,0.28,debit,prize_competitions,prize_competitions
Click Competition,CLICK COMPETITIONS  ON 27 AUG CPM,2.04,debit,prize_competitions,prize_competitions
Rev Corp,Rev Corp,17.35,debit,prize_competitions,prize_competitions
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 50.00 ON 27 AUG VISA 2.25135 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.66 TELEMATIC INTERACTIVBG,22.87,debit,gambling_unspecified,gambling_unspecified
Uk Limited,888*UK LIMITED,10.0,debit,gambling_unspecified,gambling_unspecified
Rankinterac,PAYPAL *RANKINTERA,10.0,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 28.00 ON 11 SEP VISA 2.252049 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.37 TELEMATIC INTERACTIVBG,12.8,debit,gambling_unspecified,gambling_unspecified
Rk Winnerz,Rk Winnerz,5.55,debit,groceries,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 50.00 ON 18 SEP VISA 2.233928 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.67 TELEMATIC INTERACTIVBG,23.05,debit,gambling_unspecified,gambling_unspecified
Uk Limited,888*UK Limited    Internet,15.0,debit,gambling_unspecified,gambling_unspecified
Rankinterac,PAYPAL *RANKINTERA,10.0,debit,gambling_unspecified,gambling_unspecified
Uk Limited,888*UK LIMITED,30.0,debit,gambling_unspecified,gambling_unspecified
Uk Limited,888*UK Limited    Internet,10.0,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 18.00 ON 18 AUG VISA 2.256985 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.24 TELEMATIC INTERACTIVBG,8.22,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 48.00 ON 21 AUG VISA 2.252181 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.64 TELEMATIC INTERACTIVBG,21.95,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 22.00 ON 05 SEP VISA 2.247757 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.29 TELEMATIC INTERACTIVBG,10.08,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 60.00 ON 21 AUG VISA 2.252181 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.80 TELEMATIC INTERACTIVBG,27.44,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 48.00 ON 21 AUG VISA 2.252181 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.64 TELEMATIC INTERACTIVBG,21.95,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 40.00 ON 18 SEP VISA 2.233928 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.54 TELEMATIC INTERACTIVBG,18.45,debit,gambling_unspecified,gambling_unspecified
Rankinterac,PAYPAL *RANKINTERA,10.0,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 48.00 ON 21 AUG VISA 2.252181 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.64 TELEMATIC INTERACTIVBG,21.95,debit,gambling_unspecified,gambling_unspecified
Uk Limited,888*uk Limited,20.0,debit,gambling_unspecified,gambling_unspecified
Telematic Interactivbg,TELEMATIC INTERACT BULGARIA AMOUNT IN BGN 80.00 ON 27 SEP VISA 2.224615 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £1.08 TELEMATIC INTERACTIVBG,37.04,debit,gambling_unspecified,gambling_unspecified
Barclaycard,BARCLAYCARD,6.85,debit,credit_card_repayment,credit_card_repayment
NewDay,To Newday Ltd - XXXXXXXXXXXX3986,52.81,debit,credit_card_repayment,credit_card_repayment
Capital One,Capital One PBB00016880206,80.0,debit,credit_card_repayment,credit_card_repayment
Capital One,CAPITAL ONE XXXXXXXXXXXX3860,15.0,debit,credit_card_repayment,credit_card_repayment
Vanquis Bank,VANQUIS BANK XXXXXXXXXXXX5229,7.19,debit,credit_card_repayment,credit_card_repayment
Barclaycard,MR ARMENS GALUSTJA  XXXXXXXXXXXX1007 BBP Barclaycard,93.32,debit,credit_card_repayment,credit_card_repayment
Barclaycard,B/CARD FORWARD  XXXXXXXXXXXX0009 DDR Barclaycard,15.0,debit,credit_card_repayment,credit_card_repayment
Barclaycard,"BILL PAYMENT VIA FASTER PAYMENT TO MR PAUL GIBSON REFERENCE BARCLAYCARD , MANDATE NO 2",15.0,debit,transfer_p2p,credit_card_repayment
Capital One,CAPITAL ONE PI9352934831420801,10.0,debit,credit_card_repayment,credit_card_repayment
Barclaycard,BARCLAYCARD Barclaycard,240.0,debit,credit_card_repayment,credit_card_repayment
Capital One,CAPITAL ONE XXXXXXXXXXXX9605,17.39,debit,credit_card_repayment,credit_card_repayment
Barclaycard,BARCLAYCARD,200.0,debit,credit_card_repayment,credit_card_repayment
Vanquis Bank,Vanquis Bank Ltd 000034959764250909,75.0,debit,credit_card_repayment,credit_card_repayment
Capital One,To Capital One - PBB00017119242 - SortCodeAccountNumber: 40025081077082,5.91,debit,credit_card_repayment,credit_card_repayment
NewDay,NEWDAY LTD  XXXXXXXXXXXX0069 DDR Newday,28.26,debit,credit_card_repayment,credit_card_repayment
Capital One,CAPITAL ONE  PBB00016742054 FT,58.44,debit,credit_card_repayment,credit_card_repayment
Vanquis Bank,VANQUIS BANK  XXXXXXXXXXXX2288 DDR Vanquis Bank,33.53,debit,credit_card_repayment,credit_card_repayment
Capital One,CAPITAL ONE,25.65,debit,credit_card_repayment,credit_card_repayment
Capital One,Capital One - SortCodeAccountNumber: 40025081077082,20.0,debit,credit_card_repayment,credit_card_repayment
Capital One,CAPITAL ONE PI2664653280271465,160.0,debit,credit_card_repayment,credit_card_repayment
American Express,American Express Payment Services AX7588779454,100.0,credit,refund_received,charge_card_repayment
American Express,AMERICAN EXPRESS  INITIAL PAYMENT,237.61,debit,charge_card_repayment,charge_card_repayment
American Express,American Express P Amex Payment Servi,9.42,debit,charge_card_repayment,charge_card_repayment
American Express,American Express Payment Services AX7588779454,139.5,credit,refund_received,charge_card_repayment
American Express,AMERICAN EXPRESS  FIRST PAYMENT,1148.9,debit,charge_card_repayment,charge_card_repayment
American Express,AMERICAN EXPRESS 3412-701065-71000 FIRST DDR PAYMENT DDR American Express,18.94,debit,charge_card_repayment,charge_card_repayment
American Express,American Express Payment Services AX7588779454,120.0,credit,refund_received,charge_card_repayment
American Express,AMERICAN EXPRESS 3412-765964-21002 FIRST DDR PAYMENT DDR American Express,25.0,debit,charge_card_repayment,charge_card_repayment
American Express,American Express Payment Services,130.05,credit,refund_received,charge_card_repayment
American Express,American Express Payment Services AX7588779454,237.2,credit,refund_received,charge_card_repayment
,JOHN THORNHILL    AMEX PAYMENT      VIA MOBILE - PYMT,302.0,debit,transfer_p2p,charge_card_repayment
American Express,American Express Payment Services,27.85,credit,refund_received,charge_card_repayment
American Express,American Express Payment Services,63.0,credit,refund_received,charge_card_repayment
American Express,American Express Payment Services AX7588779454,157.1,credit,refund_received,charge_card_repayment
American Express,American Express Payment Services,206.1,credit,refund_received,charge_card_repayment
,Amex Payments pot transfer,2.75,credit,savings_transfer,charge_card_repayment
,JOHN THORNHILL    AMEX PAYMENT      VIA MOBILE - PYMT,1749.75,debit,transfer_p2p,charge_card_repayment
American Express,AMERICAN EXPRESS  FIRST PAYMENT,200.0,debit,charge_card_repayment,charge_card_repayment
American Express,American Express Payment Services,65.5,credit,refund_received,charge_card_repayment
American Express,American Express Payment Services,130.0,credit,refund_received,charge_card_repayment
Loqbox Grow,LOQBOX Grow  ON 01 AUG BCC LOQBOX GROW,14.95,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,LOQBOX       Grow BRISTOL,10.0,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,4498 17JUN25      PAYPAL *PAYPAL    CREDIT            35314369001 GB,96.61,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,Visa purchase PAYPAL *PAYPAL CREDIT 1536,58.35,debit,revolving_credit_repayment,revolving_credit_repayment
Credit, Paypal Credit,200.93,debit,revolving_credit_repayment,revolving_credit_repayment
Newpay,Newpay 0000015HI51t7Ufi,39.6,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,LOQBOX       Grow,19.95,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,LOQBOX GROW,14.95,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,LOQBOX       Grow,19.95,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,Loqbox Grow,12.5,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,Loqbox Grow,10.0,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,6157 02AUG25      PAYPAL *PAYPAL    CREDIT            35314369001 GB,50.0,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,2211 01AUG25      PAYPAL *PAYPAL    CREDIT            35314369001 GB,40.0,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,8669 03SEP25      PAYPAL *PAYPAL    CREDIT            35314369001 GB,31.57,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,9227 22AUG25      PAYPAL *PAYPAL    CREDIT            35314369001 GB,5.46,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,6007 16JUL25      PAYPAL *PAYPAL    CREDIT            35314369001 GB,82.56,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,LOQBOX       Grow,11.96,debit,revolving_credit_repayment,revolving_credit_repayment
Credit,Creditladder,8.0,debit,credit_reporting_service,revolving_credit_repayment
Loqbox Grow,LOQBOX       Grow,15.98,debit,revolving_credit_repayment,revolving_credit_repayment
Loqbox Grow,Loqbox Grow,14.95,debit,revolving_credit_repayment,revolving_credit_repayment
Payoff,5507 05JUL25  D   LIME*PAYOFF NFVO  LONDON GB,2.45,debit,taxi_rideshare,personal_loan_repayment
Garnash Limited,Garnash Limited,5.0,debit,groceries,personal_loan_repayment
Zopa,ZOPA BANK LIMITED,195.76,debit,personal_loan_repayment,personal_loan_repayment
Mr S T Page Loan,MR S T PAGE  LOAN FT,21.0,debit,loan_repayment_manual,personal_loan_repayment
Halifax Personal,HALIFAX PERSONAL L 600000001644789611,20.0,debit,personal_loan_repayment,personal_loan_repayment
Zopa,ZOPA,5.5,debit,personal_loan_repayment,personal_loan_repayment
Lendable,LENDABLE                              REFERENCE: XY3NMRZ-5U1310676,30.5,credit,refund_received,personal_loan_repayment
Zopa,4084 15AUG25      WWW.ZOPA.COM      LONDON GB,29.43,debit,personal_loan_repayment,personal_loan_repayment
Novuna Personal Fi,NOVUNA PERSONAL FI  033892991/26 DDR,23.2,debit,personal_loan_repayment,personal_loan_repayment
Zopa,4440 30SEP25      WWW.ZOPA.COM      LONDON GB,100.0,debit,personal_loan_repayment,personal_loan_repayment
Lendable,REVERSAL OF 29-09 LENDABLE,128.75,credit,returned_payment,personal_loan_repayment
Zopa,ZOPA BANK LIMITED 91116395,342.71,debit,personal_loan_repayment,personal_loan_repayment
Zopa,Transfer to Zopa,100.0,debit,savings_transfer,personal_loan_repayment
Payment-assist,Visa purchase WWW.PAYMENT-ASSIST,175.11,debit,bnpl,personal_loan_repayment
Lendable,"DIRECT DEBIT PAYMENT TO LENDABLE REF PEY55DE, MANDATE NO 0088",235.55,debit,personal_loan_repayment,personal_loan_repayment
Zopa,ZOPA CREDIT CARDS,31.3,debit,credit_card_repayment,personal_loan_repayment
First Response Fin,FIRST RESPONSE FIN 72859515-2-1,27.44,debit,car_finance_repayment,personal_loan_repayment
Zopa,"DIRECT DEBIT PAYMENT TO ZOPA BANK LIMITED REF 91354358, MANDATE NO 0113",82.62,debit,personal_loan_repayment,personal_loan_repayment
Lendable,LENDABLE  Z5A3CWC-0U1347435 DDR Lendable,115.25,debit,personal_loan_repayment,personal_loan_repayment
Zopa,1424 28JUN25      WWW.ZOPA.COM      LONDON GB,11.71,debit,personal_loan_repayment,personal_loan_repayment
Slc Receipts,SLC RECEIPTS 0612CAJ/307443W265,37.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS,5.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,0309ZAG/013886 Student Loans Company,5.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,STUDENT LOANS COM  1504SER6472GR STO Student Loans Company,30.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,SLC RECEIPTS  0211SPJ/661940W223 DDR Student Loans Company,5.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS 2305KHA/157771W213,2.93,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,SLC RECEIPTS  1309GUM/435247W213 DDR Student Loans Company,15.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS 1905MOS/184256W274,30.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts Student Loans Company,Slc Receipts Student Loans Company,71.42,debit,student_loan_repayment,student_loan_repayment
Slc Receipts Student Loans Company,Slc Receipts Student Loans Company,30.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS 2305KHA/157771W244,2.93,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS 2305KHA/157771W244,7.07,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS,10.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS 2305KHA/157771W213,7.07,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS 2303STS/178082W289,20.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,SLC RECEIPTS  0603TOA/576121W209 DDR Student Loans Company,15.0,debit,student_loan_repayment,student_loan_repayment
Slc Receipts,SLC RECEIPTS,10.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,SLC RECEIPTS  1309GUM/435247W244 DDR Student Loans Company,15.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,SLC RECEIPTS  0603TOA/576121W181 DDR Student Loans Company,15.0,debit,student_loan_repayment,student_loan_repayment
Student Loans Company,SLC RECEIPTS  3103BAS/866516W216 DDR Student Loans Company,5.0,debit,student_loan_repayment,student_loan_repayment
Stellantis Fs,STELLANTIS FS UK  ZX1468453GRLUK DDR,232.46,debit,car_finance_repayment,car_finance_repayment
Closebrosmotfin,CLOSEBROSMOTFIN,141.6,debit,car_finance_repayment,car_finance_repayment
Stell,Direct debit STELLANTIS FS UK 600001 83609520,429.1,debit,car_finance_repayment,car_finance_repayment
Closebrosmotfin,CLOSEBROSMOTFIN,141.6,debit,car_finance_repayment,car_finance_repayment
BMW,BMW FINANCIAL SERV 4020498/111068109,330.09,debit,car_finance_repayment,car_finance_repayment
Oodle Car,"DIRECT DEBIT PAYMENT TO OODLE CAR FINANCE REF 201229114709050-02, MANDATE NO 0096",261.67,debit,car_finance_repayment,car_finance_repayment
Advantage Finance ,ADVANTAGE FINANCE A259837,331.71,debit,car_finance_repayment,car_finance_repayment
Toyota Financial,TOYOTA FIN SERV 000035165133/16,398.33,debit,car_finance_repayment,car_finance_repayment
Advantage Finance ,8782 31JUL25      ADVANTAGE FINANCE GRIMSBY GB,353.81,debit,car_finance_repayment,car_finance_repayment
BMW,I Breitare                               car  BMW - MK14UVU,4500.0,credit,transfer_p2p,car_finance_repayment
Closebrosmotfin,CLOSEBROSMOTFIN 11-804605,280.0,debit,car_finance_repayment,car_finance_repayment
Toyota Financial,TOYOTA FIN SERV,354.42,debit,car_finance_repayment,car_finance_repayment
Advantage Finance ,ADVANTAGE FINANCE  A289037 DDR Advantage Finance,197.15,debit,car_finance_repayment,car_finance_repayment
Go Car Credit Finance,GO CAR CREDIT FINA,40.0,debit,car_finance_repayment,car_finance_repayment
Mi Vehicle Finance,MI VEHICLE FINANCE M46235205253012,334.49,debit,car_finance_repayment,car_finance_repayment
Stellantis Fs Uk,STELLANTIS FS UK 2573323GG75ZD,606.18,debit,car_finance_repayment,car_finance_repayment
Vw Fs Uk Volkswagen Finance,Vw Fs Uk Volkswagen Finance,318.06,debit,car_finance_repayment,car_finance_repayment
Moneybarn No1,Returned direct debit MONEYBARN NO1 LTD 070246 17985879,303.04,credit,returned_payment,car_finance_repayment
BMW,Spire Parts LTD   BMW Tyres,20.0,debit,spares_repairs,car_finance_repayment
Advantage Finance ,ADVANTAGE FINANCE  A278199 DDR Advantage Finance,108.9,debit,car_finance_repayment,car_finance_repayment
Ald Automotive Sa,ALD AUTOMOTIVE      SA03018499,651.29,debit,car_lease,car_lease
Ald Automotive,ALD AUTOMOTIVE  SA05343075 DDR ALD Automotive,539.94,debit,car_lease,car_lease
Leasys Uk LTD,LEASYS UK LTD,276.88,debit,car_lease,car_lease
Ald Automotive,SQ2710651 Ald Automotive,2544.14,debit,car_lease,car_lease
Ald Automotive,SQ2716625 Ald Automotive,525.0,debit,car_lease,car_lease
Leaseplan USA,LEASEPLAN UK LTD 0135935-64547005,15.0,debit,car_lease,car_lease
Ald Automotive,ALD AUTOMOTIVE,705.92,debit,car_lease,car_lease
Ald Automotive,ALD AUTOMOTIVE,2692.41,debit,car_lease,car_lease
Ald Automotive,ALD AUTOMOTIVE,658.72,debit,car_lease,car_lease
Arval Uk,ARVAL UK LTD MO4725,570.86,debit,car_lease,car_lease
Ald Automotive,SQ2716625 Ald Automotive,525.0,debit,car_lease,car_lease
Leasys Uk LTD,LEASYS UK LTD,276.88,debit,car_lease,car_lease
Ald Automotive,SQ2710651 Ald Automotive,7121.43,debit,car_lease,car_lease
Ald Automotive,SQ2710651 Ald Automotive,2544.14,debit,car_lease,car_lease
Land Rover Chire,"DIRECT DEBIT PAYMENT TO LAND ROVER CHIRE REF QF2664V00466806, MANDATE NO 0031",357.35,debit,car_lease,car_lease
Ald Automotive,ALD AUTOMOTIVE       SQ2678885,481.09,debit,car_lease,car_lease
Leasys Uk LTD,LEASYS UK LTD,324.12,debit,car_lease,car_lease
