merchant,final_leaf,tier,haiku_leaf,sonnet_leaf,sonnet_conf,opus_leaf,general_category,plaid_n
justpark,car_parking,auto_accept,car_parking,car_parking,0.9,,transport_motoring,575
tesla,fuel,accepted_tiebreak,vehicle_purchase,fuel,0.5,fuel,transport_motoring,570
national car parks,car_parking,auto_accept,car_parking,car_parking,0.97,,transport_motoring,565
ovoenergy,energy,auto_accept,energy,energy,0.98,,utilities_household_bills,564
barclays prtnr,retail_finance_repayment,auto_accept,retail_finance_repayment,retail_finance_repayment,0.9,,credit_loan_repayments,557
animal health care,veterinary,accepted,veterinary,veterinary,0.85,,pets,556
paramount,streaming,auto_accept,streaming,streaming,0.92,,digital_subscriptions_services,555
skill on net,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,554
exchanged to btc,crypto,auto_accept,crypto,crypto,0.9,,savings_investments,552
selecta u.k. limited,confectionary,accepted,confectionary,confectionary,0.85,,groceries_household_essentials,543
yourparkingspace,car_parking,auto_accept,car_parking,car_parking,0.95,,transport_motoring,542
ee device,mobile_handset,accepted,mobile_handset,mobile_handset,0.88,,general_retail_marketplaces,525
d&g ao care plan,insurance_other,accepted,insurance_other,insurance_other,0.7,,insurance,525
john lewis & partners,department_store,auto_accept,department_store,department_store,0.9,,general_retail_marketplaces,524
d murray,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,519
david lloyd,gym_fitness,auto_accept,gym_fitness,gym_fitness,0.93,,health_medical,516
ddr,unclassified_other,abstain_residual,unclassified_other,payment_intermediary,0.5,unclassified_transfer,unclassified,516
takeway,takeaway,auto_accept,takeaway,takeaway,0.9,,eating_drinking_out,516
mrs,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,514
go local extra,convenience_store,accepted,convenience_store,convenience_store,0.75,,groceries_household_essentials,513
b&m european retail value s.a.,discount_store,auto_accept,discount_store,discount_store,0.95,,groceries_household_essentials,509
aqua pi,credit_card_repayment,auto_accept,credit_card_repayment,credit_card_repayment,0.9,,credit_loan_repayments,503
t bennett,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,503
j d sports,sportswear,auto_accept,sportswear,sportswear,0.95,,clothing_personal_care,500
freeprints,printing_services,accepted_tiebreak,printing_services,retail_other,0.5,printing_services,business_self_employment,500
💰 pocket money,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,499
buzz group,gambling_bingo,accepted_tiebreak,gambling_bingo,gambling_unspecified,0.7,gambling_bingo,gambling,499
broadway casino,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,497
k lynn,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,497
gopuff,convenience_store,accepted,convenience_store,convenience_store,0.7,,groceries_household_essentials,496
talktalk telecom,broadband_tv_phone,auto_accept,broadband_tv_phone,broadband_tv_phone,0.95,,utilities_household_bills,496
vdp-that pr,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,493
mum food via,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.7,,transfers,492
savers health & be,pharmacy,auto_accept,pharmacy,pharmacy,0.9,,health_medical,475
london underground limited,public_transport_rail_coach,auto_accept,public_transport_rail_coach,public_transport_rail_coach,0.95,,transport_motoring,475
go local,convenience_store,accepted_tiebreak,convenience_store,convenience_store,0.6,convenience_store,groceries_household_essentials,472
select and save,groceries,accepted_general,groceries,groceries,0.6,convenience_store,groceries_household_essentials,470
united kingdom,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,468
smarty co uk,mobile_phone_contract,accepted,mobile_phone_contract,mobile_phone_contract,0.85,,utilities_household_bills,466
meccabingo,gambling_bingo,auto_accept,gambling_bingo,gambling_bingo,0.95,,gambling,464
the vending people ltd,unclassified_other,abstain_residual,convenience_store,retail_other,0.6,confectionary,unclassified,459
disney,streaming,auto_accept,streaming,streaming,0.95,,digital_subscriptions_services,457
poundbakery,restaurant_cafe,accepted_tiebreak,takeaway,restaurant_cafe,0.7,restaurant_cafe,eating_drinking_out,453
cd boots,pharmacy,auto_accept,pharmacy,pharmacy,0.9,,health_medical,451
perks,unclassified_other,abstain_confirmed,unclassified_other,transfer_p2p,0.55,unclassified_other,unclassified,451
broadway gaming,gambling_casino,accepted,gambling_casino,gambling_casino,0.75,,gambling,451
the gym,gym_fitness,auto_accept,gym_fitness,gym_fitness,0.95,,health_medical,450
trip,accommodation,accepted,accommodation,accommodation,0.8,,travel_holidays,447
exchanged to eth,crypto,auto_accept,crypto,crypto,0.9,,savings_investments,447
c b&m,discount_store,auto_accept,discount_store,discount_store,0.92,,groceries_household_essentials,444
pubcasino.co.uk,gambling_casino,auto_accept,gambling_casino,gambling_casino,0.9,,gambling,441
kath money,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.7,,transfers,440
transdev,public_transport_rail_coach,accepted,public_transport_rail_coach,public_transport_rail_coach,0.85,,transport_motoring,440
starling,transfer_own_account,accepted,transfer_own_account,transfer_own_account,0.75,,transfers,437
electraworks casinos & bingo sites,gambling_casino,accepted,gambling_casino,gambling_casino,0.85,,gambling,436
www.getbits.app,unclassified_other,context_dependent,unclassified_other,crypto,0.6,money_management_service,unclassified,435
one london,web_services,accepted_tiebreak,web_services,software,0.75,web_services,digital_subscriptions_services,432
very bootle,catalogue_retail,auto_accept,catalogue_retail,catalogue_retail,0.9,,general_retail_marketplaces,430
cuvva,insurance_motor,auto_accept,insurance_motor,insurance_motor,0.9,,insurance,424
overdales,debt_collection,accepted_tiebreak,unclassified_other,debt_collection,0.85,debt_collection,high_cost_distress_credit,423
domino's pizza,takeaway,auto_accept,takeaway,takeaway,0.9,,eating_drinking_out,422
b&q,home_improvement,auto_accept,home_improvement,home_improvement,0.95,,home_garden,420
miss,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.7,,transfers,415
savers,pharmacy,accepted,pharmacy,pharmacy,0.85,,health_medical,412
zettle,payment_intermediary,accepted_tiebreak,payment_intermediary,eating_out_other,0.4,payment_intermediary,general_retail_marketplaces,411
family shopper,convenience_store,accepted,convenience_store,convenience_store,0.7,,groceries_household_essentials,406
uk limited,gambling_unspecified,human_reviewed,unclassified_other,gambling_unspecified,0.55,gambling_casino,gambling,404
dad,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.8,,transfers,403
t mohammad,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,401
a mussarat,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,401
love holidays,holiday_package,auto_accept,holiday_package,holiday_package,0.9,,travel_holidays,398
jasmin tao hughes,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,398
first central serv,insurance_motor,accepted_tiebreak,insurance_motor,insurance_motor,0.6,insurance_motor,insurance,395
shopify,business_services,accepted_tiebreak,payment_intermediary,business_services,0.5,business_services,business_self_employment,394
cd ridgewood stores,unclassified_other,abstain_residual,retail_small_independent,retail_small_independent,0.5,convenience_store,unclassified,394
flower lane sp,unclassified_other,abstain_confirmed,gifts_flowers,unclassified_other,0.3,unclassified_other,unclassified,393
s harris-day,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,387
l rose,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,387
esure,insurance_motor,accepted,insurance_motor,insurance_motor,0.85,,insurance,386
next retail ltd,retail_finance_repayment,human_reviewed,retail_finance_repayment,retail_finance_repayment,0.65,catalogue_retail,credit_loan_repayments,385
extra,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,385
pc goskippy,insurance_motor,accepted_tiebreak,insurance_pet,insurance_motor,0.85,insurance_motor,insurance,385
hpi instant ink uk,printing_supplies,accepted_tiebreak,printing_supplies,printing_supplies,0.5,printing_supplies,general_retail_marketplaces,385
contactless.travel,public_transport_rail_coach,accepted_tiebreak,travel_other,public_transport_rail_coach,0.5,public_transport_rail_coach,transport_motoring,384
heartbingo,gambling_bingo,auto_accept,gambling_bingo,gambling_bingo,0.9,,gambling,383
max,unclassified_other,abstain_confirmed,streaming,unclassified_other,0.4,unclassified_other,unclassified,382
tsb bank,transfer_p2p,accepted_tiebreak,transfer_own_account,transfer_p2p,0.55,transfer_p2p,transfers,380
d townsley,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,379
j javed,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,376
exchanged to xrp,crypto,accepted,crypto,crypto,0.85,,savings_investments,375
bolt.eu o,taxi_rideshare,accepted,taxi_rideshare,taxi_rideshare,0.85,,transport_motoring,375
classic plus,transfer_own_account,accepted_tiebreak,transfer_own_account,transfer_own_account,0.55,transfer_own_account,transfers,375
miss bethany r tas,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,374
lci,unclassified_other,abstain_confirmed,payment_intermediary,unclassified_other,0.3,unclassified_other,unclassified,369
itvx,streaming,auto_accept,streaming,streaming,0.9,,digital_subscriptions_services,369
m gleeson,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,366
jordan mckenna mum,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.7,,transfers,366
moredon stores,convenience_store,accepted_tiebreak,convenience_store,convenience_store,0.6,convenience_store,groceries_household_essentials,359
who internet,unclassified_other,abstain_confirmed,broadband_tv_phone,unclassified_other,0.3,unclassified_other,unclassified,356
apple store,computing_devices,accepted_tiebreak,computing_devices,computing_devices,0.55,computing_devices,general_retail_marketplaces,355
marbles,credit_card_repayment,accepted,credit_card_repayment,credit_card_repayment,0.85,,credit_loan_repayments,354
fairforyou,retail_finance_repayment,accepted_tiebreak,bnpl,retail_finance_repayment,0.75,retail_finance_repayment,credit_loan_repayments,354
james,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,353
lowell group,debt_collection,auto_accept,debt_collection,debt_collection,0.92,,high_cost_distress_credit,353
grab,taxi_rideshare,accepted_tiebreak,taxi_rideshare,takeaway,0.5,taxi_rideshare,transport_motoring,353
scottishpower,energy,auto_accept,energy,energy,0.97,,utilities_household_bills,351
sky tv,broadband_tv_phone,accepted,broadband_tv_phone,broadband_tv_phone,0.85,,utilities_household_bills,350
cooplands,restaurant_cafe,accepted,restaurant_cafe,restaurant_cafe,0.75,,eating_drinking_out,350
scotmid co-operative,groceries,auto_accept,groceries,groceries,0.92,,groceries_household_essentials,350
ag communications,broadband_tv_phone,accepted_tiebreak,broadband_tv_phone,broadband_tv_phone,0.6,broadband_tv_phone,utilities_household_bills,348
mum,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.85,,transfers,348
close,insurance_general,accepted_tiebreak,insurance_general,insurance_general,0.5,insurance_general,insurance,348
best one express,convenience_store,accepted,convenience_store,convenience_store,0.85,,groceries_household_essentials,348
petplan,insurance_pet,auto_accept,insurance_pet,insurance_pet,0.95,,pets,347
polesworth convenience,convenience_store,auto_accept,convenience_store,convenience_store,0.92,,groceries_household_essentials,346
m horrix,transfer_p2p,accepted_tiebreak,transfer_p2p,personal_loan_repayment,0.55,transfer_p2p,transfers,344
michaels,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,343
brighton and hove buses,public_transport_rail_coach,auto_accept,public_transport_rail_coach,public_transport_rail_coach,0.92,,transport_motoring,342
hellofresh,groceries,accepted,groceries,groceries,0.7,,groceries_household_essentials,341
kens convenien winsford,convenience_store,accepted,convenience_store,convenience_store,0.85,,groceries_household_essentials,339
a dawson,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,339
home insurancelbis,insurance_home,accepted,insurance_home,insurance_home,0.85,,insurance,337
tgtg,takeaway,accepted_tiebreak,takeaway,groceries,0.6,takeaway,eating_drinking_out,337
c weston,transfer_p2p,accepted_tiebreak,unclassified_other,transfer_p2p,0.6,transfer_p2p,transfers,336
wescot credit services,debt_collection,auto_accept,debt_collection,debt_collection,0.9,,high_cost_distress_credit,334
r green,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,334
fraud,refund_received,accepted,refund_received,refund_received,0.75,,income_other,333
doublebubblebingo,gambling_bingo,auto_accept,gambling_bingo,gambling_bingo,0.9,,gambling,332
happytiger,takeaway,accepted_general,takeaway,takeaway,0.55,eating_out_other,eating_drinking_out,332
oodle car finance,car_finance_repayment,auto_accept,car_finance_repayment,car_finance_repayment,0.92,,credit_loan_repayments,329
driving standards agency,driving_tuition,accepted,driving_tuition,driving_tuition,0.75,,childcare_education,328
cd spar,groceries,accepted,groceries,groceries,0.85,,groceries_household_essentials,328
dixy chicken,takeaway,auto_accept,takeaway,takeaway,0.9,,eating_drinking_out,328
fnz,unclassified_other,abstain_confirmed,unclassified_other,investment_general,0.55,unclassified_other,unclassified,328
savers health and beauty,pharmacy,accepted,pharmacy,pharmacy,0.8,,health_medical,327
robinson hello,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,326
dazn,streaming,accepted,streaming,streaming,0.85,,digital_subscriptions_services,325
j berryman,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,324
betano.co.uk,gambling_betting,accepted,gambling_betting,gambling_betting,0.85,,gambling,322
a betteridge,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,321
bodycare,health_beauty_general,accepted_tiebreak,pharmacy,health_beauty_general,0.6,health_beauty_general,clothing_personal_care,320
ltd,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,320
t j morris ltd,discount_store,accepted,discount_store,discount_store,0.75,,groceries_household_essentials,318
albert,transfer_p2p,accepted_tiebreak,transfer_p2p,savings_transfer,0.55,transfer_p2p,transfers,318
d meccabingo,gambling_bingo,auto_accept,gambling_bingo,gambling_bingo,0.95,,gambling,315
xero,accountancy,accepted_tiebreak,software,accountancy,0.85,accountancy,business_self_employment,313
sarah,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.75,,transfers,313
volvo,vehicle_purchase,human_reviewed,unclassified_other,vehicle_purchase,0.4,car_finance_repayment,transport_motoring,313
youfibre,broadband_tv_phone,accepted,broadband_tv_phone,broadband_tv_phone,0.85,,utilities_household_bills,310
lavazza professional uk,confectionary,accepted,confectionary,confectionary,0.7,,groceries_household_essentials,310
twilio,web_services,accepted,web_services,web_services,0.85,,digital_subscriptions_services,307
mortimer clarke,debt_collection,accepted_tiebreak,unclassified_other,debt_collection,0.8,debt_collection,high_cost_distress_credit,307
gbp pro,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,305
natwest loan,personal_loan_repayment,accepted_tiebreak,loan_repayment_dd,personal_loan_repayment,0.85,personal_loan_repayment,credit_loan_repayments,305
allianz,insurance_general,accepted,insurance_general,insurance_general,0.75,,insurance,302
timpson,unclassified_other,abstain_residual,retail_small_independent,retail_small_independent,0.5,home_repair,unclassified,302
asda.george,clothing_general,accepted,clothing_general,clothing_general,0.7,,clothing_personal_care,302
broderick vend,confectionary,accepted_tiebreak,confectionary,convenience_store,0.55,confectionary,groceries_household_essentials,302
whatnot cd,marketplace_general,accepted_tiebreak,unclassified_other,marketplace_general,0.6,marketplace_general,general_retail_marketplaces,302
d inayatullah,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.65,transfer_p2p,transfers,300
nyx,unclassified_other,abstain_residual,health_beauty_general,skin_hair_care,0.5,days_out,unclassified,300
cd nyx,unclassified_other,abstain_residual,health_beauty_general,beauty_treatment,0.4,confectionary,unclassified,299
aspire,prize_competitions,accepted_tiebreak,prize_competitions,prize_competitions,0.55,prize_competitions,gambling,298
justeatcouk,takeaway,auto_accept,takeaway,takeaway,0.95,,eating_drinking_out,295
barnardo's,charitable_donation,accepted,charitable_donation,charitable_donation,0.85,,charitable_political_giving,293
dhgate,marketplace_general,accepted,marketplace_general,marketplace_general,0.85,,general_retail_marketplaces,292
everyday,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,291
d whitworth,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,290
s sprigg,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,288
tv licensing spp,tv_licence,auto_accept,tv_licence,tv_licence,0.95,,utilities_household_bills,288
d gleed,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,288
rooster money,prepaid_card,accepted_tiebreak,prepaid_card,financial_services_other,0.4,prepaid_card,transfers,287
david,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,287
mob miss jessica marsh,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,287
j de battisti,transfer_p2p,accepted_tiebreak,restaurant_cafe,transfer_p2p,0.55,transfer_p2p,transfers,285
paypoint,payment_intermediary,accepted_tiebreak,payment_intermediary,utility_other,0.4,payment_intermediary,general_retail_marketplaces,285
trustly uk limited,payment_intermediary,accepted_tiebreak,payment_intermediary,payment_intermediary,0.55,payment_intermediary,general_retail_marketplaces,284
s fagan,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.55,transfer_p2p,transfers,283
s harris,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,283
nx bus,public_transport_rail_coach,accepted,public_transport_rail_coach,public_transport_rail_coach,0.85,,transport_motoring,282
my jaja,credit_card_repayment,human_reviewed,prepaid_card,prepaid_card,0.4,credit_card_repayment,credit_loan_repayments,282
paysafecard,prepaid_card,accepted_tiebreak,prepaid_card,prepaid_card,0.55,prepaid_card,transfers,281
diamond draws,prize_competitions,accepted,prize_competitions,prize_competitions,0.75,,gambling,281
three square market,convenience_store,accepted,convenience_store,convenience_store,0.7,,groceries_household_essentials,279
apple itunes,streaming,accepted_general,streaming,streaming,0.4,software,digital_subscriptions_services,279
currys pc world,computing_devices,accepted,computing_devices,computing_devices,0.85,,general_retail_marketplaces,279
whataday,unclassified_other,abstain_confirmed,takeaway,unclassified_other,0.3,unclassified_other,unclassified,277
decorum vending payter,convenience_store,accepted_general,convenience_store,convenience_store,0.5,confectionary,groceries_household_essentials,276
breeze competition cd,prize_competitions,accepted,prize_competitions,prize_competitions,0.7,,gambling,276
r brandenberg,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,275
ring,unclassified_other,abstain_residual,home_accessories,web_services,0.5,online_services,unclassified,275
novuna personal fi,personal_loan_repayment,accepted,personal_loan_repayment,personal_loan_repayment,0.85,,credit_loan_repayments,274
alife ahmed,transfer_p2p,accepted,transfer_p2p,transfer_p2p,0.7,,transfers,274
natwest bank,financial_institution_unspecified,accepted,financial_institution_unspecified,financial_institution_unspecified,0.7,,unclassified,274
the,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,272
l and l,unclassified_other,abstain_confirmed,unclassified_other,unclassified_other,0.3,,unclassified,272
britannia parking,car_parking,accepted_tiebreak,car_parking,car_parking,0.6,car_parking,transport_motoring,268
resolvecall limite,debt_collection,accepted_tiebreak,unclassified_other,debt_collection,0.6,debt_collection,high_cost_distress_credit,268
c strickland,transfer_p2p,accepted_tiebreak,transfer_p2p,transfer_p2p,0.6,transfer_p2p,transfers,267
blink,unclassified_other,abstain_residual,gym_fitness,car_parking,0.4,unclassified_recurring,unclassified,267
stars,gambling_casino,accepted_tiebreak,gambling_unspecified,gambling_casino,0.5,gambling_casino,gambling,267
