merchant_raw,description_raw,amount,direction,gold_leaf
GossyPium,0474 26NOV24 C    SHELL GOSSYPIUM   OLDHAM GB,1.65,debit,fuel
Winter Fuel Payment,YE297946D DWP WFP,250.0,credit,benefits_state
St Peters Hospice,Contactless Payment ST PETERS HOSPICE APPLEPAY 9707,20.03,debit,charity_shop
Mecca/Grosvenor,GROSVENOR  ON 30 JAN CPM Rank Group - Mecca/Grosvenor,200.0,debit,gambling_casino
cRewards,Visa purchase C-REWARDS 3340_11972820 1,40.0,debit,gambling_casino
Greylees Garage,GREYLEES GARAGE Greylees Garage,4.29,debit,fuel
Van Insurance,vaninsurance.co.uk VANINSURANCE.CO.UK     GUILDFORD     GBR,284.75,debit,insurance_motor
Golds Gym,GOLDS GYM HARROW  HAR87930 DDR Golds Gym,27.99,debit,gym_fitness
First Travel Solutions Limited,FIRST TRAVEL SOLUT FIRST TRAVEL SOLUTIONS,2.0,debit,public_transport_rail_coach
Bensons Vending,BENSONS VENDING LI BENSONS VENDING LIMITED,0.9,debit,confectionary
Tidal Music,6119 10DEC24      TIDAL             MALMO SE,10.99,debit,streaming
Boots Reward Scheme,Boots Opticians BOOTS REWARDSCHEME Boots Rewardscheme,16.5,debit,optician
The Counting House,COUNTING HOUSE CD 7376,5.19,debit,pub_bar
Four Horseshoes,Four Horseshoes Camber,23.7,debit,pub_bar
Station House Limited,Station House Pub STATION HOUSE          WOODBRIDGE IP GBR,24.0,debit,pub_bar
Husk,M HUSK,50.0,credit,transfer_p2p
La Perla,La Perla Negra LA PERLA NEGRA         SIN ASIGNAR   AND,11.19,debit,foreign_spend_unspecified
Napster,NAPSTER UK CD 0758,10.99,debit,streaming
Rowans Tenpin Bowl,Rowans Tenpin Bowling ROWANS TEN PIN BWL     FINSBURY PARK GBR,16.3,debit,days_out
BetterMe (part of The Weel Consultancy),V*BetterMe App - P CYPRUS ON 18 MAY CPM,37.19,debit,weight_loss
Sheraton,"WLT 54, The Sheraton",7.35,debit,pub_bar
Reco,LANTERN DEBT RECO  M7971565 STO,1.0,debit,debt_collection
Capital Credit Union,CAPITAL CREDIT UNI                    REFERENCE: ************0001,75.0,debit,credit_union_repayment
Zpos,ZPOS* DENNIS CHIPP ZPOS* DENNIS CHIPPY,15.25,debit,takeaway
Hypercasino,INT'L 0025906210  HYPERCASINO.COM   MOSTA,200.0,debit,gambling_casino
Pink Riches,Pink Riches Pink Riches            Guernsey      GBR,20.0,debit,gambling_casino
Brightside Car Insurance,CLOSE-BRIGHTSIDE,108.82,debit,insurance_motor
Rosy Bingo,rosybingo.com  ON 16 MAR BCC,10.0,debit,gambling_bingo
Hitachi Capital,03418722502 Hitachi Capital,75.22,debit,retail_finance_repayment
Principal Insurance,CLOSE-PRINCIPAL IN,12.64,debit,insurance_motor
Stealth Competitions,Stealth Competitions Limited             OBL1W7HCSBCVFRNE99,2.0,debit,prize_competitions
Fenland District Council,Direct Debit - First Payment FENLAND DISTRICT C ************0293,47.0,debit,council_tax
Asia Continental,ASIA CONTINENTAL L ASIA CONTINENTAL LIMIT,12.48,debit,groceries_specialist
Ferry Stores,CRV*FERRY STORES,3.0,debit,convenience_store
Gibbet Nook Filling Station,GIBBET NOOK FILLIN  ON 05 SEP CLP,14.52,debit,fuel
TomTom,TomTom 415303292 LIVE,4.5,debit,online_services
Thornley Groves,THORNLEY GROVES LTLEEDS,550.0,debit,rent
Casushi,"Card 57, Casushi Sales",50.0,debit,gambling_casino
Green & Fortune Associates,4179 04JUL25 C    GREEN AND FORTUNE ASSO              LONDON GB,8.4,debit,catering
North East Vending,NORTH EAST VENDING NORTH EAST VENDING LTD,0.9,debit,confectionary
Santander Loans,"DIRECT DEBIT PAYMENT TO SANTANDER CONSUMER REF ************0882, MANDATE NO 0033",151.19,debit,personal_loan_repayment
Amigo Loans,Amigo L-dom Bournemout AMIGO L-DOM BOURNEMOUT BOURNEMOUTH   GBR,39.34,debit,personal_loan_repayment
myCRS,www.paycrs.co.uk WWW.PAYCRS.CO.UK       HALIFAX       GBR,60.22,debit,debt_collection
The Anchor Inn,THE ANCHOR INN  ON 28 DEC CPM The Anchor Inn,26.7,debit,pub_bar
Hanover Dairies,HANOVER DAIRIES LT,38.17,debit,groceries_specialist
Quick Commerce Ltd,4299 25OCT24  D   ZAPP - QUICK      COMMERCE          NA GB,37.76,debit,groceries
Fragrance Direct,"Card 76, Fragrance Direct Uk",29.25,debit,fragrances
Plata Finance Ltd,PLATA FINANCE LTD  ON 13 NOV BCC,301.12,debit,personal_loan_repayment
Duologi,DUOLOGI,46.63,debit,retail_finance_repayment
Tafzalhshah Ltd,McDonald?s TAFZALHSHAH LTD        LEEDS         GBR,2.39,debit,takeaway
Not on the High Street,notonthehighstreet notonthehighstreet.com,25.75,debit,gifts_flowers
Rotherham Borough Council,"Rotherham Borough, 50815862",250.0,debit,council_tax
CMT (Black Cabs),CMT UK Taxi Fare CMT UK LTD TAXI FARE   London        GBR,24.8,debit,taxi_rideshare
iTalk,ITALK TELECOM,20.0,debit,broadband_tv_phone
Northridge Finance,NIIB T/A NORTHRIDG  010209184080/26 DDR,179.56,debit,car_finance_repayment
Continental Stores,INDIAN CONTINENTAL INDIAN CONTINENTAL STORES,5.5,debit,groceries_specialist
O2 Academy,O2 ACADEMY EDINBUR O2 ACADEMY EDINBURGH,25.5,debit,live_music
Nexo,NEXO              DXCXCPNMRT        VIA MOBILE - PYMT FP 13/02/************6851000N,19.5,debit,crypto
Perth & Kinross Council,Bank credit PERTH&KINROSS CNCL ************1138,833.25,credit,salary
Tropic Skincare,TROPIC SKINCARE LTD CD 6153,126.0,debit,skin_hair_care
Snax Group Limited,SNAX GROUP  ON 25 AUG CPM,1.1,debit,confectionary
Oliver Bonas,OLIVER BONAS CHELTENHA Oliver Bonas Cheltenha,11.9,debit,clothing_womens
Fair Finance,EAST END FAIR FINA,71.39,debit,personal_loan_repayment
West Brom,WEST BROMWICH BSOC  ************4934 DDR West Bromwich Building Society,717.93,debit,mortgage
Blacks,zara new                                 BLACKS-RAB COAT cp,48.75,debit,clothing_outdoor
Hippodrome,Birmingham Hippodr  ON 20 SEP CLP BIRMINGHAM HIPPODROME,17.0,debit,theatre
Cold Weather Payment,"BANK GIRO CREDIT REF YE926028B DWP CWP, ************0058",25.0,credit,benefits_state
Good News,1092 20NOV24 CD   PPOINT_*GOOD LUCK NEWS              COVENTRY GB,4.0,debit,convenience_store
Motel Rocks,6118 29DEC23      PAYPAL *MOTEL     ROCKS             35314369001 GB,98.0,debit,clothing_womens
Abracadabra.money,Exchanged to SPELL,3.0,debit,crypto
The Black Horse Brimingham,SOUTH WEST TAVERNS THE BLACK HORSE ************5000N 24AUG24,105.0,credit,pub_bar
Equifinance,EQUIFINANCE LTD  00427624 DDR,1115.06,debit,personal_loan_repayment
Simply Fresh,Simply Fresh SIMPLY FRESH           LONDON        GBR,3.56,debit,convenience_store
Opos,OPOS LTD R/T  ON 26 MAY BCC,9.38,debit,debt_collection
Beagle Street,"DIRECT DEBIT PAYMENT TO BEAGLE ST LIFE REF 131976709350739211, MANDATE NO 0062",13.89,debit,insurance_life
Simply Health,SIMPLYHEALTH,10.0,debit,insurance_health
Scarborough Borough Council,SCARBOROUGH BC (E),4.6,debit,government_services
Shelby Finance Ltd,SHELBY FINANCE LIM,186.92,debit,payday_loan
The Sun Play,The Sun Play,97.5,credit,gambling_unspecified
Turls Green,8151 06JAN25 CD   TURLS GREEN       BRADFORD GB,10.89,debit,pub_bar
Darwin Insurance,"DIRECT DEBIT PAYMENT TO CLOSE-DARWIN REF 82784364, MANDATE NO 0026",33.58,debit,insurance_motor
CCS Collections,CCSL DD ACCOUNT,40.64,debit,debt_collection
Supercups Vending,2144 20MAR24      NYA*SUPERCUPS     VENDING           ABERYSTWYTH GB,0.25,debit,confectionary
Commsave Credit union,COMMSAVE CREDIT UN b364c25fa42d4cdaae,95.0,credit,loan_disbursement
London Borough of Houndslow,London Borough of Hounslow LB Hounslow            Hounslow      GBR,13.75,debit,government_services
Amway,AMWAY UK GBP,10.43,credit,income_other_unspecified
A & S Convenience,A & S CONVENIENCE  ON 06 AUG CLP,3.1,debit,convenience_store
2 Sisters Food Group,2 SISTERS,247.37,credit,salary
SteadyPay,STEADYPAY LIMITED  SteadyPay top up BGC,100.0,credit,loan_disbursement
portobello juice,Portobello juice,370.16,credit,salary
Northern Trains Limited,Northern Trains NORTHERN TRAINS LTD    BLACKBURN     GBR,2.7,debit,public_transport_rail_coach
Inbet.com,inbet.com Inbet.com,20.04,debit,gambling_casino
Dial Direct,BISL DIAL DIRECT,26.74,debit,insurance_general
Litecoin,Exchanged to LTC,20.29,debit,crypto
The Gate,The Gate Hangs Hig The Gate Hangs High,15.2,debit,pub_bar
Raffolux,PAYPAL *RAFFOLUX R  ON 15 MAR BCC PAYPAL *RAFFOLUX RAFFO,5.0,debit,prize_competitions
Myla,C Myla,200.0,credit,transfer_p2p
Dash,DASH CONVENIENCE S DASH CONVENIENCE STORE,6.93,debit,convenience_store
Charles Tyrwhitt Shirts,Charles Tyrwhitt - Charles Tyrwhitt - Edi,159.85,debit,clothing_mens
EA Store,The Sims Resource,4.2,debit,gaming_console_pc
Ministry of Defence,MOD DBS RET PMTS,2639.1,credit,pension_received
The Local Zone,3374 09OCT24 CD   THE LOCAL ZONE    LIVERPO           LIVERPOOL GB,2.45,debit,convenience_store
Lowie,LOWIE  AE         MONEY             FP 25/09/23 1431  61143148579049000NLOWIE  AE         MONEY             VIA MOBILE - LVP,5.0,credit,transfer_p2p
O2 Pay As You Go,O2 PREPAY TOP-UP,10.0,debit,mobile_phone_contract
Upper Crust,UPPER CRUST,6.29,debit,takeaway
Golden Dragon,BANG BANG - GOLDEN BANG BANG - GOLDEN DRAGON,118.01,debit,restaurant_cafe
Gloucester City Council,ALLPAY *GLOUCESTER ALLPAY *GLOUCESTER CITY H,424.0,debit,council_tax
FragranceX.com,"Klarna*fragrancex, London",15.96,debit,fragrances
World Vision ,WORLD VISION DONOR  406092403 DD01 DDR,15.0,debit,charitable_donation
Bet600,BET600            LONDON,100.0,debit,gambling_betting
Stafford Borough Council,Direct debit STAFFORD BOROUGH C ************1706,109.0,debit,council_tax
DWP Debt Collection,DWP DEBT MANAGEME  NS129761D STO,10.0,debit,debt_collection
Yoox,Yoox,110.0,debit,clothing_general
Gunville Stores,Contactless Payment GUNVILLE STORES APPLEPAY 4191,29.43,debit,convenience_store
ACE Money Transfer,acemoneytransfer.c  ON 08 DEC BCC,186.0,debit,transfer_international
ClickBank,PAYPAL *CLICKBANK,25.0,debit,online_services
The Smile Place,THE SMILE STUDIOS  ON 27 NOV BCC,30.0,debit,dentist
GeorgeBanco,WWW.GEORGEBANCO.COM George Banco,225.0,debit,personal_loan_repayment
Fairshare Credit Union,FAIRSHARE CREDIT  215314 RORYPERRY STO,15.0,debit,credit_union_repayment
PC World,CURRYS 3414477126  CURRYS 3414477126 DDR Currys PC World,6.75,debit,computing_devices
Brockley Stores,BROCKLEY STORES   BRISTOL,1.19,debit,convenience_store
Paydens,Paydens Margate,1.18,debit,pharmacy
Whistlestop,9602 06JUN24 CD   WHISTLESTOP       LONDON GB,5.98,debit,convenience_store
Puffin Insurance,PUFFIN INSURANCE  PUFFPET41110 DDR,21.05,debit,insurance_pet
TFS Loans,TFS LOANS LTD  C-TFS141897 DDR,20.0,debit,personal_loan_repayment
Envirofone,CARD PAYMENT TO ENVIROFONE ON 11-11-2023,69.99,debit,marketplace_refurbished
Global Food,GLOBAL FOOD & HALA  ON 04 APR CLP GLOBAL FOOD & HALAL ME,7.2,debit,groceries_specialist
Co-Op Motor Insurance,"DIRECT DEBIT PAYMENT TO BISL CO-OP CAR INS REF ************4994, MANDATE NO 0022",15.0,debit,insurance_motor
Ayrshire Credit Union,AYRSHIRE CREDIT UNFP 14/06/24 30    17023041817466000R,30.0,debit,credit_union_repayment
LogBook Money,LOGBOOK LENDING LT,28.72,debit,personal_loan_repayment
Perfect Home,Bank credit PERFECT UR HOME,65.0,credit,refund_received
Dragon Taxi,"DRAGONTAXIVCARS (VIA APPLE PAY), ON 10-01-2024",9.3,debit,taxi_rideshare
Care Vending,Nya*care Vending Servi,2.1,debit,confectionary
UK Paintball,************7754  PAINTBALL BACK. FT Barclays savings,259.0,debit,experience_days
Timberland,Timberland TIMBERLAND             Ashford       GBR,6.0,debit,footwear
Dacorum Borough Council,Dacorum Internet,215.0,debit,council_tax
Spelthorne Borough Council,SPELTHORNE BC INTE SPELTHORNE BC INTERNET,35.96,debit,government_services
Ambrose Wilson,1141 13OCT23      WWW.AMBROSE       WILSON.CO.U       MANCHESTER GB,5.0,debit,catalogue_retail
Broadway Food Centre,CARD PAYMENT TO BROADWAY FOOD CENTRE ON 27-06-2024,3.07,debit,convenience_store
Settle Group,SETTLE GROUP MONTH 6  70074 MF022639B4FD82A400,2994.06,credit,salary
Dzbt Limited,Dzbt Limited DZBT LIMITED           LONDON        GBR,10.0,debit,gambling_betting
Eurotunnel,Eurotunnel LE SHUTTLE 1991        FOLKESTONE    GBR,97.0,debit,ferry_rail_travel
Rakuten,RAKUTEN.TV SPAIN ON 31 AUG BCC,5.49,debit,streaming
White Calling,White Calling Card MIP*WHITE CALLING CARD 03300010488   GBR,5.0,debit,unclassified_other
Glasgow Credit Union,Direct debit GLASGOW CREDIT UNI ************3874,109.0,debit,credit_union_repayment
Monkey World Cafe & Shop,APE CONCESSIONS  ON 30 MAR CLP,4.6,debit,days_out
