merchant,gold_leaf,alt_leaf,gold_source,plaid_n
v12 retail finance,retail_finance_repayment,,consensus_all_agree,956
aliexpress,retail_tv_online_shopping,,consensus_all_agree,940
caffe nero,restaurant_cafe,,consensus_all_agree,930
esso,fuel,,consensus_all_agree,930
national express,public_transport_rail_coach,,consensus_all_agree,925
odeon,cinema,,consensus_all_agree,923
currys,electrical_goods,,adjudicated_equifax,918
ryanair,flights,,consensus_all_agree,891
bolt,taxi_rideshare,,consensus_all_agree,884
roblox,gaming_online,,consensus_all_agree,876
zara,clothing_general,,consensus_all_agree,876
cineworld,cinema,,consensus_all_agree,872
jd williams,catalogue_retail,,adjudicated_llm,850
halifax,financial_institution_unspecified,,consensus_all_agree,840
easyjet,flights,,consensus_all_agree,828
centra,convenience_store,,consensus_all_agree,827
dunelm,home_accessories,,consensus_all_agree,822
mipermit,car_parking,,consensus_all_agree,819
lending stream,payday_loan,,consensus_all_agree,801
go south coast,public_transport_rail_coach,,consensus_all_agree,792
hmrc,tax_payment,,consensus_all_agree,778
h&m,clothing_general,,consensus_all_agree,777
lothian buses,public_transport_rail_coach,,consensus_all_agree,771
snap finance,retail_finance_repayment,,consensus_all_agree,762
moonpig,gifts_flowers,,consensus_all_agree,757
bargain booze,alcohol_beer_spirits,,consensus_all_agree,739
thames water,water,,consensus_all_agree,737
nintendo,gaming_console_pc,,consensus_all_agree,730
mecca bingo,gambling_bingo,,consensus_all_agree,718
severn trent,water,,consensus_all_agree,716
adobe,software,,consensus_all_agree,709
translink,public_transport_rail_coach,,consensus_all_agree,697
apcoa parking,car_parking,,consensus_all_agree,696
the works,books,,consensus_all_agree,684
animal friends insurance,insurance_pet,,consensus_all_agree,682
monopoly casino,gambling_casino,,consensus_all_agree,672
next,clothing_general,,consensus_all_agree,659
greene king,pub_bar,,consensus_all_agree,636
sunlife,insurance_life,,consensus_all_agree,634
toolstation,tools,,consensus_all_agree,634
taco bell,takeaway,,adjudicated_llm,631
creation,retail_finance_repayment,,consensus_all_agree,628
bpo collections,debt_collection,,consensus_all_agree,624
kwiff,gambling_betting,,consensus_all_agree,619
plum,savings_transfer,,consensus_all_agree,612
new look,clothing_general,,adjudicated_llm,607
facebook,online_services,,adjudicated_llm,603
betmgm,gambling_betting,,consensus_all_agree,603
experian,credit_reporting_service,,consensus_all_agree,603
specsavers,optician,,consensus_all_agree,592
anglian water,water,,consensus_all_agree,581
go north east,public_transport_rail_coach,,consensus_all_agree,580
coinbase,crypto,,consensus_all_agree,545
selecta,confectionary,,consensus_all_agree,536
patreon,online_services,memberships,adjudicated_either,535
utilita,energy,,consensus_all_agree,535
burton,clothing_mens,,consensus_all_agree,531
nationwide,financial_institution_unspecified,,consensus_all_agree,520
yorkshire water,water,,consensus_all_agree,518
premier inn,accommodation,,consensus_all_agree,515
pizza hut,takeaway,,consensus_all_agree,505
clover casino,gambling_casino,,consensus_all_agree,489
omaze,prize_competitions,,adjudicated_llm,467
pet health club,veterinary,,adjudicated_equifax,460
jd sports,sportswear,,consensus_all_agree,454
holland & barrett,supplements,,adjudicated_llm,447
ocado,groceries,,consensus_all_agree,446
paypal credit,bnpl,,adjudicated_equifax,446
moneybarn,car_finance_repayment,,consensus_all_agree,441
livescore bet,gambling_betting,,consensus_all_agree,438
boohoo,clothing_general,,adjudicated_llm,437
now tv,streaming_music,,adjudicated_llm,436
travelodge,accommodation,,consensus_all_agree,433
barclays,financial_institution_unspecified,,consensus_all_agree,425
aqua,credit_card_repayment,,consensus_all_agree,424
booker,cash_and_carry,,consensus_all_agree,422
river island,clothing_general,,consensus_all_agree,407
lavazza professional,confectionary,,consensus_all_agree,401
selfridges,department_store,,consensus_all_agree,378
royal london,insurance_life,,consensus_all_agree,375
skill on net ltd,gambling_casino,,consensus_all_agree,374
black horse,car_finance_repayment,,consensus_all_agree,366
volkswagen financial services,car_finance_repayment,,consensus_all_agree,359
mr lender,payday_loan,,consensus_all_agree,358
the entertainer,toys,,adjudicated_llm,357
smarty,mobile_phone_contract,,consensus_all_agree,355
scotrail,public_transport_rail_coach,,consensus_all_agree,351
worldremit,transfer_international,,consensus_all_agree,350
waterstones,books,,consensus_all_agree,342
lottomart,gambling_lottery,,consensus_all_agree,342
lycamobile,mobile_phone_contract,,consensus_all_agree,334
stop & shop,groceries,convenience_store,adjudicated_either,331
m6 toll,tolls,,consensus_all_agree,328
startline motor finance,car_finance_repayment,,consensus_all_agree,325
canva,software,,adjudicated_llm,325
haven holidays,holiday_uk,,consensus_all_agree,322
nike,sportswear,,consensus_all_agree,317
southern water,water,,consensus_all_agree,316
toby carvery,restaurant_cafe,,consensus_all_agree,315
first glasgow,public_transport_rail_coach,,consensus_all_agree,314
hobbycraft,arts_crafts,,consensus_all_agree,312
max spielmann,photography_services,printing_services,adjudicated_either,308
ageas,insurance_general,,consensus_all_agree,305
wickes,home_improvement,,consensus_all_agree,304
boylesports,gambling_betting,,consensus_all_agree,303
depop,marketplace_amazon,,adjudicated_llm,299
shoe zone,footwear,,consensus_all_agree,296
littlewoods,catalogue_retail,,consensus_all_agree,295
greater anglia,public_transport_rail_coach,,consensus_all_agree,295
euro car parks,car_parking,,consensus_all_agree,292
airbnb,accommodation,,consensus_all_agree,291
unison,trade_union,,consensus_all_agree,291
ncp,car_parking,,consensus_all_agree,291
mbna,credit_card_repayment,,consensus_all_agree,290
on the beach,holiday_package,,consensus_all_agree,290
the royal oak,pub_bar,,consensus_all_agree,289
gala bingo,gambling_bingo,,consensus_all_agree,280
qvc,retail_tv_online_shopping,,consensus_all_agree,276
beryl,bicycle,,adjudicated_llm,273
xbox,gaming_console_pc,,consensus_all_agree,273
cancer research uk,charitable_donation,,consensus_all_agree,272
euro car parts,spares_repairs,,adjudicated_llm,268
oxford bus company,public_transport_rail_coach,,consensus_all_agree,266
chopstix,takeaway,,consensus_all_agree,262
axa,insurance_general,,consensus_all_agree,247
supervalu,groceries,,consensus_all_agree,247
parkdean resorts,holiday_uk,,adjudicated_llm,247
etsy,marketplace_amazon,,adjudicated_llm,238
jd gyms,gym_fitness,,consensus_all_agree,236
first west yorkshire,public_transport_rail_coach,,consensus_all_agree,234
linkedin,online_services,web_services,adjudicated_either,233
affinity water,water,,consensus_all_agree,232
central convenience stores,convenience_store,,adjudicated_llm,232
scottish widows,insurance_life,,consensus_all_agree,232
10bet,gambling_betting,,consensus_all_agree,231
blue motor finance,car_finance_repayment,,consensus_all_agree,223
motonovo finance,car_finance_repayment,,consensus_all_agree,222
east of england co-op,groceries,,consensus_all_agree,221
premier stores,convenience_store,,consensus_all_agree,219
plymouth citybus,public_transport_rail_coach,,consensus_all_agree,217
hmv,physical_media,,adjudicated_llm,215
aramark,catering,,consensus_all_agree,214
the modern milkman,groceries,,consensus_all_agree,211
reading transport limited,public_transport_rail_coach,,consensus_all_agree,211
martin mccoll,convenience_store,,consensus_all_agree,207
wessex water,water,,consensus_all_agree,206
loungers,restaurant_cafe,pub_bar,adjudicated_either,205
nottingham city transport,public_transport_rail_coach,,consensus_all_agree,202
marshmallow insurance,insurance_motor,,consensus_all_agree,200
costa,restaurant_cafe,,consensus_all_agree,198
vpz,vaping,,consensus_all_agree,195
sse,energy,,consensus_all_agree,194
godaddy,web_services,,consensus_all_agree,194
barclays partner finance,retail_finance_repayment,,consensus_all_agree,193
lottosocial,gambling_lottery,,consensus_all_agree,192
itsu,restaurant_cafe,,consensus_all_agree,190
power ni,energy,,consensus_all_agree,189
pra group,debt_collection,,consensus_all_agree,188
go outdoors,clothing_outdoor,,adjudicated_llm,188
british heart foundation,charity_shop,,adjudicated_llm,188
footasylum,footwear,,consensus_all_agree,187
schuh,footwear,,adjudicated_llm,187
zego,insurance_motor,,consensus_all_agree,185
that prize guy,prize_competitions,,adjudicated_llm,184
decathlon,sports_equipment,,consensus_all_agree,183
better,gym_fitness,,consensus_all_agree,181
tim hortons,restaurant_cafe,,consensus_all_agree,181
the crown & sceptre,pub_bar,,consensus_all_agree,181
popeyes,takeaway,,adjudicated_llm,178
adidas,sportswear,,consensus_all_agree,177
revolucion de cuba,pub_bar,,adjudicated_llm,176
thameslink,public_transport_rail_coach,,consensus_all_agree,174
wix,web_services,,consensus_all_agree,174
gather & gather,catering,,consensus_all_agree,174
crunchyroll,streaming_music,,adjudicated_llm,174
gousto,groceries,groceries_specialist,adjudicated_either,173
1st central,insurance_motor,,consensus_all_agree,173
harvester,restaurant_cafe,,consensus_all_agree,169
texaco,fuel,,consensus_all_agree,168
youtube premium,streaming_music,,adjudicated_llm,167
santander bank,financial_institution_unspecified,,consensus_all_agree,166
lottogo,gambling_lottery,,consensus_all_agree,164
denplan,dentist,,consensus_all_agree,163
direct line,insurance_general,,consensus_all_agree,163
wizz air,flights,,consensus_all_agree,162
ryman,stationery,,adjudicated_llm,162
travis perkins,home_improvement,,consensus_all_agree,159
betano,gambling_betting,,consensus_all_agree,159
the swan,pub_bar,,consensus_all_agree,159
south west water,water,,consensus_all_agree,158
plusnet,broadband_tv_phone,,consensus_all_agree,155
radstock co-operative,groceries,,consensus_all_agree,154
alton towers,days_out,,consensus_all_agree,153
victoria's secret,clothing_womens,,consensus_all_agree,153
g2a,gaming_console_pc,,consensus_all_agree,153
the red lion,pub_bar,,consensus_all_agree,152
london north eastern railway,public_transport_rail_coach,,consensus_all_agree,151
world duty free,airport_spend,,consensus_all_agree,149
hallmark,gifts_flowers,,consensus_all_agree,148
loans 2 go,payday_loan,,consensus_all_agree,146
keystore,convenience_store,groceries,adjudicated_either,146
warren james,jewellery,,consensus_all_agree,146
talktalk,broadband_tv_phone,,consensus_all_agree,143
waggel,insurance_pet,,consensus_all_agree,141
cdkeys,gaming_console_pc,,consensus_all_agree,141
the white lion,pub_bar,,consensus_all_agree,141
smarkets,gambling_betting,,consensus_all_agree,140
school gateway,school_fees,,adjudicated_llm,139
clarks,footwear,,adjudicated_llm,138
pharmacy2u,pharmacy,,adjudicated_llm,137
uniqlo,clothing_general,,consensus_all_agree,134
brighton & hove buses,public_transport_rail_coach,,consensus_all_agree,134
blackpool transport,public_transport_rail_coach,,consensus_all_agree,134
bershka,clothing_general,,consensus_all_agree,131
the white horse,pub_bar,,consensus_all_agree,130
rowlands pharmacy,pharmacy,,consensus_all_agree,129
house of fraser,department_store,,consensus_all_agree,127
gofundme,charitable_donation,,consensus_all_agree,126
tui,holiday_package,,consensus_all_agree,125
uk fuels,fuel,,consensus_all_agree,124
mountain warehouse,clothing_outdoor,,adjudicated_llm,122
fonacab,taxi_rideshare,,consensus_all_agree,122
stripe,payment_intermediary,,adjudicated_llm,122
tails.com,pet_supplies,,adjudicated_llm,121
kings college hospital,hospital,,consensus_all_agree,120
dropbox,software,,adjudicated_equifax,120
the white hart,pub_bar,,consensus_all_agree,120
durham county council,council_tax,,consensus_all_agree,119
the fragrance shop,fragrances,,consensus_all_agree,119
fashionworld,clothing_womens,,adjudicated_equifax,118
cardiff bus,public_transport_rail_coach,,consensus_all_agree,116
black sheep coffee,restaurant_cafe,,consensus_all_agree,115
abc taxis,taxi_rideshare,,consensus_all_agree,115
fife council,council_tax,,consensus_all_agree,114
ifl pet insurance,insurance_pet,,consensus_all_agree,114
chicken cottage,takeaway,,consensus_all_agree,112
center parcs,holiday_uk,,adjudicated_llm,112
m&s bank,financial_institution_unspecified,,consensus_all_agree,112
hotel chocolat,confectionary,,adjudicated_llm,111
flamingo land,days_out,,consensus_all_agree,111
medivet,veterinary,,consensus_all_agree,111
transfergo,transfer_international,,consensus_all_agree,111
joe & the juice,restaurant_cafe,takeaway,adjudicated_either,111
pure gym,gym_fitness,,consensus_all_agree,110
botb,prize_competitions,,adjudicated_llm,109
parimatch,gambling_betting,,consensus_all_agree,109
northumbrian water,water,,consensus_all_agree,109
southeastern,public_transport_rail_coach,,consensus_all_agree,108
slimming world,weight_loss,,consensus_all_agree,108
swiftcover,insurance_general,,adjudicated_equifax,107
cornwall council,council_tax,,consensus_all_agree,106
thorpe park,days_out,,consensus_all_agree,106
double bubble bingo,gambling_bingo,,consensus_all_agree,105
skrill,payment_intermediary,,consensus_all_agree,105
bargain world,discount_store,,consensus_all_agree,105
checkmyfile,credit_reporting_service,,consensus_all_agree,104
beauty outlet,health_beauty_general,,adjudicated_llm,104
lookfantastic,health_beauty_general,,adjudicated_llm,103
samsung finance glow,retail_finance_repayment,,consensus_all_agree,103
all bar one,pub_bar,,consensus_all_agree,102
soundcloud,streaming_music,,consensus_all_agree,102
turtle bay,restaurant_cafe,,consensus_all_agree,100
royal voluntary service,charitable_donation,,consensus_all_agree,100
holiday inn,accommodation,,consensus_all_agree,100
debenhams,department_store,,consensus_all_agree,99
home essentials,home_accessories,,consensus_all_agree,99
rspca,charitable_donation,,consensus_all_agree,99
help to save,savings_transfer,,consensus_all_agree,98
vision express,optician,,consensus_all_agree,98
schoolmoney,school_fees,,adjudicated_llm,98
protect your bubble,insurance_other,,consensus_all_agree,97
coral,gambling_betting,,consensus_all_agree,96
first cymru,public_transport_rail_coach,,consensus_all_agree,96
pets corner,pet_supplies,,consensus_all_agree,95
the rising sun,pub_bar,,consensus_all_agree,94
crypto.com,crypto,,consensus_all_agree,94
harrods,department_store,,consensus_all_agree,93
the windmill,pub_bar,,consensus_all_agree,93
debt support service,debt_management_plan,,consensus_all_agree,93
parcel2go,delivery_courier,,consensus_all_agree,93
supercell,gaming_mobile,,adjudicated_llm,93
topps tiles,home_improvement,,consensus_all_agree,92
myprotein,supplements,,consensus_all_agree,91
the phoenix,pub_bar,,consensus_all_agree,89
first south yorkshire,public_transport_rail_coach,,consensus_all_agree,89
cashfloat,payday_loan,,consensus_all_agree,86
transport for wales,public_transport_rail_coach,,consensus_all_agree,84
so energy,energy,,consensus_all_agree,84
expedia,flights,,adjudicated_equifax,83
homesense,home_accessories,,consensus_all_agree,82
muffin break,restaurant_cafe,,consensus_all_agree,81
the beehive,pub_bar,,consensus_all_agree,81
portsmouth water,water,,consensus_all_agree,81
paysend,transfer_international,,consensus_all_agree,81
super pound saver,discount_store,,adjudicated_llm,81
birmingham city council,council_tax,,consensus_all_agree,81
kokoro,restaurant_cafe,takeaway,adjudicated_either,81
gail's bakery,restaurant_cafe,,consensus_all_agree,81
west midlands metro,public_transport_rail_coach,,consensus_all_agree,79
competition fox,prize_competitions,,adjudicated_llm,79
epic games,gaming_console_pc,,consensus_all_agree,79
urban outfitters,clothing_general,,consensus_all_agree,77
hyperoptic,broadband_tv_phone,,consensus_all_agree,77
budget energy,energy,,consensus_all_agree,77
7-eleven,convenience_store,,consensus_all_agree,75
gails,restaurant_cafe,,consensus_all_agree,75
the perfume shop,fragrances,,consensus_all_agree,75
o'neills,pub_bar,,consensus_all_agree,75
glossybox,health_beauty_general,,adjudicated_llm,74
marriott,accommodation,,consensus_all_agree,74
paymentico,payment_intermediary,,consensus_all_agree,74
equifax,credit_reporting_service,,consensus_all_agree,73
funky pigeon,gifts_flowers,,consensus_all_agree,73
jet2holidays,holiday_package,,consensus_all_agree,73
the bull,pub_bar,,consensus_all_agree,71
uphold,crypto,,adjudicated_llm,70
click competitions,prize_competitions,,adjudicated_llm,70
vistaprint,printing_services,,adjudicated_llm,70
lexington catering,catering,,consensus_all_agree,70
sky bet,gambling_betting,,consensus_all_agree,70
zizzi,restaurant_cafe,,consensus_all_agree,70
bupa,insurance_health,,consensus_all_agree,69
cats protection,charitable_donation,,consensus_all_agree,69
natwest,financial_institution_unspecified,,consensus_all_agree,69
flannels,clothing_general,,adjudicated_llm,68
the bike club,bicycle,,adjudicated_llm,67
best-one,convenience_store,,consensus_all_agree,67
mcbookie,gambling_betting,,consensus_all_agree,67
la redoute,catalogue_retail,clothing_general,adjudicated_either,67
forbidden planet,comics,books,adjudicated_either,66
thortful,gifts_flowers,,consensus_all_agree,64
longleat,days_out,,consensus_all_agree,64
pandora,jewellery,,consensus_all_agree,64
accord mortgages,mortgage,,consensus_all_agree,63
just park,car_parking,,consensus_all_agree,63
skyline taxis,taxi_rideshare,,consensus_all_agree,63
the kings head,pub_bar,,consensus_all_agree,62
shake shack,restaurant_cafe,takeaway,adjudicated_either,61
winemark,alcohol_wine,,consensus_all_agree,61
dhl,delivery_courier,,consensus_all_agree,60
fenwick,department_store,,consensus_all_agree,60
sainsbury's bank,financial_institution_unspecified,,consensus_all_agree,60
carphone warehouse,mobile_handset,,consensus_all_agree,59
talksportbet,gambling_betting,,consensus_all_agree,59
hastings direct,insurance_motor,,consensus_all_agree,57
squarespace,web_services,,consensus_all_agree,57
agoda,accommodation,,consensus_all_agree,56
lenstore,optician,,consensus_all_agree,55
talk mobile,mobile_phone_contract,,consensus_all_agree,55
carrefour,groceries,,adjudicated_llm,55
rcp parking,car_parking,,consensus_all_agree,55
virgin active,gym_fitness,,consensus_all_agree,55
cash generator,pawnbroker,,consensus_all_agree,55
dobbies garden centre,garden,,consensus_all_agree,54
travelex,foreign_currency,,consensus_all_agree,54
claire's,jewellery,,consensus_all_agree,54
capquest,debt_collection,,consensus_all_agree,54
brewdog,pub_bar,,consensus_all_agree,53
pricewise supermarket,groceries,,consensus_all_agree,53
kwik tan,beauty_treatment,,consensus_all_agree,52
leeds city council,council_tax,,consensus_all_agree,52
zurich,insurance_general,,consensus_all_agree,51
moonpay,crypto,,consensus_all_agree,51
hiscox,insurance_general,,consensus_all_agree,50
figma,software,,consensus_all_agree,50
roxy ball room,entertainment_other,pub_bar,adjudicated_either,50
247 money,car_finance_repayment,,adjudicated_equifax,50
medexpress,pharmacy,,consensus_all_agree,49
colchester zoo,days_out,,consensus_all_agree,49
leicester city council,council_tax,,consensus_all_agree,49
the botanist,pub_bar,,consensus_all_agree,49
first york,public_transport_rail_coach,,consensus_all_agree,49
the tanning shop,beauty_treatment,,consensus_all_agree,49
treatwell,beauty_treatment,,adjudicated_llm,49
tesco bank,financial_institution_unspecified,,consensus_all_agree,49
skechers,footwear,,adjudicated_llm,48
fibrus,broadband_tv_phone,,consensus_all_agree,48
marks and spencer,department_store,,adjudicated_llm,48
walkabout,pub_bar,,adjudicated_llm,48
las iguanas,restaurant_cafe,,consensus_all_agree,48
quinnbet,gambling_betting,,consensus_all_agree,47
aig,insurance_general,,consensus_all_agree,47
pizzaexpress,restaurant_cafe,,consensus_all_agree,47
german doner kebab,takeaway,,consensus_all_agree,47
hayu,streaming_music,,adjudicated_llm,46
yates,pub_bar,,consensus_all_agree,46
parsons bakery,restaurant_cafe,,consensus_all_agree,46
casumo,gambling_casino,,consensus_all_agree,46
marie curie,charitable_donation,,consensus_all_agree,45
cabot,debt_collection,,consensus_all_agree,45
majestic wine,alcohol_wine,,consensus_all_agree,45
butlins,holiday_uk,,consensus_all_agree,45
north lanarkshire council,council_tax,,consensus_all_agree,44
superdry,clothing_general,,consensus_all_agree,44
petrogas,fuel,,consensus_all_agree,44
pepper money,mortgage,,adjudicated_equifax,44
gmb trade union,trade_union,,consensus_all_agree,44
yo! sushi,restaurant_cafe,,consensus_all_agree,43
london borough of redbridge,council_tax,,consensus_all_agree,43
the railway inn,pub_bar,,consensus_all_agree,43
london zoo,days_out,,consensus_all_agree,43
beyond retro,clothing_general,,consensus_all_agree,42
intrum,debt_collection,,consensus_all_agree,42
bella italia,restaurant_cafe,,consensus_all_agree,42
new kwiki mart,convenience_store,,consensus_all_agree,42
bristol city council,council_tax,,consensus_all_agree,42
wildwood,restaurant_cafe,,consensus_all_agree,42
chester zoo,days_out,,consensus_all_agree,42
wynsors,footwear,,adjudicated_llm,42
thomas the baker,restaurant_cafe,,consensus_all_agree,41
rspb,charitable_donation,,consensus_all_agree,41
calvin klein,clothing_general,,consensus_all_agree,41
london borough of ealing,council_tax,,consensus_all_agree,41
empire casino,gambling_casino,,consensus_all_agree,41
the kingfisher,pub_bar,,consensus_all_agree,41
vanguard,investment_general,,consensus_all_agree,41
wateraid,charitable_donation,,consensus_all_agree,40
elior,catering,,consensus_all_agree,40
green flag,breakdown_cover,,consensus_all_agree,40
nutmeg,investment_general,,consensus_all_agree,40
tfgm,public_transport_rail_coach,,consensus_all_agree,40
fitness first,gym_fitness,,consensus_all_agree,40
secure trust bank,financial_institution_unspecified,,consensus_all_agree,40
transferwise,transfer_international,,consensus_all_agree,40
jewson,home_improvement,,consensus_all_agree,40
centrica,energy,,consensus_all_agree,40
london overground,public_transport_rail_coach,,consensus_all_agree,40
save the children,charitable_donation,,consensus_all_agree,40
anyvan,delivery_courier,,adjudicated_llm,40
high peak borough council,council_tax,,consensus_all_agree,39
liverpool city council,council_tax,,consensus_all_agree,39
shelter,charitable_donation,,consensus_all_agree,39
little dessert shop,restaurant_cafe,,consensus_all_agree,39
freedom leisure,gym_fitness,,consensus_all_agree,39
cornish bakehouse,restaurant_cafe,takeaway,adjudicated_either,38
lex autolease,car_lease,,consensus_all_agree,38
parkonomy,car_parking,,consensus_all_agree,38
grattan,catalogue_retail,,consensus_all_agree,38
dogs trust,charitable_donation,,consensus_all_agree,38
h samuel,jewellery,,consensus_all_agree,38
the cricketers,pub_bar,,adjudicated_llm,38
wasabi,restaurant_cafe,,consensus_all_agree,37
eat,restaurant_cafe,,consensus_all_agree,37
diamond bus,public_transport_rail_coach,,consensus_all_agree,37
accessorize,jewellery,,adjudicated_equifax,37
pizza express,restaurant_cafe,,adjudicated_llm,36
kwik fit,vehicle_maintenance,,consensus_all_agree,36
hm land registry,government_services,,consensus_all_agree,36
scope,charitable_donation,,consensus_all_agree,36
the wine cellar,alcohol_wine,,consensus_all_agree,36
vets4pets,veterinary,,consensus_all_agree,36
united taxis,taxi_rideshare,,consensus_all_agree,36
thistle insurance,insurance_general,,adjudicated_llm,36
trustly group,payment_intermediary,,consensus_all_agree,36
coach and horses,pub_bar,,consensus_all_agree,35
hollywoodbets,gambling_betting,,consensus_all_agree,35
payplan,debt_management_plan,,consensus_all_agree,35
emirates,flights,,consensus_all_agree,35
eurostar,ferry_rail_travel,,consensus_all_agree,35
epson,computer_peripherals,office_equipment,adjudicated_either,35
mojang,gaming_console_pc,,adjudicated_llm,35
macmillan lottery,gambling_lottery,,consensus_all_agree,35
circuit laundry,laundry,,consensus_all_agree,35
best western,accommodation,,consensus_all_agree,34
bonprix,clothing_general,,consensus_all_agree,34
the wheatsheaf,pub_bar,,consensus_all_agree,34
ggpoker,gambling_casino,,consensus_all_agree,33
wineflair,alcohol_wine,,consensus_all_agree,33
foxy bingo,gambling_bingo,,consensus_all_agree,33
fedex,delivery_courier,,consensus_all_agree,33
