normalised_merchant,detailed_category,confidence,source,review_status,notes
cosmetix limited,health_beauty_general,high,gating_adjudication,approved,"Merchant name and available categories do not establish whether this is a beauty retailer, manufacturer or treatment provider."
brittany ferries,ferry_rail_travel,high,gating_adjudication,approved,
quiz clothing,clothing_womens,high,gating_adjudication,approved,
tick tock loans,payday_loan,high,gating_adjudication,approved,
huel,groceries_specialist,high,gating_adjudication,approved,
kilted competition,prize_competitions,high,gating_adjudication,approved,
marisota,clothing_womens,high,gating_adjudication,approved,
new balance,sportswear,high,gating_adjudication,approved,
castle bingo,gambling_bingo,high,gating_adjudication,approved,
bonmarche,clothing_womens,high,gating_adjudication,approved,
deichmann,footwear,high,gating_adjudication,approved,
the bat and ball,pub_bar,high,gating_adjudication,approved,
mainline menswear,clothing_mens,high,gating_adjudication,approved,
delikatesy smaczek,groceries_specialist,high,gating_adjudication,approved,
tian tian market,groceries_specialist,high,gating_adjudication,approved,
mcafee,software,high,gating_adjudication,approved,
gift company,gifts_flowers,high,gating_adjudication,approved,
leasys uk ltd,car_lease,high,gating_adjudication,approved,
tariq halal meats,groceries_specialist,high,gating_adjudication,approved,
lightinthebox,retail_tv_online_shopping,high,gating_adjudication,approved,
bravissimo,clothing_womens,high,gating_adjudication,approved,
iss food,catering,high,gating_adjudication,approved,
ellis brigham,clothing_outdoor,high,gating_adjudication,approved,
grab-a-bite,takeaway,high,gating_adjudication,approved,
the tan studio limited,beauty_treatment,high,gating_adjudication,approved,
banquet records,physical_media,high,gating_adjudication,approved,
chip shed bourton limited,takeaway,high,gating_adjudication,approved,
planet organic,groceries_specialist,high,gating_adjudication,approved,
wawel polski sklep,groceries_specialist,high,gating_adjudication,approved,
online carpets,home_accessories,high,gating_adjudication,approved,
topshop,clothing_womens,high,gating_adjudication,approved,
tasty plaice,takeaway,high,gating_adjudication,approved,
freetrade,investment_trading,high,gating_adjudication,approved,
harvey nichols,department_store,high,gating_adjudication,approved,
craft gin club,alcohol_beer_spirits,high,gating_adjudication,approved,
stop n shop ltd,convenience_store,high,gating_adjudication,approved,
rated people,tradesmen,high,gating_adjudication,approved,
star pizza,takeaway,high,gating_adjudication,approved,
the north face,clothing_outdoor,high,gating_adjudication,approved,
star fish bar,takeaway,high,gating_adjudication,approved,
wiggleys fun farm ltd,days_out,high,gating_adjudication,approved,
mercato metropolitano,restaurant_cafe,high,gating_adjudication,approved,
ideal world,retail_tv_online_shopping,high,gating_adjudication,approved,
premier man,clothing_mens,high,gating_adjudication,approved,
the orange tree,pub_bar,high,gating_adjudication,approved,
punch bowl,pub_bar,high,gating_adjudication,approved,
avg,software,high,gating_adjudication,approved,
brass monkey,pub_bar,high,gating_adjudication,approved,
thai express,takeaway,high,gating_adjudication,approved,
euphorium bakery,restaurant_cafe,high,gating_adjudication,approved,
lily's kitchen,pet_supplies,high,gating_adjudication,approved,
best meat,groceries_specialist,high,gating_adjudication,approved,
polani travel,travel_other,high,gating_adjudication,approved,
jin bo law uk limited,legal_services,high,gating_adjudication,approved,
the sheaf island,pub_bar,high,gating_adjudication,approved,
flair afro cosmetics,skin_hair_care,high,gating_adjudication,approved,
corgi homeplan,insurance_home,high,gating_adjudication,approved,
the real china,restaurant_cafe,high,gating_adjudication,approved,
livecareer,career_services,high,gating_adjudication,approved,
school uniform direct,clothing_childrens,high,gating_adjudication,approved,
emigrantas tv,streaming,high,gating_adjudication,approved,
pactcoffee,groceries_specialist,high,gating_adjudication,approved,
interactive investor,investment_trading,high,gating_adjudication,approved,
yew tree mini market,convenience_store,high,gating_adjudication,approved,
a&f bargains ltd,discount_store,high,gating_adjudication,approved,
atlassian,software,high,gating_adjudication,approved,
ultrasound direct,health_other,high,gating_adjudication,approved,
lacoste,clothing_general,high,gating_adjudication,approved,
traid,charity_shop,high,gating_adjudication,approved,
residential management group,property_management,high,gating_adjudication,approved,
elemis,skin_hair_care,high,gating_adjudication,approved,
parklands country club,private_members_club,high,gating_adjudication,approved,
uk usa eliquids ltd,vaping,high,gating_adjudication,approved,
top wok,takeaway,high,gating_adjudication,approved,
findmeagift,gifts_flowers,high,gating_adjudication,approved,
dr martens,footwear,high,gating_adjudication,approved,
the beauty room,beauty_treatment,high,gating_adjudication,approved,
kcom,broadband_tv_phone,high,gating_adjudication,approved,
revolution skatepark,sports_participation,high,gating_adjudication,approved,
missguided,clothing_womens,high,gating_adjudication,approved,
workwear express,clothing_workwear,high,gating_adjudication,approved,
health express,pharmacy,high,gating_adjudication,approved,
triple s caterers,catering,high,gating_adjudication,approved,
sandwi on the go ltd,takeaway,high,gating_adjudication,approved,
daniel footwear,footwear,high,gating_adjudication,approved,
office shoes,footwear,high,gating_adjudication,approved,
the bedford,pub_bar,high,gating_adjudication,approved,"The Wirral merchant is a pub, supporting pub_bar. Source: https://thebedfordlukes.co.uk/"
herbalife,supplements,high,gating_adjudication,approved,
infinity foods,groceries_specialist,high,gating_adjudication,approved,
vetsure,insurance_pet,high,gating_adjudication,approved,
marquess of anglesey,pub_bar,high,gating_adjudication,approved,
the water margin,restaurant_cafe,high,gating_adjudication,approved,
just drinks 4u uk ltd,alcohol_beer_spirits,high,gating_adjudication,approved,
express chemist,pharmacy,high,gating_adjudication,approved,
the volunteer tavern,pub_bar,high,gating_adjudication,approved,
terrys fabrics,home_accessories,high,gating_adjudication,approved,
temptation gifts,gifts_flowers,high,gating_adjudication,approved,
charlotte tilbury,skin_hair_care,high,gating_adjudication,approved,
pockit,prepaid_card,high,gating_adjudication,approved,
knickerbox,clothing_womens,high,gating_adjudication,approved,
paperchase,stationery,high,gating_adjudication,approved,
discovery cove,days_out,high,gating_adjudication,approved,
global exchange,foreign_currency,high,gating_adjudication,approved,
ugg australia,footwear,high,gating_adjudication,approved,
bestway,cash_and_carry,high,gating_adjudication,approved,
school days direct,clothing_childrens,high,gating_adjudication,approved,
dune,footwear,high,gating_adjudication,approved,
palmers quality butchers,groceries_specialist,high,gating_adjudication,approved,
berghaus,clothing_outdoor,high,gating_adjudication,approved,
europa delikatesy,groceries_specialist,high,gating_adjudication,approved,
falafel stop,takeaway,high,gating_adjudication,approved,
all that falafel,takeaway,high,gating_adjudication,approved,
base london,footwear,high,gating_adjudication,approved,
e.leclerc,groceries,high,gating_adjudication,approved,
the world's end,pub_bar,high,gating_adjudication,approved,
dawat-e-islami uk,charitable_donation,high,gating_adjudication,approved,
a & s outdoor ltd,clothing_outdoor,high,gating_adjudication,approved,
easyjet holidays,holiday_package,high,gating_adjudication,approved,
escentual,fragrances,high,gating_adjudication,approved,
rocket dog,footwear,high,gating_adjudication,approved,
ogmore valley store ltd,convenience_store,high,gating_adjudication,approved,
zenfolio,photography_services,high,gating_adjudication,approved,
rajapack,office_supplies,high,gating_adjudication,approved,
char.gy,fuel,high,gating_adjudication,approved,
j d sport,sportswear,high,gating_adjudication,approved,
cross foxes,pub_bar,high,gating_adjudication,approved,
home group,rent,high,gating_adjudication,approved,Housing-association payment is most plausibly rent; neither candidate captures the transaction purpose.
fruugo,marketplace_amazon,high,gating_adjudication,approved,"Fruugo is a multi-seller online marketplace, so marketplace_amazon is the closest taxonomy leaf."
skillz esports,gambling_unspecified,high,gating_adjudication,approved,Paid-entry skill-gaming platform; the taxonomy boundary between online gaming and gambling needs policy confirmation.
autotrader,advertising_services,high,gating_adjudication,approved,"Auto Trader payments are typically vehicle-listing/advertising fees, not a vehicle purchase or maintenance."
greensquareaccord,rent,high,gating_adjudication,approved,Housing-association payment is most plausibly rent; neither candidate captures the transaction purpose.
