merchant_raw,description_raw,amount,direction,gold_leaf
A C,To A/C 55793436   KAUR A            Via Mobile Xfer,171.0,debit,transfer_p2p
Blaenymaes Stores,PPOINT_*BLAENYMAES,4.4,debit,convenience_store
Kiley,KILEY SILLETT     ELEC              VIA MOBILE - PYMT,20.0,debit,transfer_p2p
Mcpherson Jw,To A/C 54813557   MCPHERSON JW      Via Mobile Xfer,0.72,debit,transfer_p2p
E.ON UK,9504 25AUG25      E.ON NEXT         COVENTRY GB,5.0,debit,energy
Spar Market Strand,SPAR MARKET STRAND,10.99,debit,groceries
Frasers Group,FRASERS GROUP FINASN5636            TPP TRUELAYER LIMIFP 25/07/25 10    55151329922498000N,10.0,debit,retail_finance_repayment
Apple,Visa purchase APPLE.COM/BILL APPLEPAY 9787,3.99,debit,software
Mr S,MR S NASSEUR  NACER FT,9.0,debit,transfer_p2p
Home Retail Group,HOME RETAIL GROUP,88.84,debit,catalogue_retail
Darren Dolan,DARREN DOLAN 300000001615372531,23.0,debit,transfer_p2p
Craft Bakery,"SQ *CRAFT BAKERY - NOR (VIA GOOGLE PAY), ON 25-08-2025",1.7,debit,restaurant_cafe
Nettleship Ag,To A/C 47457198   NETTLESHIP AG     Via Mobile Xfer,48.78,debit,transfer_p2p
McDonald's,Contactless Payment MCDONALDS 496 APPLEPAY 8991,22.16,debit,takeaway
North Wilts Model Engi,North Wilts Model Engi,6.0,debit,days_out
Amazon,3551 30JUN25      AMAZON* WR0BV4OA5 LONDON GB,8.99,debit,marketplace_amazon
James Anderson Butcher,James Anderson Butcher,1.46,debit,groceries_specialist
Beagle St,Direct debit BEAGLE ST 600001 49126342,10.36,debit,insurance_life
Danielle Gallacher,DANIELLE GALLACHER,15.0,debit,transfer_p2p
HM Revenue and Customs,Hmrc Child Benefit Child Benefit,104.2,credit,benefits_state
Newboro Ugh Pharmacy,NEWBOROUGH PHARMAC,3.99,debit,pharmacy
Premier,Premier,8.49,debit,unclassified_other
Sony Playstation, Playstation,6.99,debit,gaming_console_pc
Brodericks Love Manvend,BRODERICKS LOVE MA,1.75,debit,confectionary
Flex,Flex,4.49,debit,unclassified_other
Sky Store,Sky Store,13.99,debit,streaming
Gmg Consumer LLC,GMG CONSUMER LLC U.A.EMIRATES AMOUNT IN AED 13.10 ON 20 AUG VISA 4.947801 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.08 ,2.73,debit,foreign_spend_unspecified
Transport for London,TFL TRAVEL CH,5.8,debit,public_transport_rail_coach
Sonia Vargas Da Rosa Noah,Sonia Vargas Da Rosa Noah,90.0,debit,transfer_p2p
Mr Colin Worton,MR COLIN WORTON  XXXXXXXXXXXX4068 BBP,100.0,debit,transfer_p2p
Mr Cameron Luke,MR CAMERON LUKE 100000001576158532,75.0,debit,transfer_p2p
Excelvendingltd,Contactless Payment NYX*ExcelVendingLtd GOOGLE 6482,1.2,debit,confectionary
Goldwire Conve,PPOINT_*GOLDWIRE C  ON 12 JUL CLP PPOINT_*GOLDWIRE CONVE,18.34,debit,convenience_store
Xwidget,XWIDGET.NET,10.02,debit,software
The Medical Hall Lim,The Medical Hall Lim,6.59,debit,pharmacy
Sues Store,SUES STORE,25.46,debit,convenience_store
Best Wood Off,7834 30JUN25 C    BEST WOOD OFF     LICENCE           NOTTINGHAM GB,6.89,debit,alcohol_beer_spirits
Cardtronics,CARDTRONICS UK LTD BURWELL 07JUL 14.40 ATM,120.0,debit,cash_withdrawal
Up Steps Inn,Up Steps Inn,13.5,debit,pub_bar
J Hamblet,J HAMBLET 113709 11884666,10.0,debit,transfer_p2p
Kath Money,KATH              MONEY             VIA MOBILE - PYMT FP 13/09/25 10    30222324681370000N,10.0,debit,transfer_p2p
The Wonky Teapot,THE WONKY TEAPOT  ON 08 AUG CPM,14.0,debit,restaurant_cafe
Jp Gardening Designs,JP gardening designs,10.0,debit,tradesmen
Premia Solutions,220/189873-6885 Premia Solutions,8.99,debit,insurance_motor
Baric Storage,BARIC STORAGE LTD 500000001629314090,20.0,debit,storage
Co-op Food,Co-op Food,11.55,debit,groceries
Chloe Nicholson,CHLOE NICHOLSON 200000001611701938,1.0,debit,transfer_p2p
Rocket,ROCKET,2.49,debit,unclassified_other
C Bentall Centre,3824 07JUN25 C    BENTALL CENTRE    KINGSTON UPON GB,5.5,debit,unclassified_card_spend
Airfoods,INT'L 1651621484  AIRFOODS FUERTEVENARGANDA DEL R     EUR 11.20 @ 1.1678MAS Rate,9.59,debit,foreign_spend_unspecified
Charlie Park,"CHARLIE PARK (VIA APPLE PAY), ON 07-07-2025",3.2,debit,days_out
Chaotic,CHAOTIC,1.08,debit,prize_competitions
The Gym Group,B535649A-THE-GYM The Gym Group,20.99,debit,gym_fitness
A Watson,A WATSON   17AUG25 110225 11261866,1.46,debit,transfer_p2p
Gary,GARY HUGHES       JONJO             VIA MOBILE - PYMT FP 02/08/25 10    30155207536052000J,5.0,debit,transfer_p2p
Co Op Group Food,CO OP GROUP FOOD,23.19,debit,groceries
The Venue,THE VENUE,4.1,debit,eating_out_other
Current,206719 63144062  MOBILE-CHANNEL FT Barclays current account,30.0,debit,transfer_own_account
Ross And Roberts Limited,Visa purchase ROSS AND ROBERTS LIMITED,340.17,debit,debt_enforcement
Trainline,TRAINLINE Trainline,23.09,debit,public_transport_rail_coach
Ring Basic Plan Ring,RING BASIC PLAN Ring,49.99,debit,online_services
Woodside Stores,Woodsidestores,0.95,debit,convenience_store
F Everard,F EVERARD  27JUL25 309877 36812660,70.0,debit,transfer_p2p
B & Q,B&Q,3.71,debit,home_improvement
SkyBet,5629 07SEP25  D   SKY BET           LEEDS GB,20.0,debit,gambling_betting
Raylo,Raylo - MXV8ZEG,72.18,debit,retail_finance_repayment
R&co Property Mana,R&CO PROPERTY MANA 309897 35000963,650.0,debit,property_management
Aspire,ALLPAY *ASPIRE HOU,450.0,debit,rent
Amazon,Amazon,17.0,debit,marketplace_amazon
Thesnackboxvendin,Contactless Payment NYX*TheSnackBoxVendin APPLEPAY 3580,1.0,debit,confectionary
Country Storage Co Container,COUNTRY STORAGE CO  CONTAINER 47 DIEGO FT,90.0,debit,storage
B20 Tx Verify,Txvrfy,15.02,debit,unclassified_other
Apple,APPLE.COM/BILL,14.99,debit,software
L And L,6485 20SEP25      L AND L EUROPE    LONDON GB,100.0,debit,unclassified_other
C Rymond,C RYMOND-BRYAN 110595 12411066,20.0,debit,transfer_p2p
Southern Co-op,SOUTHERN CO-OP RET  ON 29 AUG CPM SOUTHERN CO-OP RETAIL,4.0,debit,groceries
Transport for London,TFL TRAVEL CH  ON 13 JUL CPM TFL TRAVEL CHARGE,7.0,debit,public_transport_rail_coach
Ensign Bus Company,Ensign Bus Company Lim,2.7,debit,public_transport_rail_coach
Miss Kamron,Payment to MISS KAMRON GRANT 608371 12508646 2025-10-19,10.26,debit,transfer_p2p
Amazon,AMZNMktplace*RT6H7amazon.co.uk,9.99,debit,marketplace_amazon
Ellie Ellie Ft,ELLIE  ELLIE FT,30.0,debit,transfer_p2p
RingGo,RINGGO,5.2,debit,car_parking
Apple,Apple,2.99,debit,software
Ky Pocket Money,KY                POCKET MONEY      VIA MOBILE - PYMT,3.0,debit,transfer_p2p
HM Revenue and Customs,HMRC CHILD BENEFIT                    REFERENCE: HENDRIEADELE841712,43.3,credit,benefits_state
Flower Lane Sp,Flower Lane Sp4,60.0,debit,unclassified_other
Prince Kaetu-smith,PRINCE KAETU-SMITH  SERVICES FT,130.0,debit,transfer_p2p
Js Minimarket,JS MINIMARKET  ON 26 AUG CPM,3.49,debit,convenience_store
Courthouse Bar,Courthouse Bar,12.8,debit,pub_bar
Zable,ZABLE,11.0,debit,credit_card_repayment
Jade Hunter,Payment to JADE HUNTER 400500 20366412,3.0,debit,transfer_p2p
Pollyanna Kean,Starling Bank account - Dave Pollyanna Kean - SortCodeAccountNumber: 60837172858124,50.0,debit,transfer_p2p
Nbplyx,Nbplyx E0000517,86.55,debit,insurance_general
Melissa Carney Aubrey,MELISSA CARNEY    AUBREY            VIA MOBILE - PYMT,15.0,debit,transfer_p2p
Apple,APPLE.COM/BILL CD 8988,1.99,debit,software
Apple,0215 28SEP25  D   APPLE.COM/BILL    08001076285 IE,1.99,debit,software
Flex,Flex,0.09,debit,unclassified_other
Dvla-lb,DVLA-LB06KVD 000000000061828530,18.37,debit,road_tax
Mr Paul J Stockdal,MR PAUL J STOCKDAL 200000001595787401,13.0,debit,transfer_p2p
Home Retail Group,8252 12JUN25      HOME RETAIL GROUP LONDON GB,35.0,debit,catalogue_retail
Jamie Stone,Jamie Stone,11.0,debit,transfer_p2p
Hastings Insurance,HASTINGS INSURANCE,59.29,debit,insurance_general
Hills Of Corby Hill Sp,HILLS OF CORBY HIL  ON 05 JUL CPM HILLS OF CORBY HILL SP,1.25,debit,groceries
Current,TRANSFER TO EVERYDAY CURRENT ACCOUNT,10.0,debit,transfer_own_account
Pak Foods,PAK FOODS,9.56,debit,groceries_specialist
Costa Coffee,COSTA COFFEE 43011,5.0,debit,restaurant_cafe
Mnk Village Food & Win,Mnk Village Food & Win,8.0,debit,convenience_store
Goals Heathrow Bar,Goals heathrow bar  ON 17 JUL CPM GOALS HEATHROW BAR,7.4,debit,pub_bar
Mr Philip M Spence,MR PHILIP M SPENCE 600000001606720538,100.0,debit,transfer_p2p
Niki Brothers,SumUp  *NIKI BROTH,4.99,debit,unclassified_other
Ary Court,0320 03OCT25 C    STANNARY COURT    PLYMOUTH GB,6.79,debit,pub_bar
Canteen Harrow,CANTEEN HARROW  ON 19 JUN CPM,3.6,debit,catering
3s Retail LTD,3S RETAIL LTD,3.34,debit,convenience_store
Uk Funerals,UK FUNERALS  2022 16180307,24.91,debit,funeral
Showcase Cinema de Lux,2667 04JUL25 CD   SHOWCASE          PETERBOROUGH      NOTTINGHAM GB,16.45,debit,cinema
Stripe Re Shopify Capital Uk,DBYLQFFUL1NDYZYRR8 Stripe Re Shopify Capital Uk,407.47,debit,business_loan_repayment
Miss,MISS HAYLEY D GOULD                      RENT from son,15.0,debit,rent
Nuns Bridge Filling Stati,NUNS BRIDGE FILLIN,7.74,debit,fuel
Vape Empire Chorley,Vape Empire Chorley,18.0,debit,vaping
Icelandair,Iceland,22.3,debit,groceries
Crocseu,CrocsEU,89.97,debit,footwear
Sofia Pemberton Frm Zoe,SOFIA PEMBERTON  FRM ZOE FT,30.0,debit,transfer_p2p
Ragulans Brothers Limi,Ragulans Brothers Limi,12.0,debit,convenience_store
Mob Nichola Borrowed,"MOB, Nichola, Borrowed",81.0,debit,loan_repayment_manual
LC International,5649 25JUL25  D   LC INTERNATIONAL  LTD               GIBRALTAR GI,5.0,debit,gambling_betting
Cd Nash Supermarket,4137 17JUN25 CD   NASH SUPERMARKET  OLDBURY GB,4.05,debit,groceries
Sky Betting And Ga,SKY BETTING AND GA  GZO9SWXJ5QA136LDLL FT,5.0,debit,gambling_betting
K Brown,K BROWN 100000001606516412,50.0,debit,transfer_p2p
Trainline,"TRAINLINE (VIA APPLE PAY), ON 18-10-2025",4.3,debit,public_transport_rail_coach
Bee Network,BEE NETWORK,2.0,debit,public_transport_rail_coach
Newcastle City Council 6c,NEWCASTLE CITY COU,8.44,debit,government_services
Ljmu,7274 14OCT25      LJMU VIP          LIVERPOOL GB,7.5,debit,education_general
Essentialphoto,SP ESSENTIALPHOTO CD 3551,535.96,debit,camera_photography
Cd Argos Ur,7547 19JUL25 CD   ARGOS URMSTON     URMSTON GB,12.0,debit,catalogue_retail
S Harris-day,S HARRIS-DAY 308459 70297160,8.0,debit,transfer_p2p
Cd Metrolink Tvm,8864 22SEP25 CD   METROLINK TVM     03000 035035 GB,3.8,debit,public_transport_rail_coach
Coles,COLES 4461 AUSTRALIA AMOUNT IN AUD 8.60 ON 27 SEP VISA 2.034998 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.13 ,4.36,debit,foreign_spend_unspecified
Meli Art Coffee & Pastries, Meli Art Coffee & Pastries,3.5,debit,restaurant_cafe
Parkview Pharmacy,PARKVIEW PHARMACY,2.99,debit,pharmacy
Cheshire Mortgage,CHESHIRE MORTGAGE,442.0,debit,mortgage
Falcon Coaches Limited,FALCON COACHES LIM,3.0,debit,public_transport_rail_coach
Prestwich Mark,SumUp *Prestwich M  ON 05 OCT CPM SUMUP  *PRESTWICH MARK,2.68,debit,unclassified_other
D Nie,D NIE 776325 74930460,20.0,debit,transfer_p2p
Sony Playstation,8479 10OCT25      PLAYSTATION       NETWORK           SONY PSN GB,3.99,debit,gaming_console_pc
Hakko House,Hakko House,13.0,debit,restaurant_cafe
Sean Dowrick,Sean Dowrick,5.0,debit,transfer_p2p
Tiktok Shop,TikTok Shop,23.19,debit,marketplace_general
Cambridge Sd,CAMBRIDGE SPORTS D  ON 21 AUG CPM CAMBRIDGE SD,102.98,debit,sportswear
Mom Barclays,Payment to MOM BARCLAYS 207070 70264474,35.0,debit,transfer_p2p
T J Morris LTD,T J MORRIS LTD CD 9646,36.71,debit,discount_store
Parking Mtcbc,Contactless Payment PARKING MTCBC APPLEPAY 7834,0.7,debit,car_parking
Dsolpay,DSolPay E0000480,19.99,debit,unclassified_other
Lime,Lime,2.16,debit,bicycle
Claritycheckcomuk,CRV*CLARITYCHECKCO  ON 18 JUL BCC CRV*CLARITYCHECKCOMUK,0.5,debit,credit_reporting_service
Tumelo Senatsi Tumelo,TUMELO SENATSI    TUMELO            VIA MOBILE - PYMT FP 19/08/25 10    51015555972866000N,21.53,debit,transfer_p2p
Pridgeon Farms,Zettle_*PRIDGEON F  ON 18 JUN CPM ZETTLE_*PRIDGEON FARMS,35.62,debit,groceries_specialist
Miss Jessica Bull,MISS JESSICA BULL  NEW ACCOUNT FT,10.0,debit,transfer_p2p
A C,To A/C 20789483   OJO MO            Via Mobile Xfer,1984.84,debit,transfer_p2p
HM Revenue and Customs,HMRC CHILD BENEFIT  BULL000JESSI951111 BGC,43.3,credit,benefits_state
SkyBet,VISA DIRECT PAYMENT Sky Bet ON 23 AUG CRE,120.0,credit,gambling_unspecified
Apple,INT'L 0024304796  APPLE.COM/BILL    CORK,2.99,debit,software
McDonald's,MCDONALDS,13.17,debit,takeaway
Lowell,LOWELL,81.04,debit,debt_collection
Amazon,Amazon,24.99,debit,marketplace_amazon
Mr D E Smith,MR D E SMITH 300000001628229970,5.0,debit,transfer_p2p
Evapo,Evapo Ltd,15.39,debit,vaping
COOP,CENTRAL ENG COOP,10.5,debit,groceries
Amazon,AMAZON* R76DG5LQ4 Amazon,17.84,debit,marketplace_amazon
Mnk Mak Foods,Mnk Mak Foods,19.66,debit,groceries_specialist
Miss D Thornton Roxi & Keegie,MISS D THORNTON   ROXI & KEEGIE     VIA MOBILE - PYMT FP 23/09/25 10    02083204684350000N,20.0,debit,transfer_p2p
SkyBet,Sky Bet,10.0,debit,gambling_betting
Company Shop,Company Shop,4.6,debit,groceries
Price Street Sports Lo,Price Street Sports Lo,4.4,debit,pub_bar
Amazon,Amazon.co.uk*IS7OC  ON 25 JUN BCC,14.7,debit,marketplace_amazon
Ahmed Bros Wholesaoldham,AHMED BROS WHOLESAOLDHAM,86.48,debit,cash_and_carry
CRE,PAYPAL *PAYPAL CRE35314369001,500.0,debit,revolving_credit_repayment
Takyiwah S,To A/C 42361176   TAKYIWAH S        Via Mobile Xfer,130.0,debit,transfer_p2p
Ruzgar Limited,RUZGAR LIMITED,2.34,debit,unclassified_other
A C,To A/C 95729046   ROMERO S          Via Mobile Xfer,1.0,debit,transfer_p2p
One London,7394 15JUL25      GOOGLE ONE        LONDON GB,1.59,debit,web_services
Foodie Fella,Contactless Payment FOODIE FELLA APPLEPAY 4106,5.0,debit,takeaway
Capital Resolve,CAPITAL RESOLVE LI  ON 02 SEP BCC CAPITAL RESOLVE LIMITE,10.0,debit,debt_collection
Callum Faulkner John,CALLUM FAULKNER  JOHN FT,20.0,debit,transfer_p2p
Ring Basic Plan,RING BASIC PLAN,4.99,debit,online_services
Icelandair,Iceland,38.75,debit,groceries
Current,TRANSFER TO EVERYDAY CURRENT ACCOUNT,200.0,debit,transfer_own_account
Smc Re,SMC RE UNITY UNITYL872047,4.34,debit,unclassified_other
Cd Probus School,7004 07JUL25 CD   PROBUS SCHOOL     FILLING           TRURO GB,12.09,debit,fuel
Bentleys Restauran,Bentleys RestauranIpswich,5.8,debit,restaurant_cafe
Cafe Barista,Cafe Barista         )))),2.95,debit,restaurant_cafe
Ewa Stepien,EWA STEPIEN 300000001599251501,10.0,debit,transfer_p2p
P Pisula,P Pisula - SortCodeAccountNumber: 77912951356560,25.0,debit,transfer_p2p
Guven Express,GUVEN EXPRESS  ON 14 JUL CLP,19.97,debit,convenience_store
Parsons London,Parsons           London,2.0,debit,restaurant_cafe
Darwen Sst,0162 05AUG25 C    DARWEN SST        DARWEN GB,3.7,debit,unclassified_other
Novaed,0665 16AUG25      NOVAED            SUFFOLK GB,10.0,debit,unclassified_other
Theseotext,5788 20JUN25      THESEOTEXT        BRATISLAVA SK,97.0,debit,unclassified_other
Metro Prepaid Limited,METRO PREPAID LIMI  ON 10 OCT BCC METRO PREPAID LIMITED,20.0,debit,energy
Apple,5273 29AUG25  D   APPLE.COM/BILL    APPLE.COM/BIL IE,7.99,debit,software
Raylo,SSB2EXN Raylo,37.48,debit,retail_finance_repayment
Olive Catering,Olive Catering RPL  ON 18 AUG CLP OLIVE CATERING RPL1,3.7,debit,catering
Marcus,Payment to MARCUS CONDUCT 110300 00737213,23.0,debit,transfer_p2p
Forum Kayseri-gise,195-Forum Kayseri-Gise,3.52,debit,foreign_spend_unspecified
Gordons,Gordons 75776,2.65,debit,groceries
McDonald's,Contactless Payment MCDONALDS SAMSUNG 0070,2.09,debit,takeaway
Apple,apple.com/bill,0.99,debit,software
Quotrade-edu,Visa purchase QUOTRADE-EDU.COM,50.0,debit,education_general
Taptap Send,Account - jLwqy3NnIWCW TapTap Send - SortCodeAccountNumber: 04007246254056,5.21,debit,transfer_international
Trainline,Trainline,3.35,debit,public_transport_rail_coach
Utilita Energy,3546 03OCT25      UTILITA ENERGY    LIMITED           01962679088 GB,33.0,debit,energy
A Pasker,A PASKER 400000001606158883,30.0,debit,transfer_p2p
Transport for London,TFL TRAVEL CH  ON 11 OCT CPM TFL TRAVEL CHARGE,8.4,debit,public_transport_rail_coach
Cabot Fncl,CABOT FNCL (EUROPE,27.01,debit,debt_collection
Transport for London,Contactless Payment TFL TRAVEL CH APPLEPAY 6767,1.75,debit,public_transport_rail_coach
Gcuk,Gcuk Sheffield,5.4,debit,unclassified_other
Gentle Freshness Lda,Contactless Payment GENTLE FRESHNESS LDA EUR 15.00000 at 1.1494 APPLEPAY 5415,13.05,debit,foreign_spend_unspecified
Ojuolape S,Ojuolape S A IbrahMonzo account,10.0,debit,transfer_p2p
The Tipsy Cow,SumUp  *The Tipsy,6.35,debit,pub_bar
The Wild Olive,THE WILD OLIVE 21 SEASCALE,43.7,debit,restaurant_cafe
K M Noble Mum,K M NOBLE         MUM               VIA MOBILE - LVP,6.0,debit,transfer_p2p
Beginning Of,To Beginning of month 1k,80.0,debit,savings_transfer
Poles Tamworth Garage Tam,POLESWORTH GARAGE TAMWORTH,19.97,debit,fuel
SkyBet,SKYBET,8.33,credit,gambling_unspecified
J M Hoare Treat,J M HOARE  TREAT FT,2.0,debit,transfer_p2p
Now 5 Ecdb Entertai,NOW 5ECDB Entertai,6.99,debit,streaming
Ornament.health,INT'L 0061465375  ORNAMENT.HEALTH   LIMASSOL,30.99,debit,online_services
Apple,APPLE.COM/BILL CD 2783,0.99,debit,software
Apple,APPLE.COM/BILL,0.99,debit,software
Vape Club,Vape Club,28.99,debit,vaping
Sky Betting And Gaming,Sky Betting and Gaming                   03WI2C8G37DNBU2C02,50.0,debit,gambling_betting
Jac Store,9076 25JUL25 CD   SUMUP  *JAC STORE LTD               LONDON GB,4.0,debit,convenience_store
C Treetop Adventure Golf B'ham,0622 29JUN25 C    TREETOP ADVENTURE GOLF              B'HAM B5 4 GB,18.25,debit,days_out
Nicole Sheridan,NICOLE SHERIDAN,4.0,debit,transfer_p2p
Wandsworth Borough,WANDSWORTH BOROUGH,20.0,debit,government_services
Amazon,CARD PAYMENT TO AMAZON.CO.UK ON 29-07-2025,8.34,debit,marketplace_amazon
Apple,Apple,24.95,debit,software
Amazon,AMZNMktplace,14.24,credit,refund_received
C Plum Tree Farm,3316 12AUG25 C    PLUM TREE FARM    BLACKPOOL GB,10.6,debit,pub_bar
Waqqas Ali Freddie,WAQQAS ALI        FREDDIE           VIA MOBILE - PYMT FP 28/08/25 10    26032500402515000N,100.0,debit,transfer_p2p
City Convenience Store,City Convenience Store,4.38,debit,convenience_store
F Mart Mini LLC,Contactless Payment F MART MINI LLC APPLEPAY 6024,21.18,debit,convenience_store
Apple,Visa purchase APPLE.COM/BILL,3.99,debit,software
Apple,Visa purchase APPLE.COM/BILL,10.99,debit,software
Greenford Grocers LTD, Greenford Grocers Ltd,10.33,debit,groceries
Christopher Clayton Leisure,Christopher Clayton Leisure,10.0,debit,gym_fitness
Joint Utilities,JOINT UTILITIES,14.54,debit,utility_other
Washington Tax,Washington Tax,5.0,debit,unclassified_other
Streetshirts,SP STREETSHIRTS,15.98,debit,clothing_general
Apple,Visa purchase APPLE.COM/BILL,1.59,debit,software
Dillans Food And Wine,DILLANS FOOD and W,3.0,debit,convenience_store
ITVX,ITVX PREMIUM,3.99,debit,streaming
Abbi Wynne,ABBI WYNNE 300000001615165258,150.0,debit,transfer_p2p
Peter Gardner Money,PETER GARDNER     MONEY             VIA MOBILE - PYMT FP 12/09/25 10    15115500831033000N,20.0,debit,transfer_p2p
Kulture,5831 20SEP25 CD   SUMUP  *KULTURE   EVENTS            IPSWICH GB,10.0,debit,entertainment_other
Current,202686 80699039  OPTIONAL FT Barclays current account,10.0,debit,transfer_own_account
Milkbotretailcepro,Nyx*milkbotretailcepro,1.5,debit,groceries_specialist
Halton Village Stores,Halton Village Stores,3.5,debit,convenience_store
Gcc Fin Serv Ecomm,GCC FIN SERV ECOMM,57.0,debit,unclassified_other
Twinlakespark,TWINLAKESPARK.COM 01664567777,53.35,debit,days_out
