merchant_raw,description_raw,amount,direction,gold_leaf
Clubwise,Clubwise CLUBWISE,21.99,debit,gym_fitness
CK Supermarkets,Contactless Payment CK FOODSTORES APPLEPAY 4508 2023-10-29,10.85,debit,groceries
Randstad Solutions,FASTER PAYMENTS RECEIPT REF.ADVANCE FROM RANDSTAD SOLUTIONS LIMITED,393.75,credit,income_agency_work
Karbon Homes,KARBON HOMES LTD,136.06,debit,rent
Payless Food Ltd,PAYLESS FOOD AND W PAYLESS FOOD AND WINE,4.29,debit,convenience_store
Boyes,W BOYES & CO LTD S W BOYES & CO LTD SOUTH,2.98,debit,discount_store
Wagamama's,Wagamama Limited 2London,98.6,debit,restaurant_cafe
E.p.s. (uk) Limited,EPS LTD,9.48,credit,unclassified_other
Virgin Money DD,"DIRECT DEBIT PAYMENT TO VIRGIN MONEY REF ************8738, MANDATE NO 0173",141.12,debit,credit_card_repayment
Advantis Credit,ADVANTIS CREDIT -  ON 31 MAR BCC,95.89,debit,debt_collection
Go Skippy,Go Skippy GOSKIPPY               BRISTOL       GBR,148.18,debit,insurance_motor
BOS Insurance,BISL BOS INSURANCE  133989037362182358 DDR,23.08,debit,insurance_general
Amazon Slots,AMAZONSLOTS.COM,20.0,debit,gambling_casino
Barbican Centre,Contactless Payment BARBICAN CENTRE,18.0,debit,theatre
Paramount+,PARAMOUNT+,6.99,debit,streaming
Small Screen Casino,2103 09OCT24      SMALL SCREEN      CASINO            LONDON GB,25.0,debit,gambling_casino
Harvey and Thompson,H&T               BOOTLE,100.0,debit,pawnbroker
Five Guys,FIVE GUYS COVENT GLONDON,37.45,debit,restaurant_cafe
The One Stop Market,THE PAPER ONE LIMITED CD 3643,11.82,debit,convenience_store
Homeserve,HOMESERVE GB LIMIT,37.4,debit,insurance_home
One Call,ONE CALL INSURANCE,70.23,debit,insurance_general
Tramlink,TRAMLINK NOTTINGHA TRAMLINK NOTTINGHAM LI,3.3,debit,public_transport_rail_coach
Marbles Mastercard,CARD PAYMENT TO MARBLES CREDIT CARD ON 20-08-2023,30.0,debit,credit_card_repayment
Effective Security,Effective Security,142.5,credit,salary
Trannel International Casinos,Trannel International CD 1632,5.0,debit,gambling_casino
NetBet,NetBet www.netbet.com         Birkirkara    MLT,10.0,debit,gambling_betting
Lloyds TSB Credit Card,LLOYDS BANK PLATIN,45.0,debit,credit_card_repayment
Megaways Casino,MEGAWAYS/BALLYCASI MEGAWAYS/BALLYCASINO,10.0,debit,gambling_casino
ProgressPlay LTD,Progressplay Ltd,30.0,debit,gambling_casino
Capital Vending,NYA*Capital Vendin NYA*Capital Vending,1.1,debit,confectionary
Boost Power,WWW.BOOSTPOWER.CO.  ON 09 MAY BCC,20.0,debit,energy
Selco Builders Warehouse,SELCO TRADING CTR  ON 22 SEP CLP,23.58,debit,home_improvement
Browns,Visa purchase JOE BROWNS LTD,58.0,debit,clothing_general
Rainbow Riches Casino,Rainbow Riches Rainbow Riches         London        GBR,25.0,debit,gambling_casino
Omni Capital,OMNI CAPITAL RF,113.99,debit,retail_finance_repayment
First Dorset,Contactless Payment FIRST DORSET APPLEPAY 5444,2.0,debit,public_transport_rail_coach
Billing Finance,BILLING FINANCE,430.0,debit,car_finance_repayment
"Union of Shop, Distributive and Allied Workers",Zettle_*USDAW Usdaw,2.6,debit,trade_union
Getir,Getir GETIR UK               London        GBR,13.09,debit,groceries
Mace,"MACE MELMOUNT (VIA APPLE PAY), ON 12-12-2024",21.99,debit,convenience_store
The Eli Jenkins,ELI JENKINS,4.7,debit,pub_bar
Billing Finance,BILLING FINANCE,209.09,debit,car_finance_repayment
Hats and Caps,Hats and Barrels  Hwlffordd,3.2,debit,pub_bar
HeySpin Casino,ASG HeySpin,15.38,debit,gambling_casino
Levis,Shirley Levis & David Levis,4.5,credit,transfer_p2p
Eurogarages,EUROGARAGES T/A BL  ON 10 JAN CLP,41.85,debit,fuel
House Of Lords Catering & Retail Services,HOUSE OF LORDS CRS  ON 22 JAN CLP,18.45,debit,catering
Marbles Mastercard,MARBLES CREDITCARD                    REFERENCE: ************0255,118.73,debit,credit_card_repayment
Sefton Council,Sefton Mbc (e) Sefton MBC (E)         Basingstoke   GBR,0.7,debit,government_services
The One Stop Market,The Kill One      Barrow-in-Fur,3.6,debit,pub_bar
Stonegate,TWO BREWERS CLAPHA Stonegate Pubs,13.4,debit,pub_bar
Aspire Competitions,Aspire Competition Aspire Competitions,4.9,debit,prize_competitions
Payment Assist,WWW.PAYMENT-ASSIST  ON 01 JAN BCC,22.66,debit,bnpl
Market 4 Harlow Ltd,CARD PAYMENT TO SP PRETTY OBSESSED ON 12-06-2024,15.98,debit,health_beauty_general
Dexters Estate Agents,YA85862 Dexters London Ltd,1350.0,debit,rent
Sole trader,0745 24JAN23 CD   SUMUP  *SOLE      TRADER            MANCHESTER GB,21.0,debit,unclassified_other
Five Guys,FIVE GUYS KINGSWOO FIVE GUYS KINGSWOOD HU,11.5,debit,restaurant_cafe
My Community Bank,MY COMMUNITY BANK                     REFERENCE: BM139205,313.76,debit,credit_union_repayment
Eat and Repeat,CARD PAYMENT TO EAT AND REPEAT ON 09-12-2022,7.79,debit,takeaway
Boost Power,WWW.BOOSTPOWER.CO. WWW.BOOSTPOWER.CO.UK,10.0,debit,energy
Marbles Mastercard,MARBLES CD 7333,29.7,debit,credit_card_repayment
Cymru W Water,DWR CYMRU WELSH WA,30.16,debit,water
Co-op Fuel,Co-op CO-OP GROUP PETROL     BARRY         GBR,5.42,debit,fuel
Boyes,W BOYES & CO LTD,7.98,debit,discount_store
Central Cars,Central Cars Nottingham CENTRAL CARS NOTTINGHA NOTTINGHAM    GBR,6.5,debit,taxi_rideshare
EFS Limited,E.F.S. LTD.  BPL0075CX-004ZJZ DDR Exeter Friendly Society,43.02,debit,insurance_health
Transglobal Express,Transglobal Expres Transglobal Express,4.86,debit,delivery_courier
Euroflorist UK Ltd,Euroflorist UK Ltd  ON 08 APR BCC,31.98,debit,gifts_flowers
Eurospar,Eurospar Portaferry EndToEndID: NOTPROVIDED,8.89,debit,groceries
Paramount+,PARAMOUNT+,6.99,debit,streaming
Scott and Co,SCOTT & CO LLP,10.0,debit,debt_enforcement
Simmons,chantelle simmons,1.0,credit,transfer_p2p
London Underground,LUL TICKET MACHINEKILBURN,10.0,debit,public_transport_rail_coach
Wagamama's,WAGAMAMA SOUTHAMPT  ON 15 JUL CPM Wagamama,58.0,debit,restaurant_cafe
Lifestyle Express,6839 25MAY23 C    LIFESTYLE EXPRESS STAFFORD GB,6.95,debit,convenience_store
Rainbow Riches Casino,RAINBOW RICHES,10.0,debit,gambling_casino
AA Insurance ,AA INSURANCE,48.89,debit,insurance_general
Hotel Du Vin and Bistro,Contactless Payment HOTEL DU VIN APPLEPAY 5122,10.45,debit,restaurant_cafe
Market 4 Harlow Ltd,L WATTS,100.0,credit,transfer_p2p
Blue Banana,Blue Banana Retail Ltd,90.0,debit,clothing_general
HKS,HKS BURY HILL,28.6,debit,fuel
Maxol Service Stations,Contactless Payment MAXOL SSTN DOWNPATRICK GOOGLE 5861,19.64,debit,fuel
Everydayz,Every Dayz EVERYDAYZ              LIVERPOOL     GBR,2.99,debit,convenience_store
Rubys,Contactless Payment PPOINT_*RUBYS OFF LICENCE APPLEPAY 9207,18.04,debit,alcohol_beer_spirits
Simmons,SIMMONS S PRIME RP************1600,5.0,credit,unclassified_other
Equita,EQUITA LTD 01627170 FIRST DDR PAYMENT DDR,115.0,debit,debt_enforcement
Dudleys Bakehouse,DUDLEYS BHL  ON 26 MAR CPM,4.5,debit,restaurant_cafe
Ashford,ASHFORD (309028),97.92,debit,unclassified_other
Mutual Clothing & Supply,MUTUAL CLOTHING AND SU CD 8249,10.0,debit,retail_finance_repayment
Brigade Bar & Bistro,Contactless Payment EDGWARE TYRE BRIGADE,15.0,debit,vehicle_maintenance
Boyes,W BOYES & CO LTD I W BOYES & CO LTD ILKLE,4.08,debit,discount_store
Birchbox,Visa purchase SP BIRCHBOX UK 9165,17.0,debit,health_beauty_general
Upton Group Limited,UPTON GROUP LIMITED CD 7142,1.0,debit,confectionary
The Gourmet Society,SUMUP  *THE GOURME SUMUP  *THE GOURMET BROWN,10.0,debit,confectionary
Euro Garages,NYA*Euro Garages L NYA*Euro Garages Ltd,2.0,debit,fuel
Lloyds TSB Credit Card,TSB CREDIT CARDS                      REFERENCE: ************7463,48.95,debit,credit_card_repayment
National Railcard,RAILCARD.CO.UK,20.0,debit,public_transport_rail_coach
Mann Island Finance,MI VEHICLE FINANCE,183.2,debit,car_finance_repayment
Lemfi,LEMFI 0DF3871D-F14E 1f554134551645c399,739.0,credit,transfer_international
Q Park,Q PARK QUEENSWAY  ON 09 AUG CPM Q Park,34.0,debit,car_parking
Fluid,FLUID CREDIT CARD  ON 10 AUG BCC,54.3,debit,credit_card_repayment
Income Support,NE237105A DWP  IS  000000001931223625,205.3,credit,benefits_state
Dalston Eastern Curve Garden,Dalston Eastern Curve Garden GROW COOK EAT LTD      LONDON  E8 3  GBR,11.0,debit,restaurant_cafe
Credit Resource Solutions,CREDIT RESOURCE SO CREDIT RESOURCE SOLUTI,5.0,debit,debt_collection
CK Supermarkets,CK FOODSTORES,7.73,debit,groceries
Lifestyle Express,Contactless Payment PPOINT_*LIFESTYLE EXPRESS GOOGLE 5410,12.58,debit,convenience_store
NVCS Vending,NVCS VENDING  ON 06 MAR CLP,1.5,debit,confectionary
Marbles Mastercard,Marbles MARBLES CREDITCARD Marbles Creditcard,19.1,debit,credit_card_repayment
Regal Wins,Visa purchase REGALWINS APPLEPAY 6545,100.0,debit,gambling_casino
CDER Group,CDER GROUP LIMITEDLONDON,10.0,debit,debt_enforcement
Haydock Finance,To Haydock Fin Ltd,360.96,debit,car_finance_repayment
Upton Group Limited,UPTON GROUP LIMITESELBY,5.0,debit,confectionary
Santander Insurance,AIL SANTANDER,23.46,debit,insurance_general
Need a present,SumUp  *Need a cab SumUp  *Need a cab driv,5.8,debit,taxi_rideshare
Superbowl Newport,Superbowl UK Newpo Superbowl UK Newport,18.0,debit,days_out
HSBC Credit Cards,HSBC BNK VSA454638454638******2495,25.0,debit,credit_card_repayment
Halifax Mastercard,HALIFAX MASTERCARD,45.4,debit,credit_card_repayment
Eggfree Cake Box,7902 27JUN25 CD   THE EGGFREE CAKE  BOX (             WELLING GB,4.5,debit,restaurant_cafe
Blue Arrow,BLUE ARROW TEMP PA,439.5,credit,income_agency_work
Rox,STACEY-LORRAINE ROX                 FP 28/10/************8632BBGNCQD,80.0,credit,transfer_p2p
NatWest Credit Cards,ACC-NWESTPLAT     552213******2329  VIA MOBILE - PYMT FP 07/06/24 10    24123956504282000N,149.76,debit,credit_card_repayment
HSBC Credit Cards,HSBC BNK VSA454638454638******1867,187.0,debit,credit_card_repayment
1 Stop TShirt Shop,1 STOP INSTRUCTIONWWW.1STOPINST,830.0,debit,driving_tuition
Morses Club,MORSES CLUB PLC,14.69,debit,payday_loan
Eurospar,EUROSPAR DOLGELLAU,44.93,debit,groceries
Pink Casino,pinkcasino.co.uk  pinkcasino.co,10.0,debit,gambling_casino
Orange,Orange Store CRV*ORANGE STORE       London        GBR,9.53,debit,mobile_phone_contract
Take 5 Vending,Contactless Payment NYA*Take 5 Vending Ope APPLEPAY 0964,1.0,debit,confectionary
Premium Credit LTD,Direct debit PREMIUM CREDIT LTD ************6735,25.0,debit,loan_repayment_other
Premium-Credit,04ADRL3555/01 Premium Credit Insurance,29.5,debit,loan_repayment_other
Salexmo Competitions Ltd,SALEXMO COMPETITIO SALEXMO COMPETITIONS,3.0,debit,prize_competitions
Sheffield Council,SHEFFIELD CC COLLE,443.27,debit,council_tax
Halifax Mastercard,Payment to HALIFAX MASTERCARD ************0000,400.0,debit,credit_card_repayment
Marbles Mastercard,MARBLES CREDITCARD  ************8484 DDR Marbles,6.06,debit,credit_card_repayment
London Underground,2233 29JUN24      LUL TICKET MACHINESTRATFORD A GB,5.0,debit,public_transport_rail_coach
Sendwave,Sendwave  ON 21 JUN BCC,27.16,debit,transfer_international
Ozmen London Road Ltd,1374 11MAY25 CD   OZMEN LONDON ROAD LTD               UK GB,24.05,debit,groceries_specialist
Quid Market,QUIDMARKET  ON 23 AUG BCC,225.39,debit,payday_loan
Hollywood Bowl Group,"NYX*HOLLYWOODBOWLGROUP (VIA APPLE PAY), ON 21-06-2025",1.5,debit,days_out
iGO4,Direct debit PREMFINA-IGO4 041364 00000022,123.45,debit,insurance_general
Circle K,CIRCLE K GOREY M11,4.84,debit,fuel
Cooplands Bakery,COOPLANDS BAKERY  FILEY YO14,4.1,debit,restaurant_cafe
Dreams,"DREAMS LTD (VIA APPLE PAY), ON 01-05-2025",498.0,debit,bedding
The Blues Kitchen,The Blues Kitchen The Blues Kitchen Shoredi,27.8,debit,restaurant_cafe
Poker Stars,POKERSTARS Pokerstars,20.6,debit,gambling_casino
BOS Insurance,BISL BOS INSURANCE,56.98,debit,insurance_general
LiveLines,LIVELINES UK LTD Livelinesuk,13.2,debit,adult_entertainment
DivideBuy,DIVIDEBUY.CO.UK,52.27,debit,retail_finance_repayment
Blizzard Entertainment,Blizzard EU248322955 Blizzard Entertainment,16.79,debit,gaming_online
Premier Extra Limited,PREMIER EXTRA LTD  ON 22 JUN CLP,19.98,debit,groceries
NatWest Credit Cards,ACC-NWESTPLAT     552213******8868  VIA MOBILE - PYMT FP 28/02/************4894000N,100.0,debit,credit_card_repayment
Morses Club,2874 24NOV23      MORSES CLUB PLC   NOTTINGHAM GB,10.0,debit,payday_loan
Money Boat,MONEYBOAT.CO.UK-94 MONEYBOAT.CO.UK-945536,169.52,debit,payday_loan
Paul Smith,PAUL SMITH,850.0,debit,clothing_mens
Etoro,Mihai Ciudin      Etoro,10.0,debit,investment_trading
Delicates,CARD PAYMENT TO LA PLAZA DELICATES ON 25-09-2023,2.5,debit,groceries_specialist
North West Vending,NYA*North West Ven NYA*North West Vending,0.85,debit,confectionary
Harvey and Thompson,HARVEY & THOMPSON  17095 KELLEY BGC,1839.92,credit,loan_disbursement
Disney Store,EURO DISNEY ASSOCIES Disney Store,25.76,debit,toys
Allpay.net,ALLPAY LIMITED 418                    REFERENCE: A04075483,10.0,debit,payment_intermediary
Templeman Retailing & Vending,TEMPLEMAN RETAILIN TEMPLEMAN RETAILING AND V,2.0,debit,confectionary
O2 Car Park,THE O2 CAR PARK  ON 30 JUL CLP,10.0,debit,car_parking
Lloyds TSB Credit Card,LLOYDS BANK PLATIN,3873.0,debit,credit_card_repayment
Coventry Building Society,Direct debit CBS ************57466 CBS 19177830,514.22,debit,mortgage
Shell Energy,SHELL ENERGY RETAI  ************8468 DDR,26.49,debit,energy
Blizzard Entertainment,Blizzard Entertainment Blizzard Entertainment Versailles    FRA,1.0,credit,refund_received
Brodericks,Broderick Vend Broderick Vend         MANCHESTER    GBR,1.6,debit,confectionary
Paramount+,PARAMOUNT+,10.99,debit,streaming
Elite Competitions,elitecompetitions,15.34,debit,prize_competitions
Co-op Fuel,1506 21FEB23 C    CO-OP GROUP PETROLPETROL LANSDO GB,3.65,debit,fuel
Western Union,WESTERN UNION-GBP  ON 27 MAR BCC,64.44,debit,transfer_international
Boost Power,Visa purchase WWW.BOOSTPOWER.CO.UK,10.0,debit,energy
HSBC Credit Cards,HSBC BNK VSA454638454638******1278,215.98,debit,credit_card_repayment
London Underground,OYSTER MOBILE APP  ON 26 JAN BCC,10.0,debit,public_transport_rail_coach
Zigzag Global Ltd,3610 26DEC24      ZIGZAG GLOBAL     LONDON GB,4.99,debit,delivery_courier
Allpay.net,Direct debit ALLPAY LIMITED ************1990 ALLPAY LIMITED 840,126.84,debit,payment_intermediary
Haggerston,Haggerston - Complex Haggerston - Complex   Northumberlan GBR,7.38,debit,pub_bar
Newcross Healthcare,NEWCROSS HEALTHCAR FP-691996  12MAY24 3517860020122150HC,113.0,credit,income_agency_work
Comm Save,COMMSAVE CREDIT U  SAVINGS STO,55.31,debit,savings_transfer
HMSHost,HMSHost Manchester Air Hmshost Manchester Air,9.49,debit,airport_spend
Fluid,FLUID CREDIT CARD  ON 01 MAR BCC,5.0,debit,credit_card_repayment
Mutual Clothing & Supply,Visa purchase MUTUAL CLOTHING AND SUPPL,94.0,debit,retail_finance_repayment
Hunter and Hyland,HUNTER&HYLAND LTD. ************0830 SQU103258SAV SHOWR 309270     10 19MAY25 14:30,1071.22,debit,home_accessories
Savvy,V1037168 Valour Finance T/asavvy,22.21,debit,payday_loan
Itunes,Apple / iTunes,0.99,debit,software
L&L EUROPE,"L AND L EUROPE (VIA APPLE PAY), ON 07-07-2024",10.0,debit,gambling_casino
Day Insure,Dayinsure.com Limi Dayinsure.com Limited,27.83,debit,insurance_motor
Lemfi,LEMFI,5.86,debit,transfer_international
Northview Service Station,NORTHVIEWNSERVICE HOUGHTON LE S,1.25,debit,fuel
Muscle Food,MUSCLEFOOD,41.98,debit,groceries_specialist
Day Today Express Limited,Day today express CD 9092,0.85,debit,convenience_store
BW Legal,Bw Legal BW LEGAL,5.0,debit,debt_collection
HSBC Insurance,INS ASPECTS FEE,11.95,debit,insurance_general
E H Booth Co,E H BOOTH & CO  ON 20 APR CLP,25.25,debit,groceries
The Duke's Head,The Dukes Head THE DUKES HEAD         DARTFORD      GBR,4.4,debit,pub_bar
Virgin Money DD,Direct debit VIRGIN MONEY ************3289,30.0,debit,credit_card_repayment
HMSHost,HMSHost Eurotunnel Hmshost Eurotunnel,6.65,debit,restaurant_cafe
Aspire Competitions,Aspire Competition Aspire Competitions,1.88,debit,prize_competitions
Barclays Tech Pack,Tech Pack Fee  1 @ ?14.50 Barclays Tech Pack,14.5,debit,insurance_other
Fernovo,Fernovo,50.0,debit,payday_loan
Southampton City Council,19225903 Southampton City Council,215.0,debit,council_tax
Five Guys,6099 09OCT24  D   FIVE GUYS JV LTD  LONDON GB,10.3,debit,restaurant_cafe
Lifestyle Express,LIFESTYLE EXPRESS  ON 18 FEB CPM Lifestyle Express,20.82,debit,convenience_store
Indigo Sun,0746 17MAY24      INDIGO SUN        STIRLING GB,14.5,debit,beauty_treatment
DFH Ltd,WWW.DFH.CO.UK     MANCHESTER,136.0,debit,debt_management_plan
Indigo Sun,"INDIGO SUN (VIA APPLE PAY), ON 19-10-2024",10.5,debit,beauty_treatment
Aspers,ASPERS,200.0,debit,gambling_casino
The King,The King Neptune THE KING NEPTUNE       GRAYS         GBR,5.0,debit,pub_bar
Amazon Retail,AMAZON EU SARL UK,2790.44,credit,income_other_unspecified
Shell Energy,"DIRECT DEBIT PAYMENT TO SHELL ENERGY BBAND REF 6032130-034, MANDATE NO 0012",12.22,debit,broadband_tv_phone
Southern Electric,SSE ELEC,150.0,debit,energy
Popworld,POPWORLD CD 2433,8.5,debit,night_club
The Oast House,9048 10JUL24 CD   THE OAST HOUSE    MANCHES           MANCHESTER GB,6.25,debit,pub_bar
E H Booth Co,E H BOOTH & CO  ON 14 JUN CLP,39.6,debit,groceries
NatWest Credit Cards,NW MASTERCARD,41.69,debit,credit_card_repayment
All Star Lanes,All Star Lanes Bri All Star Lanes Brick Lane,25.54,debit,days_out
CarFinance 247,To 247 Money Group Li,176.93,debit,car_finance_repayment
Natwest Loans,NATWEST LOAN,164.04,debit,personal_loan_repayment
Lloyds Bank Mortgage,LLOYDS BANK MTG,687.59,debit,mortgage
Parking Eye Ltd,WWW.PARKINGEYE.CO.CHORLEY,35.0,debit,car_parking
Drafty,FASTER PAYMENTS RECEIPT REF.DRAFTYPAY202023642 FROM DRAFTY,243.0,credit,loan_disbursement
Market 4 Harlow Ltd,MISS AMY SOANES,40.0,debit,transfer_p2p
Royal National Lifeboat Institution,RNLI 1983,1859.19,credit,salary
Raja Brothers,RAJA BROTHERS CD 9590,5.49,debit,convenience_store
Revive Vending,Contactless Payment NYA*Revive Vending Ltd,2.9,debit,confectionary
U Save,U Save,14.42,debit,convenience_store
Admiral Casino,admiralcasino.co.u admiralcasino.co.uk,30.0,debit,gambling_casino
Flying Tiger Copenhagen,FlyingTiger  Bath CD 0834,1.0,debit,gifts_flowers
The Slug And Lettuce,SLUG AND LETTUCE C  ON 15 FEB CLP,11.89,debit,pub_bar
Advantis Credit,ADVANTIS CREDIT L,100.0,debit,debt_collection
Eurospar,Eurospar             )))) EndToEndID: NOTPROVIDED,5.38,debit,groceries
Field and Trek,Field and Flower CD 6560,58.21,debit,groceries_specialist
Capital on Tap,Capital on Tap www.capitalontap.com   London        GBR,300.0,debit,credit_card_repayment
London Underground,Lrt Tower Hill Lul Ticket Machine,5.0,debit,public_transport_rail_coach
Papaya,Visa purchase Papaya Solitaire APPLEPAY 9434,6.0,debit,gambling_unspecified
Brodericks,Broderick Vend,0.3,debit,confectionary
The Idle Man,THE IDLE BAKERY   BRADFORD,13.5,debit,restaurant_cafe
Spreadex,SPREADEX.COM,10.0,debit,gambling_betting
NVCS Vending,Contactless Payment NVCS VENDING APPLEPAY 2286,0.25,debit,confectionary
FITZDARES LTD,Fitzdares Ltd,0.0,debit,gambling_betting
Be At One,Be At One from Money Pot BE AT ONE CAMDEN       CAMDEN TOWN   GBR,6.0,debit,pub_bar
Oldham Vending,NYA*Oldham Vending NYA*Oldham Vending Ser,1.0,debit,confectionary
Redcar & Cleveland Borough Council,REDCAR & CLEVELAND REDCAR & CLEVELAND CNCL,17.0,debit,council_tax
Hastee Benefits,Payment from Hastee Benefits Ltd,10.0,credit,salary
Five Guys,6871 22OCT24 CD   FIVE GUYS YORK    YORK GB,10.9,debit,restaurant_cafe
Newbold Comyn Leisure Center,NEWBOLD COMYN LEIS,4.7,debit,gym_fitness
STA International,STA INTERNATIONAL  ON 01 DEC BCC STA INTERNATIONAL LTD,25.0,debit,debt_collection
The Duke's Head,The Dukes Head THE DUKES HEAD         DARTFORD      GBR,4.4,debit,pub_bar
Northern Railway,NORTHERN RAIL LTD-BLACKPOOL1828,3.0,debit,public_transport_rail_coach
Simply Cook,SimplyCook  ON 05 SEP BCC,9.99,debit,groceries_specialist
Clubwise,CLUBWISE          INITIAL PAYMENT,22.99,debit,gym_fitness
Marbles Mastercard,MARBLES CREDITCARD                    REFERENCE: ************6839,145.18,credit,refund_received
Refresh Systems Ltd,Refreshment System NYA*Refreshment System Aberystwyth   GBR,2.0,debit,confectionary
Indigo Sun,Contactless Payment INDIGO SUN APPLEPAY 5558,6.0,debit,beauty_treatment
Boost Power,WWW.BOOSTPOWER.CO. WWW.BOOSTPOWER.CO.UK,15.0,debit,energy
Oh Goodlord Ltd,"BILL PAYMENT VIA FASTER PAYMENT TO OH GOODLORD LTD REFERENCE RFATJYFH , MANDATE NO 71",795.0,debit,rent
Decorum Vending Limited,DECORUM VENDING PA DECORUM VENDING PAYTER,2.65,debit,confectionary
Virgin Money DD,Direct debit VIRGIN MONEY ************3289,52.73,debit,credit_card_repayment
The Station House,The Station House,14.9,debit,restaurant_cafe
Q Park,Q PARK ONLINE SALE Q PARK ONLINE SALES UK,17.5,debit,car_parking
Allbeauty.com,allbeauty.com CD 8418,34.4,debit,health_beauty_general
Rugby Car Park,RUGBY CAR PARK    RUGBY,20.0,debit,car_parking
J D Wetherspoon Plc,J D WETHERSPOON PL J D WETHERSPOON PLC,8.54,debit,pub_bar
Luton Borough Council,LUTON BC,35.0,debit,council_tax
