merchant_raw,description_raw,amount,direction,native_category,gold_leaf,target_leaf
NatWest Credit Cards,NW WORLD MASTERCAR,22.18,debit,Financial Services | Credit Cards,credit_card_repayment,financial_services_other
Creation Online,Direct debit CREATION.CO.UK 406384 86015017,35.58,debit,Financial Services | Credit Cards,retail_finance_repayment,financial_services_other
Family Finance Limited,FAMILY FINANCE LTDFP 04/12/************1504000N,27.79,debit,Financial Services | Personal Loans,personal_loan_repayment,financial_services_other
Vetsure,Direct debit VETSURE PET INSURA ************3214,40.0,debit,Pets | Pet Care,insurance_pet,pet_other
Scrumbles,Visa purchase SP SCRUMBLES.CO.UK 5125,78.75,debit,Pets | Pet Care,pet_supplies,pet_other
KCOM ,KCOM GROUP LTD  ON 15 OCT BCC,54.43,debit,Services | IT Services,broadband_tv_phone,it_services
Business IT Online,It Business SumUp  *IT Business    Birmingham    GBR,5.0,debit,Shopping (Discretionary) | Office Supplies,it_services,office_supplies
Epson,Epson Subscription Bv EPSON SUBSCRIPTION BV  +31203145000  NLD,4.99,debit,Shopping (Discretionary) | Office Electricals,printing_supplies,office_equipment
Western Union,WESTERN UNION     0808 234 9168,896.99,debit,Transfers / Other | International Transfer,transfer_international,unclassified_transfer
PingIt,PRITCHARD RW + T  PINGIT            FP 18/05/24 0612  RP************3900,70.0,credit,Transfers / Other | Bank Transfer,transfer_p2p,unclassified_transfer
Marks and Spencer,M&S MARKS&SPENCER PLC\32 PENNY STREET\LANCASTER\LA1 1UA   GBRGBR,56.0,credit,Transfers / Other | General Fashion,refund_received,unclassified_transfer
Transglobal Express,Transglobal Express,40.71,debit,Services | Delivery,delivery_courier,services_unspecified
Fast Lane International,FAST LANE MECHANIC FAST LANE MECHANICS,208.72,debit,Services | Delivery,vehicle_maintenance,services_unspecified
Jigsaw Homes,CARD PAYMENT TO ALLPAY *JIGSAW HOMES M ON 14-07-2025,115.07,debit,Services | Property Management,rent,services_unspecified
HM Land Registry,HM Land Registry,6.0,debit,Services | Government Services,government_services,services_unspecified
Yell Ltd,"DIRECT DEBIT PAYMENT TO YELL LTD REF 3CC5C5FA0E92F8EBA, MANDATE NO 0021",34.25,debit,Services | Business Services,advertising_services,services_unspecified
Home Group,HOME GROUP LIMITED,492.78,debit,Services | Property Management,rent,services_unspecified
X.com,Twitter Account Niall Fall,10.0,debit,Services | Web Services,online_services,services_unspecified
"Union of Shop, Distributive and Allied Workers",Zettle_*USDAW Usdaw,1.8,debit,Services | Trade Unions,trade_union,services_unspecified
Peopleperhour,Peopleperhour.com Prop,127.33,debit,Services | General,business_services,services_unspecified
Reward Gateway,Reward Gateway your-saving.com        London        GBR,110.4,debit,Services | Employee Rewards,employee_benefits,employee_benefits
Mama La Mode,TIM ?S LA MAMA pizza & Tim ?s La Mama Pizza &,11.4,debit,Shopping (Fashion) | Maternity Clothing,restaurant_cafe,clothing_maternity
Havens,HAVENS FOODS,5.0,debit,Shopping (Home) | Kitchens and Kitchen Accessories,groceries,kitchen
Nespresso,3043 07DEC24      NESPRESSO UK      LIMITED           GATWICK GB,30.0,debit,Shopping (Home) | Kitchens and Kitchen Accessories,kitchen,kitchen
Bathrooms.com,8070 02DEC24      EASY BATHROOMS    LIVERPO           LIVERPOOL GB,600.0,debit,Shopping (Home) | Bathroom Furniture and Accessories,bathroom,bathroom
LMnext,LMNext UK  ON 04 JUL BCC,43.97,credit,"Transfers / Other | Travel Guides, Luggage And Accessories",holiday_package,luggage_travel_goods
Polani Travel,Payment to POLANI TRAVEL LTD ************6547,30.0,debit,"Flights and Holidays | Travel Guides, Luggage And Accessories",travel_other,luggage_travel_goods
Al Fresco Holidays,SumUp  *Cafe Al Fr SumUp  *Cafe Al Fresco,1.4,debit,Shopping (Discretionary) | Camping Equipment,restaurant_cafe,camping_equipment
Tiffany Rose,Paid with Starling United Kingdom Account Tiffany Rose,25.0,debit,Services | Event Planning,clothing_maternity,event_planning
Close Encounters Comics,Contactless Payment Close Encounters Limited 2023-03-19,13.98,debit,"Books, Newspapers and Magazines | Comic Books",comics,comics
Brighton Electric Studios,Brighton Electric Brighton,6.0,debit,Shopping (Discretionary) | Musical Instruments,musical_instruments,musical_instruments
Rosetti,ROSETTI LTD ROSETTI FP 11/02/************8000R,236.2,debit,Shopping (Discretionary) | Musical Instruments,musical_instruments,musical_instruments
Hobgoblin Music,Hobgoblin Music HOBGOBLIN MUSIC        LEEDS         GBR,8.89,debit,Shopping (Discretionary) | Musical Instruments,musical_instruments,musical_instruments
Warhammer,WARHAMMER  ON 25 AUG CLP Warhammer,67.15,debit,Shopping (Discretionary) | Games and Puzzles,games_puzzles,games_puzzles
SendGrid,TWILIO SENDGRID Twilio Sendgrid,16.73,debit,Services | Email Services,web_services,email_services
Your Social Insights,YOURSOCIALINSIGHTS CD 3113,19.95,debit,Services | Social Reporting Services,social_reporting,social_reporting
Safecharge,SAFECHARGE LIMITED,5.0,debit,Financial Services | Money Management,payment_intermediary,money_management_service
Family Equity Plan,Direct Debit - First Payment FAMILY EQUITY PLAN 600001 36238007,20.0,debit,Services | Wealth Management,wealth_management,wealth_management
Xoom,TRUSTLY           1720929360 XOOM.COFP 24/11/24 1933  88385DD9A87349D8AB,50.0,credit,Transfers / Other | Money Transfers,transfer_international,money_transfer_service
Cash App,4916 29MAR23      CASH APP          LONDON          GBCREDIT,5.0,credit,Transfers / Other | Money Transfers,transfer_p2p,money_transfer_service
Conservative Party,769ZCWA The Conservative Party,3.5,debit,Charitable Giving | Political Parties,political_donation,political_donation
Labour Party,THE LABOUR PARTY,3.62,debit,Charitable Giving | Political Parties,political_donation,political_donation
Barclaycard,"Barclaycard Cashback, 1%%.% CASH REBATE THIS MONTH",2.04,credit,Adjustments | Credit Cards,cashback,adjustment
Assurant Auk,ASSURANT AUK00000271934,8.99,debit,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,insurance_other,student_loan_repayment
Miniml Refills,SP MINIML REFILLS  ON 07 OCT BCC,22.16,debit,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,retail_other,student_loan_repayment
Edinburgh Council,Direct debit EDINBURGH COUNCIL 830608 00740589,22,debit,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,council_tax,student_loan_repayment
Cdc Revs,Direct debit CDC REVS 600524 26121204,128,debit,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,council_tax,student_loan_repayment
National Education First,NATIONAL EDUCATIONFIRST PAYMENT,65.68,debit,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,education_general,student_loan_repayment
Scdc,Direct debit SCDC 201768 10464341,304,debit,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,council_tax,student_loan_repayment
Capital Resolve,CAPITAL RESOLVE  CAP-MTL603GV7 DDR,10,debit,LOAN_PAYMENTS_OTHER,debt_collection,loan_repayment_other
Cabot Financial,CABOT FINANCIAL E  CCMDD02894560/4 DDR Cabot Financial,21,debit,LOAN_PAYMENTS_OTHER,debt_collection,loan_repayment_other
PRA Group,CARD PAYMENT TO PRA GROUP LTD ON 17-10-2025,10,debit,LOAN_PAYMENTS_OTHER,debt_collection,loan_repayment_other
Link Financial,LINK FINANCIAL                        REFERENCE: 01LC 3588824,5,debit,LOAN_PAYMENTS_OTHER,debt_collection,loan_repayment_other
Bizlend LTD,BIZLEND LTD GBP AC BIZLEND3421,214.92,debit,LOAN_PAYMENTS_CASH_ADVANCES,business_loan_repayment,cash_advance
,Deirdre Devlin loan,-200,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_repayment_manual,cash_advance
,MrQ.com                   VISAXR CD1957 2025-10-20,-450,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_casino,cash_advance
,Loan,-3000,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,"SINGH DN DAVE NEW FENCE 44170513593914000N DAVE NEW FENCE,44170513593914000N",-150,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
,CASH IN P.O. AUG07146 ALLENDAL@11:27465942XXXXXX0778,-100,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,cash_deposit,cash_advance
,Visa credit NEXT 0063 2025-08-31,-26,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,refund_received,cash_advance
,DONE BROTHERS CASH DONE BROS CASH BET MODULO00P210Z2Z5VS,-111,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_betting,cash_advance
,Bank credit Active Savings ISA Cash Hub,-805,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,savings_transfer,cash_advance
,"CREATIVE ADVANCE CREATIVE ADVANCES 45023338978667000N CREATIVE ADVANCES,45023338978667000N",-1248.16,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,CASH IN P.O. JUL14146 ALLENDAL@08:14465942XXXXXX0778,-70,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,cash_deposit,cash_advance
,Visa credit NEXT 9172 2025-08-03,-26,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,refund_received,cash_advance
,"ABLE LIFTS LIMITED ABLE LIFT ADVANCE 100000001579401520 ABLE LIFT ADVANCE,100000001579401520",-325,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,MrQ.com                   VISAXR CD1612 2025-07-20,-220,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_casino,cash_advance
YouLend,YOULEND  PWBX2RV DDR,12,debit,LOAN_PAYMENTS_CASH_ADVANCES,business_loan_repayment,cash_advance
,Draper Cj MONEY,-30,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
,CIMPEANU A        Loan,-100,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_repayment_manual,cash_advance
,Fahad Syed Loan,-165,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_repayment_manual,cash_advance
,MrQ.com                   VISAXR CD1612 2025-08-17,-200,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_casino,cash_advance
,Albert Perry,-200,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
,KAYUM/NOOCHOUY    LOAN,-50,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_repayment_manual,cash_advance
,DONE BROTHERS CASH DONE BROS CASH BET MODULO00P210YHU8YP,-601.89,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_betting,cash_advance
,"K DAVIES ALBERT     05JUL25 200000001585624158 ALBERT     05JUL25,200000001585624158",-5,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
Zilch,4621 14JUL25      ZILCH *           TEMU.COM          LONDON GB         REFUND,-10.69,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,refund_received,cash_advance
Zilch,Visa credit ZILCH WWW.RIVERISLAND.COM,-9.75,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,refund_received,cash_advance
Zilch,ZILCH CASH CONVERT  ON 15 AUG BCC ZILCH CASH CONVERTERS,-36.43,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,refund_received,cash_advance
Zilch,Visa credit ZILCH WWW.DUNELONDON.COM,-49.27,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,refund_received,cash_advance
YouLend,Youlend Limited - YouLend Limited - SortCodeAccountNumber: 60838200021278,1120,debit,LOAN_PAYMENTS_CASH_ADVANCES,business_loan_repayment,cash_advance
,374567206241003008 MUTUAL LOAN,-500,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,"MBNA LOANS 100224386584 400000001588803607 100224386584,400000001588803607",-7000,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,Bank credit MONTHLY ADVANCE LOANS LIMITED,-1000,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,"D BIRD DAVE 200000001579499033 DAVE,200000001579499033",-30,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
,CASH IN P.O. AUG15146 ALLENDAL@17:27465942XXXXXX4749,-10,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,cash_deposit,cash_advance
,MILNER CL  Dave bill BGC,-101,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
,M Chapman  dave BGC,-80,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
,MrQ.com                   VISAXR CD1444 2025-06-14,-20,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_casino,cash_advance
,FREETRICITY OPE LTFT advance,-14000,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,"MANCHESTER CREDIT WITHDRAWAL 27/06/2 95ccc5f0aee747edb9 WITHDRAWAL 27/06/2,95ccc5f0aee747edb9",-166,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,Hartley Loan Co HARTLEY,-500,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,Bank credit EAST END FAIR FINANCE 608301 20156879,-564,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,CASH IN P.O. JUL28146 ALLENDAL@12:21465942XXXXXX0778,-90,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,cash_deposit,cash_advance
,MrQ.com                   VISAXR CD1612 2025-08-25,-50,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,gambling_casino,cash_advance
,"MANCHESTER CREDIT WITHDRAWAL 15/09/2 cdf1a01b6c66462bbd WITHDRAWAL 15/09/2,cdf1a01b6c66462bbd",-150.29,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_disbursement,cash_advance
,"Loan
EndToEndID: FRI Loan",-20,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,loan_repayment_manual,cash_advance
,MILNER CL  Dave hos BGC,-60,credit,LOAN_DISBURSEMENTS_CASH_ADVANCES,transfer_p2p,cash_advance
American Express,American Express  ON 08 AUG BCC,570,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,American Express  ON 11 JUL BDC,250,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,AMERICAN EXPRESS  3412-721170-62003 DDR American Express,100.06,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,9317 12AUG25      AMERICAN EXPRESS  LONDON GB,467.75,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,AMERICAN EXPRESS  3742-550038-43008 DDR American Express,18496.49,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,Visa purchase American Express 2025-09-14,30.17,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,American Express  ON 27 JUN BCC,100,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,American Express  ON 16 JUL BCC,300,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,CARD PAYMENT TO AMERICAN EXPRESS ON 18-08-2025,699.27,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,3205 09JUL25      AMERICAN EXPRESS  LONDON GB,200,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,PUTTSTINK         AMERICAN EXPRESS  VIA MOBILE - PYMT FP 30/08/25 10    27105522996002000R,70,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,AMERICAN EXPRESS  3412-786287-04009 DDR American Express,27.4,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,37428525984 American Express,428.84,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,"American Express, 37468056117",32.35,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,AMERICAN EXPRESS  3412-641143-41001 DDR American Express,9.81,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,6428 30JUN25      AMERICAN EXPRESS  LONDON GB,1000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,6428 03SEP25      AMERICAN EXPRESS  LONDON GB,1000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,American Express CD 0942,300,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,Visa purchase American Express 2025-10-05,52.32,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,CARD PAYMENT TO AMERICAN EXPRESS ON 16-09-2025,100,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,Visa purchase American Express 2025-08-17,36.02,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,7859 13AUG25      AMERICAN EXPRESS  LONDON GB,1044.81,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,6428 01JUL25      AMERICAN EXPRESS  LONDON GB,1000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,AMERICAN EXPRESS 3412-775368-31003,237.38,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,6428 08AUG25      AMERICAN EXPRESS  LONDON GB,1000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,"American Express, 37738441030",25,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
American Express,American Express CD 0468    25OCT25,650,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,charge_card_repayment,charge_card_repayment
