normalised_merchant,detailed_category,n,n_debit,n_credit,notes
ar foods and wine,alcohol_beer_spirits,22,22,0,n=10-49 Luna B + parent
islamic relief,charitable_donation,22,22,0,n=10-49 Luna B + parent
leyland sdm,home_improvement,22,22,0,n=10-49 Luna B + parent
turkish airlines,flights,22,19,3,n=10-49 Luna B + parent
free now,taxi_rideshare,22,17,5,n=10-49 Luna B + parent
go car credit,car_finance_repayment,22,22,0,n=10-49 Luna B + parent
degrees coffeesh,restaurant_cafe,22,22,0,n=10-49 Luna B + parent
armley discount store lee,discount_store,22,22,0,n=10-49 Luna B + parent
electric ireland,energy,22,22,0,n=10-49 Luna B + parent
medicare pharmacy,pharmacy,22,22,0,n=10-49 Luna B + parent
provend,retail_other,22,22,0,n=10-49 Luna B + parent
natural history museum,days_out,22,22,0,n=10-49 Luna B + parent
certas energy,energy,22,22,0,n=10-49 Luna B + parent
route one,clothing_general,22,22,0,n=10-49 Luna B + parent
christ embassy,charitable_donation,22,22,0,n=10-49 Luna B + parent
healthspan,supplements,22,21,1,n=10-49 Luna B + parent
oakbrook finance,personal_loan_repayment,22,22,0,n=10-49 Luna B + parent
payl8r,bnpl,21,21,0,n=10-49 Luna B + parent
stepchange debt charity,debt_management_plan,20,20,0,n=10-49 Luna B + parent
dvla-au,road_tax,20,20,0,n=10-49 parent override
blue cross blue shield,insurance_general,20,20,0,n=10-49 Luna B + parent
marsh finance,personal_loan_repayment,20,20,0,n=10-49 Luna B + parent
really awesome coffee,restaurant_cafe,20,20,0,n=10-49 Luna B + parent
cardfactory,gifts_flowers,20,20,0,n=10-49 Luna B + parent
cd mnm,discount_store,20,20,0,n=10-49 Luna B + parent
clearys limited hindle,home_improvement,20,20,0,n=10-49 Luna B + parent
eflorist,gifts_flowers,20,20,0,n=10-49 Luna B + parent
vitabiotics,supplements,20,20,0,n=10-49 Luna B + parent
adrian flux,insurance_motor,20,19,1,n=10-49 Luna B + parent
dishoom,restaurant_cafe,20,15,5,n=10-49 Luna B + parent
dfs,retail_finance_repayment,19,19,0,n=10-49 Luna B + parent
top connect pi,mobile_phone_contract,19,19,0,n=10-49 Luna B + parent
muji,retail_other,19,18,1,n=10-49 Luna B + parent
scoresmatter,gambling_betting,19,19,0,n=10-49 Luna B + parent
royal bank of scotland,financial_institution_unspecified,19,19,0,n=10-49 Luna B + parent
cder group,debt_enforcement,19,19,0,n=10-49 Luna B + parent
travellers rest,pub_bar,19,19,0,n=10-49 Luna B + parent
wellness communica,mental_health_services,19,19,0,n=10-49 Luna B + parent
gold cape,gambling_casino,19,19,0,n=10-49 Luna B + parent
gridserve uk omm ltd,fuel,19,19,0,n=10-49 Luna B + parent
esso m ackworth,fuel,19,19,0,n=10-49 Luna B + parent
dial direct,insurance_general,19,19,0,n=10-49 Luna B + parent
woolworths,retail_other,19,19,0,n=10-49 Luna B + parent
the parlour,restaurant_cafe,19,19,0,n=10-49 Luna B + parent
oak street health,veterinary,18,18,0,n=10-49 Luna B + parent
copybet,gambling_betting,18,18,0,n=10-49 Luna B + parent
arval,car_lease,18,18,0,n=10-49 Luna B + parent
nwl,utility_other,18,18,0,n=10-49 Luna B + parent
wilco motor spares,spares_repairs,18,18,0,n=10-49 Luna B + parent
countrywide reside,rent,18,18,0,n=10-49 Luna B + parent
blackpool pleasure beach,days_out,18,17,1,n=10-49 Luna B + parent
glasgow city council,council_tax,18,18,0,n=10-49 Luna B + parent
hamilton hall,restaurant_cafe,18,18,0,n=10-49 Luna B + parent
ccs,taxi_rideshare,18,18,0,n=10-49 Luna B + parent
kwik save,groceries,18,18,0,n=10-49 Luna B + parent
quickbooks,it_services,18,18,0,n=10-49 Luna B + parent
driving,id_documents,18,18,0,n=10-49 Luna B + parent
cardcash,financial_services_other,18,18,0,n=10-49 Luna B + parent
swinton insurance,insurance_general,18,18,0,n=10-49 Luna B + parent
covea life,insurance_life,17,17,0,n=10-49 Luna B + parent
unicef,charitable_donation,17,16,1,n=10-49 Luna B + parent
pet drugs online,pharmacy,17,17,0,n=10-49 Luna B + parent
ancestry,genealogy_services,17,17,0,n=10-49 Luna B + parent
secret sales,clothing_general,17,17,0,n=10-49 Luna B + parent
one call,insurance_general,17,17,0,n=10-49 Luna B + parent
mcc internet,broadband_tv_phone,16,16,0,n=10-49 Luna B + parent
british red cross,charitable_donation,16,16,0,n=10-49 Luna B + parent
wiltshire farm foods,groceries,15,15,0,n=10-49 Luna B + parent
hachette partworks,catalogue_retail,14,14,0,n=10-49 Luna B + parent
candy & liguor,alcohol_beer_spirits,14,14,0,n=10-49 Luna B + parent
fusion lifestyle,gym_fitness,14,14,0,n=10-49 Luna B + parent
in-n-out burger,takeaway,14,14,0,n=10-49 Luna B + parent
sunglass hut,clothing_general,14,14,0,n=10-49 Luna B + parent
coverwise,insurance_travel,14,14,0,n=10-49 Luna B + parent
legoland,days_out,13,13,0,n=10-49 Luna B + parent
fat face,clothing_general,13,13,0,n=10-49 Luna B + parent
rentumo.co.uk,rent,13,13,0,n=10-49 Luna B + parent
badoo,online_dating,13,13,0,n=10-49 Luna B + parent
totally wicked,vaping,13,13,0,n=10-49 Luna B + parent
zen internet,broadband_tv_phone,13,13,0,n=10-49 Luna B + parent
bigo live,online_services,13,13,0,n=10-49 Luna B + parent
hm revenue,tax_payment,13,13,0,n=10-49 Luna B + parent
pizza union,restaurant_cafe,12,12,0,n=10-49 Luna B + parent
vape nation,vaping,12,12,0,n=10-49 Luna B + parent
updraft credit,personal_loan_repayment,12,12,0,n=10-49 Luna B + parent
feelgoodcontacts.c,optician,12,12,0,n=10-49 Luna B + parent
wimpy,restaurant_cafe,12,12,0,n=10-49 Luna B + parent
superbet.ro,gambling_betting,11,11,0,n=10-49 Luna B + parent
royal british legion,charitable_donation,11,11,0,n=10-49 Luna B + parent
equifinance,personal_loan_repayment,11,11,0,n=10-49 Luna B + parent
ticketline,live_music,11,11,0,n=10-49 Luna B + parent
the breakfast club,restaurant_cafe,11,11,0,n=10-49 Luna B + parent
manchester united,sports_participation,11,11,0,n=10-49 Luna B + parent
forest of dean district council,council_tax,11,11,0,n=10-49 Luna B + parent
allsaints,clothing_general,11,11,0,n=10-49 Luna B + parent
google nest,web_services,11,11,0,n=10-49 Luna B + parent
origin coffee,restaurant_cafe,11,11,0,n=10-49 Luna B + parent
headmasters,skin_hair_care,11,11,0,n=10-49 Luna B + parent
secretsales,clothing_general,11,11,0,n=10-49 Luna B + parent
twycross zoo,days_out,11,11,0,n=10-49 Luna B + parent
southern railway,public_transport_rail_coach,11,11,0,n=10-49 Luna B + parent
roxy lanes,sports_participation,11,11,0,n=10-49 Luna B + parent
hawksmoor,restaurant_cafe,11,11,0,n=10-49 Luna B + parent
trentbarton,public_transport_rail_coach,11,11,0,n=10-49 Luna B + parent
zalando,clothing_general,11,11,0,n=10-49 Luna B + parent
hays travel,travel_other,11,11,0,n=10-49 Luna B + parent
liverpool airport,airport_spend,11,11,0,n=10-49 Luna B + parent
gatwickairport,airport_spend,10,10,0,n=10-49 Luna B + parent
parcs,days_out,10,10,0,n=10-49 Luna B + parent
tommy hilfiger,clothing_general,10,10,0,n=10-49 Luna B + parent
st lukes hospice,charitable_donation,10,10,0,n=10-49 Luna B + parent
reading buses,public_transport_rail_coach,10,9,1,n=10-49 Luna B + parent
james paget hospital,hospital,10,10,0,n=10-49 Luna B + parent
opium,night_club,10,10,0,n=10-49 Luna B + parent
harry corry,home_accessories,10,10,0,n=10-49 Luna B + parent
afc bournemouth,sports_participation,10,10,0,n=10-49 Luna B + parent
ipvanish,web_services,10,10,0,n=10-49 Luna B + parent
weight watchers,weight_loss,10,10,0,n=10-49 Luna B + parent
original factory shop,discount_store,10,10,0,n=10-49 Luna B + parent
autogrill,restaurant_cafe,10,10,0,n=10-49 Luna B + parent
rentola.co.uk,rent,10,10,0,n=10-49 Luna B + parent
heathrow,airport_parking,10,10,0,n=10-49 Luna B + parent
pizzeria union,restaurant_cafe,,,,n=10-49 Luna B + parent
clear­pay.co.u,bnpl,,,,n=10-49 Luna B + parent
