detailed_category,general_category,necessity,cash_flow_type,is_debt_related,is_priority_debt,is_age_restricted,risk_flag,is_recurring_income,equifax_source,plaid_source,notes
government_services,council_tax_government,essential,spend,false,false,false,none,,Government Services ; primary:Government,GOVERNMENTS_AND_NON_PROFIT_OTHER_GOVERNMENTS_AND_NON_PROFIT,
id_documents,council_tax_government,essential,spend,false,false,false,none,,ID Cards,,
emergency_services,council_tax_government,essential,spend,false,false,false,none,,Emergency Services,,
groceries,groceries_household_essentials,essential,spend,false,false,false,none,,General Groceries,FOOD_RETAIL_GROCERIES ; FOOD_RETAIL_OTHER ; GENERAL_MERCHANDISE_SUPERSTORES,
discount_store,groceries_household_essentials,essential,spend,false,false,false,none,,Discount Stores,GENERAL_MERCHANDISE_DISCOUNT_STORES,
convenience_store,groceries_household_essentials,mixed_basket,spend,false,false,false,none,,Newsagents and Convenience Stores,GENERAL_MERCHANDISE_CONVENIENCE_STORES,
cash_and_carry,groceries_household_essentials,essential,spend,false,false,false,none,,Cash & Carry,,
groceries_specialist,groceries_household_essentials,essential,spend,false,false,false,none,,Fairtrade and ethical products,,
confectionary,groceries_household_essentials,discretionary,spend,false,false,false,none,,Confectionary,,
alcohol_beer_spirits,groceries_household_essentials,discretionary,spend,false,false,true,none,,Alcoholic Beverages Beers and Spirits,FOOD_RETAIL_LIQUOR_STORES,OVERRIDE - Equifax files as Household Essentials
alcohol_wine,groceries_household_essentials,discretionary,spend,false,false,true,none,,Alcoholic Beverages Wines,,OVERRIDE - Equifax files as Household Essentials
tobacco,groceries_household_essentials,discretionary,spend,false,false,true,none,,Tobacco Products,,
vaping,groceries_household_essentials,discretionary,spend,false,false,true,none,,Electronic Cigarettes,,OVERRIDE - Equifax files under Personal Healthcare
takeaway,eating_drinking_out,discretionary,spend,false,false,false,none,,Take Away ; Chip Shed Bourton Limited ; Ipswich 5 Star Ltd,,
restaurant_cafe,eating_drinking_out,discretionary,spend,false,false,false,none,,"Restaurants, Cafes and Bistros",DINING_DINING ; DINING_OTHER_DINING ; DINING_COFFEE,
pub_bar,eating_drinking_out,discretionary,spend,false,false,true,none,,Pubs and Bars,DINING_WINE_BARS_AND_PUBS,
night_club,eating_drinking_out,discretionary,spend,false,false,true,none,,Night Clubs,,
catering,eating_drinking_out,discretionary,spend,false,false,false,none,,Catering,,
eating_out_other,eating_drinking_out,discretionary,spend,false,false,false,none,,primary:Restaurants and takeaway,,
clothing_general,clothing_personal_care,mixed_basket,spend,false,false,false,none,,General Fashion,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,
clothing_womens,clothing_personal_care,mixed_basket,spend,false,false,false,none,,Womens Fashion,,
clothing_mens,clothing_personal_care,mixed_basket,spend,false,false,false,none,,Mens Fashion,,
clothing_childrens,clothing_personal_care,mixed_basket,spend,false,false,false,none,,Childrens Fashion,,
clothing_maternity,clothing_personal_care,mixed_basket,spend,false,false,false,none,,Maternity Clothing,,life-event signal
clothing_outdoor,clothing_personal_care,discretionary,spend,false,false,false,none,,Outdoor Clothing,,
clothing_workwear,clothing_personal_care,essential,spend,false,false,false,none,,Workwear,,
footwear,clothing_personal_care,mixed_basket,spend,false,false,false,none,,Footwear,,
sportswear,clothing_personal_care,discretionary,spend,false,false,false,none,,Sportswear,GENERAL_MERCHANDISE_SPORTING_GOODS,
jewellery,clothing_personal_care,discretionary,spend,false,false,false,none,,Jewellery and Accesories,,
fancy_dress,clothing_personal_care,discretionary,spend,false,false,false,none,,Fancy Dress,,
health_beauty_general,clothing_personal_care,discretionary,spend,false,false,false,none,,General Health and Beauty,PERSONAL_CARE_OTHER_PERSONAL_CARE,
skin_hair_care,clothing_personal_care,discretionary,spend,false,false,false,none,,Skin and Hair Care,PERSONAL_CARE_HAIR_AND_BEAUTY,
beauty_treatment,clothing_personal_care,discretionary,spend,false,false,false,none,,Beauty & Massage,,
fragrances,clothing_personal_care,discretionary,spend,false,false,false,none,,Fragrances,,
home_accessories,home_garden,mixed_basket,spend,false,false,false,none,,Home Accessories,GENERAL_MERCHANDISE_FURNITURE_AND_HARDWARE,
home_improvement,home_garden,mixed_basket,spend,false,false,false,none,,Home Improvements,GENERAL_SERVICES_HOME_IMPROVEMENT_SERVICES,
tools,home_garden,mixed_basket,spend,false,false,false,none,,Tools,,
garden,home_garden,discretionary,spend,false,false,false,none,,Garden Accessories ; Plants,,
kitchen,home_garden,mixed_basket,spend,false,false,false,none,,Kitchens and Kitchen Accessories,,
bathroom,home_garden,mixed_basket,spend,false,false,false,none,,Bathroom Furniture and Accessories,,
bedding,home_garden,mixed_basket,spend,false,false,false,none,,Bedding,,
lighting,home_garden,mixed_basket,spend,false,false,false,none,,Lights and Lamps,,
household_appliances,home_garden,mixed_basket,spend,false,false,false,none,,Household Appliances,,
home_repair,home_garden,essential,spend,false,false,false,none,,Household Repair Services,,
tradesmen,home_garden,essential,spend,false,false,false,none,,Tradesmen,,
construction_services,home_garden,mixed_basket,spend,false,false,false,none,,Construction,,
cleaning_services,home_garden,discretionary,spend,false,false,false,none,,Cleaning Services,,
laundry,home_garden,essential,spend,false,false,false,none,,Laundry Services,,
marketplace_amazon,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Amazon ; primary:Amazon All,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,IV 0.1629 persistence; decays sharply at month12
marketplace_refurbished,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Back Market Uk Ltd,,refurbished-device marketplace - Raylo-adjacent
payment_intermediary,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,E-Commerce Payment System,,PayPal/Klarna-style - obscures underlying merchant
retail_tv_online_shopping,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,TV and Online Shopping,,
catalogue_retail,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,General Catalogues,,often implies embedded credit
department_store,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Department Stores,GENERAL_MERCHANDISE_DEPARTMENT_STORES,
retail_small_independent,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Small Retail,,
computing_devices,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,"Computers, Laptops and Tablets",GENERAL_MERCHANDISE_COMPUTERS_AND_ELECTRONICS,device-adjacent - Raylo relevant
mobile_handset,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Mobile Handsets and Accessories,,DIRECTLY Raylo-competitive purchase
computer_peripherals,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Computer Peripherals and Accessories,,
printing_supplies,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,"Printers, Printer Ink and Printer Toner",,
electrical_goods,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,General Electrical,,
audio_equipment,general_retail_marketplaces,discretionary,spend,false,false,false,none,,Audio Equipment,,
gadgets,general_retail_marketplaces,discretionary,spend,false,false,false,none,,Gadgets and Gizmos,,
camera_photography,general_retail_marketplaces,discretionary,spend,false,false,false,none,,Cameras and Photography,,
toys,general_retail_marketplaces,discretionary,spend,false,false,false,none,,Toy Stores,,
baby_products,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,General Baby Products ; Baby Gifts,,life-event signal
gifts_flowers,general_retail_marketplaces,discretionary,spend,false,false,false,none,,Gifts Flowers and Parties,,OVERRIDE - Equifax files as Household Essentials
stationery,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Stationery,,
vouchers,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Vouchers/Discount Codes,,
delivery_courier,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,Delivery,,
retail_other,general_retail_marketplaces,mixed_basket,spend,false,false,false,none,,primary:Shopping (Discretionary) ; primary:Shopping (Home) ; primary:Shopping (Fashion) ; primary:Shopping (Household Essentials),GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,
fuel,transport_motoring,essential,spend,false,false,false,none,,Fuel,,Plaid bundles fuel with maintenance
public_transport_rail_coach,transport_motoring,essential,spend,false,false,false,none,,Trains and Coaches,TRAVEL_AND_TRANSPORTATION_PUBLIC_TRANSIT,
taxi_rideshare,transport_motoring,mixed_basket,spend,false,false,false,none,,Taxis,TRAVEL_AND_TRANSPORTATION_TAXIS_AND_RIDE_SHARES,
car_parking,transport_motoring,essential,spend,false,false,false,none,,Car Parking,,
road_tax,transport_motoring,essential,spend,false,false,false,none,,Road Tax,,
tolls,transport_motoring,essential,spend,false,false,false,none,,Tolls and Crossings,,
vehicle_maintenance,transport_motoring,essential,spend,false,false,false,none,,Garages and Parts,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,
vehicle_mot,transport_motoring,essential,spend,false,false,false,none,,M.O.T.,,
vehicle_servicing,transport_motoring,essential,spend,false,false,false,none,,Car Services,,
spares_repairs,transport_motoring,essential,spend,false,false,false,none,,Spares and Repairs,,
carwash,transport_motoring,discretionary,spend,false,false,false,none,,Carwash,,
breakdown_cover,transport_motoring,essential,spend,false,false,false,none,,Breakdown Cover,,
vehicle_purchase,transport_motoring,mixed_basket,spend,false,false,false,none,,Car Dealerships,,
car_hire,transport_motoring,discretionary,spend,false,false,false,none,,General Car Hire,,
bicycle,transport_motoring,mixed_basket,spend,false,false,false,none,,Bikes and Accessories,,
transport_other,transport_motoring,essential,spend,false,false,false,none,,primary:Commuting and travel ; primary:Automotive,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,
flights,travel_holidays,discretionary,spend,false,false,false,none,,Flights,TRAVEL_AND_TRANSPORTATION_FLIGHTS,
accommodation,travel_holidays,discretionary,spend,false,false,false,none,,Hotels and Accommodation ; Hotels and Other Accomodation,TRAVEL_AND_TRANSPORTATION_LODGING,
holiday_package,travel_holidays,discretionary,spend,false,false,false,none,,Holidays,,
holiday_uk,travel_holidays,discretionary,spend,false,false,false,none,,Holidays UK,,
holiday_rental,travel_holidays,discretionary,spend,false,false,false,none,,Holiday Cottages and Villas,,
camping_holiday,travel_holidays,discretionary,spend,false,false,false,none,,Camping Holidays,,
ferry_rail_travel,travel_holidays,discretionary,spend,false,false,false,none,,Ferries and Rail,,
airport_spend,travel_holidays,discretionary,spend,false,false,false,none,,Airport Spending ; Duty Free,,
airport_parking,travel_holidays,discretionary,spend,false,false,false,none,,Airport Parking,,
foreign_currency,travel_holidays,discretionary,spend,false,false,false,none,,Foreign Currency ; Foreign Currencies,,
foreign_spend_unspecified,travel_holidays,mixed_basket,spend,false,false,false,none,,Foreign,,
luggage_travel_goods,travel_holidays,discretionary,spend,false,false,false,none,,"Travel Guides, Luggage And Accessories",,
travel_other,travel_holidays,discretionary,spend,false,false,false,none,,Other Travel ; primary:Flights and Holidays,,
gaming_console_pc,entertainment_leisure,discretionary,spend,false,false,false,none,,PC and Console Games,,
gaming_mobile,entertainment_leisure,discretionary,spend,false,false,false,none,,Mobile Games ; Mobile Apps and Games,,microtransactions can proxy compulsive spend
gaming_online,entertainment_leisure,discretionary,spend,false,false,false,none,,Online Games,,
cinema,entertainment_leisure,discretionary,spend,false,false,false,none,,Cinema,,
live_music,entertainment_leisure,discretionary,spend,false,false,false,none,,Music Tickets,ENTERTAINMENT_EVENTS_AND_TICKETS,
theatre,entertainment_leisure,discretionary,spend,false,false,false,none,,Theatre Tickets,,
sports_tickets,entertainment_leisure,discretionary,spend,false,false,false,none,,Sports Ticket,,
sports_participation,entertainment_leisure,discretionary,spend,false,false,false,none,,Sporting General,,
sports_equipment,entertainment_leisure,discretionary,spend,false,false,false,none,,Sports Equipment,,
camping_equipment,entertainment_leisure,discretionary,spend,false,false,false,none,,Camping Equipment,,
days_out,entertainment_leisure,discretionary,spend,false,false,false,none,,Days Out,,
experience_days,entertainment_leisure,discretionary,spend,false,false,false,none,,Experience Days,,
event_planning,entertainment_leisure,discretionary,spend,false,false,false,none,,Event Planning,,
books,entertainment_leisure,discretionary,spend,false,false,false,none,,"General Books ; primary:Books, Newspapers and Magazines",,
newspapers,entertainment_leisure,discretionary,spend,false,false,false,none,,Newspapers,,
magazines,entertainment_leisure,discretionary,spend,false,false,false,none,,Magazines,,
comics,entertainment_leisure,discretionary,spend,false,false,false,none,,Comic Books,,
physical_media,entertainment_leisure,discretionary,spend,false,false,false,none,,DVD and Blu-ray,,
music_other,entertainment_leisure,discretionary,spend,false,false,false,none,,Music,,
musical_instruments,entertainment_leisure,discretionary,spend,false,false,false,none,,Musical Instruments,,
arts_crafts,entertainment_leisure,discretionary,spend,false,false,false,none,,Art and Craft,,
games_puzzles,entertainment_leisure,discretionary,spend,false,false,false,none,,Games and Puzzles,,
memberships,entertainment_leisure,discretionary,spend,false,false,false,none,,General Memberships,,
private_members_club,entertainment_leisure,discretionary,spend,false,false,false,none,,Private Members Club,,
adult_entertainment,entertainment_leisure,discretionary,spend,false,false,true,none,,Adult Entertainment,,
adult_products,entertainment_leisure,discretionary,spend,false,false,true,none,,Over 18 Toys,,
entertainment_other,entertainment_leisure,discretionary,spend,false,false,false,none,,General Entertainment ; primary:Entertainment,ENTERTAINMENT_OTHER_ENTERTAINMENT ; ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,Plaid bundles streaming+games+cinema here - real signal loss
streaming_music,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Music and Downloads,,
software,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Software,,
web_services,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Web Services,,
online_services,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Online Services,,
email_services,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Email Services,,
online_dating,digital_subscriptions_services,discretionary,spend,false,false,true,none,,Online Dating,,
genealogy_services,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Family History,,
social_reporting,digital_subscriptions_services,discretionary,spend,false,false,false,none,,Social Reporting Services,,
pharmacy,health_medical,essential,spend,false,false,false,none,,Pharmaceuticals,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,
medicine,health_medical,essential,spend,false,false,false,none,,Medicine,,
supplements,health_medical,discretionary,spend,false,false,false,none,,Supplements,,
dentist,health_medical,essential,spend,false,false,false,none,,Dentist,,
optician,health_medical,essential,spend,false,false,false,none,,Glasses and Contact Lenses,MEDICAL_DENTAL_AND_VISION,
hospital,health_medical,essential,spend,false,false,false,none,,Hospitals,MEDICAL_PRIMARY_CARE,
mental_health_services,health_medical,essential,spend,false,false,false,none,,Counselling and Mental Health,,vulnerability-relevant
gym_fitness,health_medical,discretionary,spend,false,false,false,none,,Gyms And Health Clubs,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,
weight_loss,health_medical,discretionary,spend,false,false,false,none,,Weight Loss,,
adult_care,health_medical,essential,spend,false,false,false,none,,Adult Care,,
family_services,health_medical,essential,spend,false,false,false,none,,Family Services,,
funeral,health_medical,essential,spend,false,false,false,none,,Funeral Directors,,life-event signal
health_other,health_medical,essential,spend,false,false,false,none,,primary:Personal Healthcare ; Medical,MEDICAL_OTHER_MEDICAL,
insurance_general,insurance,essential,spend,false,false,false,none,,General Insurance ; primary:Insurance,INSURANCE_AND_TAX_INSURANCE,
insurance_motor,insurance,essential,spend,false,false,false,none,,Motor Insurance,,
insurance_home,insurance,essential,spend,false,false,false,none,,Home Insurance,,
insurance_life,insurance,essential,spend,false,false,false,none,,Life Insurance,,
insurance_health,insurance,essential,spend,false,false,false,none,,Health Insurance,,
insurance_travel,insurance,discretionary,spend,false,false,false,none,,Travel Insurance,,
insurance_other,insurance,essential,spend,false,false,false,none,,Other Insurance,,
credit_card_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Credit Cards,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,
charge_card_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Charge Card,,
revolving_credit_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Revolving Credit,,
personal_loan_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Personal Loans ; primary:Loans,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,
student_loan_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,no Equifax equivalent
car_finance_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Car Finance,,
car_lease,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Car Lease Plan,,
hire_purchase_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Hire Purchase,,
retail_finance_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Retail Finance,,closest analogue to Raylo's own product
bnpl,credit_loan_repayments,essential,debt_repayment,true,false,false,high_cost_credit,,BNPL,LOAN_PAYMENTS_BNPL_AND_EWA,
credit_union_repayment,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Credit Unions,,
balance_transfer,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,primary:Balance Transfers,,
loan_repayment_manual,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Manual Repayment,,
loan_repayment_dd,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,Direct Debit Repayments,,
loan_disbursement,credit_loan_repayments,not_applicable,debt_disbursement,true,false,false,none,,,LOAN_DISBURSEMENTS_OTHER ; LOAN_DISBURSEMENTS_PERSONAL ; LOAN_DISBURSEMENTS_STUDENT ; LOAN_DISBURSEMENTS_MORTGAGE_AND_AUTO ; LOAN_DISBURSEMENTS_BNPL_AND_EWA,no Equifax equivalent - borrowing inflow
financial_services_other,credit_loan_repayments,mixed_basket,spend,false,false,false,none,,Financial Services Other ; primary:Financial Services,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES,
loan_repayment_other,credit_loan_repayments,essential,debt_repayment,true,false,false,none,,,LOAN_PAYMENTS_OTHER,
payday_loan,high_cost_distress_credit,essential,debt_repayment,true,false,false,high_cost_credit,,Payday Loans,,
pawnbroker,high_cost_distress_credit,essential,debt_repayment,true,false,false,high_cost_credit,,Pawn Brokers,,
cash_advance,high_cost_distress_credit,essential,debt_repayment,true,false,false,high_cost_credit,,,LOAN_PAYMENTS_CASH_ADVANCES ; LOAN_DISBURSEMENTS_CASH_ADVANCES,
cash_advance_fee,high_cost_distress_credit,not_applicable,fee_or_penalty,false,false,false,distress_fee,,Cash Advance Fees,,
debt_collection,high_cost_distress_credit,essential,debt_repayment,true,false,false,distress_signal,,Debt Collection,,
debt_enforcement,high_cost_distress_credit,essential,debt_repayment,true,false,false,distress_signal,,Marston Holdings,,bailiff/enforcement - MORE SEVERE than debt collection
debt_management_plan,high_cost_distress_credit,essential,debt_repayment,true,false,false,distress_signal,,Debt Management,,
overdraft_unarranged,high_cost_distress_credit,not_applicable,fee_or_penalty,false,false,false,distress_fee,,Unarranged Overdraft,,only 126 txns in Equifax but the GENUINE distress marker
account_misuse,high_cost_distress_credit,not_applicable,fee_or_penalty,false,false,false,distress_signal,,Account Misuse,,
credit_reporting_service,high_cost_distress_credit,discretionary,spend,false,false,false,distress_signal,,Budgeting and Credit Reporting Services,,
money_management_service,high_cost_distress_credit,discretionary,spend,false,false,false,distress_signal,,Money Management,,
gambling_betting,gambling,discretionary,spend,false,false,true,behavioural_risk,,Betting,,FREQUENCY form not persistence
gambling_casino,gambling,discretionary,spend,false,false,true,behavioural_risk,,Poker and Casino Games,,
gambling_bingo,gambling,discretionary,spend,false,false,true,behavioural_risk,,Bingo,,
gambling_lottery,gambling,discretionary,spend,false,false,true,low_stakes_gambling,,Lottery,,HIGHEST-IV gambling subtype 0.0498 - do not aggregate
prize_competitions,gambling,discretionary,spend,false,false,true,low_stakes_gambling,,Competitions,,
gambling_unspecified,gambling,discretionary,spend,false,false,true,behavioural_risk,,primary:Gambling and Betting,ENTERTAINMENT_CASINOS_AND_GAMBLING,Plaid has no gambling subtypes
overdraft_arranged,fees_charges,not_applicable,fee_or_penalty,true,false,false,none,,Arranged Overdraft,BANK_PENALTIES_CASH_ADVANCE_AND_OVERDRAFT_FEES,"NOT distress - arranged overdraft is a normal product, IV 0.0033"
returned_payment,fees_charges,not_applicable,fee_or_penalty,false,false,false,distress_fee,,Returned Payments ; Rejected Payments,BANK_PENALTIES_INSUFFICIENT_AND_LATE_FEES,count BOTH directions - mostly appears as credits
interest_charged,fees_charges,not_applicable,fee_or_penalty,true,false,false,none,,Interest Charge ; primary:Interest Payments,INTEREST_PAYMENTS_INTEREST_CHARGED,
account_charge,fees_charges,not_applicable,fee_or_penalty,false,false,false,none,,Account Charges,BANK_FEES_OTHER_BANK_FEES ; BANK_FEES_ATM ; BANK_FEES_FOREIGN_TRANSACTION_FEES,
credit_card_fee,fees_charges,not_applicable,fee_or_penalty,true,false,false,none,,Credit Card Fees,,
balance_transfer_fee,fees_charges,not_applicable,fee_or_penalty,true,false,false,none,,Balance Transfer Fees,,
money_transfer_fee,fees_charges,not_applicable,fee_or_penalty,false,false,false,none,,Money Transfer Fees,,
bank_charge_other,fees_charges,not_applicable,fee_or_penalty,false,false,false,none,,primary:Bank Charges and Returns,,
savings_transfer,savings_investments,not_applicable,transfer_own_accounts,false,false,false,none,,primary:Savings,TRANSFER_OUT_SAVINGS ; TRANSFER_IN_SAVINGS,
pension_contribution,savings_investments,not_applicable,transfer_own_accounts,false,false,false,none,,primary:Pension,,
investment_general,savings_investments,not_applicable,transfer_own_accounts,false,false,false,none,,Investments ; primary:Investments and Trading,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS ; TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,
investment_trading,savings_investments,not_applicable,transfer_own_accounts,false,false,false,none,,Trading,,
wealth_management,savings_investments,not_applicable,transfer_own_accounts,false,false,false,none,,Wealth Management,,
crypto,savings_investments,not_applicable,transfer_own_accounts,false,false,false,speculative_asset,,Cryptocurrency,,
forex_trading,savings_investments,not_applicable,transfer_own_accounts,false,false,false,speculative_asset,,Forex,,
transfer_own_account,transfers,not_applicable,transfer_own_accounts,false,false,false,none,,primary:Own Transfers,TRANSFER_OUT_CHECKING ; TRANSFER_IN_CHECKING,
transfer_p2p,transfers,not_applicable,p2p_transfer,false,false,false,none,,Transfer Personal,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS ; TRANSFER_IN_TRANSFER_IN_FROM_APPS,possible informal borrowing
transfer_mobile_app,transfers,not_applicable,p2p_transfer,false,false,false,none,,Transfer Mobile App,,
transfer_bank_unspecified,transfers,not_applicable,transfer_own_accounts,false,false,false,none,,Bank Transfer,,"6.5M txns - mechanism known, purpose unknown; ML target"
transfer_international,transfers,not_applicable,p2p_transfer,false,false,false,none,,International Transfer,,regular international transfers may indicate remittance commitment
money_transfer_service,transfers,not_applicable,p2p_transfer,false,false,false,none,,Money Transfers,,
prepaid_card,transfers,not_applicable,transfer_own_accounts,false,false,false,none,,Prepaid Cards,,may indicate unbanked/thin-file behaviour
cheque,transfers,not_applicable,transfer_own_accounts,false,false,false,none,,Cheques,,
card_payment_unspecified,transfers,not_applicable,transfer_own_accounts,false,false,false,none,,Card Payment,,
cash_withdrawal,cash,not_applicable,transfer_own_accounts,false,false,false,visibility_loss,,primary:Cash Machine,TRANSFER_OUT_CHECKS_AND_ATM,FREQUENCY form; downstream spend unobservable
cash_deposit,cash,not_applicable,transfer_own_accounts,false,false,false,visibility_loss,,primary:Cash Deposit,TRANSFER_IN_CHECKS_AND_ATM,
childcare,childcare_education,essential,spend,false,false,false,none,,Childcare,CHILDCARE_AND_EDUCATION_CHILDCARE_AND_EDUCATION,
education_general,childcare_education,essential,spend,false,false,false,none,,General Education ; primary:Education and Learning,,
school_fees,childcare_education,essential,spend,false,false,false,none,,School Fees,,
home_learning,childcare_education,essential,spend,false,false,false,none,,Home Learning,,
driving_tuition,childcare_education,discretionary,spend,false,false,false,none,,Driving Tuition,,
career_services,childcare_education,discretionary,spend,false,false,false,none,,Career Services,,
pet_supplies,pets,discretionary,spend,false,false,false,none,,Pet Accessories,PET_CARE_AND_SUPPLIES_PET_SUPPLIES,
veterinary,pets,essential,spend,false,false,false,none,,Pet Care,PET_CARE_AND_SUPPLIES_VETERINARY_SERVICES,
insurance_pet,pets,discretionary,spend,false,false,false,none,,Pet Insurance,,
pet_other,pets,discretionary,spend,false,false,false,none,,primary:Pets,,
