detailed_category,l1_general_29,l2_budget_17,l3_macro_9,l4_cashflow_7,l5_minimal_4
gadgets,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
camera_photography,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
toys,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
baby_products,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
gifts_flowers,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
stationery,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
vouchers,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
delivery_courier,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
retail_other,general_retail_marketplaces,retail_shopping,discretionary_spend,spend,spend
fuel,transport_motoring,transport_motoring,essential_living,spend,spend
public_transport_rail_coach,transport_motoring,transport_motoring,essential_living,spend,spend
taxi_rideshare,transport_motoring,transport_motoring,essential_living,spend,spend
car_parking,transport_motoring,transport_motoring,essential_living,spend,spend
road_tax,transport_motoring,transport_motoring,essential_living,spend,spend
tolls,transport_motoring,transport_motoring,essential_living,spend,spend
vehicle_maintenance,transport_motoring,transport_motoring,essential_living,spend,spend
vehicle_mot,transport_motoring,transport_motoring,essential_living,spend,spend
vehicle_servicing,transport_motoring,transport_motoring,essential_living,spend,spend
spares_repairs,transport_motoring,transport_motoring,essential_living,spend,spend
carwash,transport_motoring,transport_motoring,essential_living,spend,spend
breakdown_cover,transport_motoring,transport_motoring,essential_living,spend,spend
vehicle_purchase,transport_motoring,transport_motoring,essential_living,spend,spend
car_hire,transport_motoring,transport_motoring,essential_living,spend,spend
bicycle,transport_motoring,transport_motoring,essential_living,spend,spend
transport_other,transport_motoring,transport_motoring,essential_living,spend,spend
flights,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
accommodation,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
holiday_package,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
holiday_uk,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
holiday_rental,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
camping_holiday,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
ferry_rail_travel,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
airport_spend,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
airport_parking,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
foreign_currency,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
foreign_spend_unspecified,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
luggage_travel_goods,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
travel_other,travel_holidays,leisure_lifestyle,discretionary_spend,spend,spend
gaming_console_pc,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
gaming_mobile,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
gaming_online,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
cinema,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
live_music,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
theatre,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
sports_tickets,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
sports_participation,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
sports_equipment,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
camping_equipment,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
days_out,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
experience_days,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
event_planning,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
books,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
newspapers,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
magazines,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
comics,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
physical_media,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
music_other,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
musical_instruments,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
arts_crafts,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
games_puzzles,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
memberships,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
private_members_club,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
adult_entertainment,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
adult_products,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
entertainment_other,entertainment_leisure,leisure_lifestyle,discretionary_spend,spend,spend
streaming,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
software,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
web_services,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
online_services,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
email_services,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
online_dating,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
genealogy_services,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
social_reporting,digital_subscriptions_services,leisure_lifestyle,discretionary_spend,spend,spend
pharmacy,health_medical,health_family_education,essential_living,spend,spend
medicine,health_medical,health_family_education,essential_living,spend,spend
supplements,health_medical,health_family_education,essential_living,spend,spend
dentist,health_medical,health_family_education,essential_living,spend,spend
optician,health_medical,health_family_education,essential_living,spend,spend
hospital,health_medical,health_family_education,essential_living,spend,spend
mental_health_services,health_medical,health_family_education,essential_living,spend,spend
gym_fitness,health_medical,health_family_education,essential_living,spend,spend
weight_loss,health_medical,health_family_education,essential_living,spend,spend
adult_care,health_medical,health_family_education,essential_living,spend,spend
family_services,health_medical,health_family_education,essential_living,spend,spend
funeral,health_medical,health_family_education,essential_living,spend,spend
health_other,health_medical,health_family_education,essential_living,spend,spend
insurance_general,insurance,insurance_protection,essential_living,spend,spend
insurance_motor,insurance,insurance_protection,essential_living,spend,spend
insurance_home,insurance,insurance_protection,essential_living,spend,spend
insurance_life,insurance,insurance_protection,essential_living,spend,spend
insurance_health,insurance,insurance_protection,essential_living,spend,spend
insurance_travel,insurance,insurance_protection,essential_living,spend,spend
insurance_other,insurance,insurance_protection,essential_living,spend,spend
credit_card_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
charge_card_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
revolving_credit_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
personal_loan_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
student_loan_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
car_finance_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
car_lease,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
hire_purchase_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
retail_finance_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
bnpl,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
credit_union_repayment,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
balance_transfer,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
loan_repayment_manual,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
loan_repayment_dd,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
loan_disbursement,credit_loan_repayments,mainstream_credit,credit_repayments,debt_disbursement,debt
financial_services_other,credit_loan_repayments,mainstream_credit,credit_repayments,spend,spend
loan_repayment_other,credit_loan_repayments,mainstream_credit,credit_repayments,debt_repayment,debt
payday_loan,high_cost_distress_credit,distress_credit_fees,distress_and_fees,debt_repayment,debt
pawnbroker,high_cost_distress_credit,distress_credit_fees,distress_and_fees,debt_repayment,debt
cash_advance,high_cost_distress_credit,distress_credit_fees,distress_and_fees,debt_repayment,debt
cash_advance_fee,high_cost_distress_credit,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
debt_collection,high_cost_distress_credit,distress_credit_fees,distress_and_fees,debt_repayment,debt
debt_enforcement,high_cost_distress_credit,distress_credit_fees,distress_and_fees,debt_repayment,debt
debt_management_plan,high_cost_distress_credit,distress_credit_fees,distress_and_fees,debt_repayment,debt
overdraft_unarranged,high_cost_distress_credit,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
account_misuse,high_cost_distress_credit,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
credit_reporting_service,high_cost_distress_credit,distress_credit_fees,distress_and_fees,spend,spend
money_management_service,high_cost_distress_credit,distress_credit_fees,distress_and_fees,spend,spend
gambling_betting,gambling,gambling,gambling,spend,spend
gambling_casino,gambling,gambling,gambling,spend,spend
gambling_bingo,gambling,gambling,gambling,spend,spend
gambling_lottery,gambling,gambling,gambling,spend,spend
prize_competitions,gambling,gambling,gambling,spend,spend
gambling_unspecified,gambling,gambling,gambling,spend,spend
overdraft_arranged,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
returned_payment,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
interest_charged,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
account_charge,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
credit_card_fee,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
balance_transfer_fee,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
money_transfer_fee,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
bank_charge_other,fees_charges,distress_credit_fees,distress_and_fees,fee_or_penalty,debt
savings_transfer,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
pension_contribution,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
investment_general,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
investment_trading,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
wealth_management,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
crypto,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
forex_trading,savings_investments,savings_investments,savings_investments,transfer_own_accounts,transfer
transfer_own_account,transfers,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
transfer_p2p,transfers,transfers_cash,transfers_and_cash,p2p_transfer,transfer
transfer_mobile_app,transfers,transfers_cash,transfers_and_cash,p2p_transfer,transfer
transfer_bank_unspecified,transfers,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
transfer_international,transfers,transfers_cash,transfers_and_cash,p2p_transfer,transfer
money_transfer_service,transfers,transfers_cash,transfers_and_cash,p2p_transfer,transfer
prepaid_card,transfers,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
cheque,transfers,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
card_payment_unspecified,transfers,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
cash_withdrawal,cash,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
cash_deposit,cash,transfers_cash,transfers_and_cash,transfer_own_accounts,transfer
childcare,childcare_education,health_family_education,essential_living,spend,spend
education_general,childcare_education,health_family_education,essential_living,spend,spend
school_fees,childcare_education,health_family_education,essential_living,spend,spend
home_learning,childcare_education,health_family_education,essential_living,spend,spend
driving_tuition,childcare_education,health_family_education,essential_living,spend,spend
career_services,childcare_education,health_family_education,essential_living,spend,spend
pet_supplies,pets,health_family_education,essential_living,spend,spend
veterinary,pets,health_family_education,essential_living,spend,spend
insurance_pet,pets,health_family_education,essential_living,spend,spend
pet_other,pets,health_family_education,essential_living,spend,spend
charitable_donation,charitable_political_giving,leisure_lifestyle,discretionary_spend,spend,spend
charity_shop,charitable_political_giving,leisure_lifestyle,discretionary_spend,spend,spend
political_donation,charitable_political_giving,leisure_lifestyle,discretionary_spend,spend,spend
business_services,business_self_employment,business_self_employment,discretionary_spend,spend,spend
it_services,business_self_employment,business_self_employment,discretionary_spend,spend,spend
accountancy,business_self_employment,business_self_employment,discretionary_spend,spend,spend
legal_services,business_self_employment,business_self_employment,discretionary_spend,spend,spend
advertising_services,business_self_employment,business_self_employment,discretionary_spend,spend,spend
printing_services,business_self_employment,business_self_employment,discretionary_spend,spend,spend
photography_services,business_self_employment,business_self_employment,discretionary_spend,spend,spend
office_supplies,business_self_employment,business_self_employment,discretionary_spend,spend,spend
office_equipment,business_self_employment,business_self_employment,discretionary_spend,spend,spend
business_loan_repayment,business_self_employment,business_self_employment,discretionary_spend,debt_repayment,debt
trade_union,business_self_employment,business_self_employment,discretionary_spend,spend,spend
unclassified_recurring,unclassified,unclassified,unclassified,spend,spend
unclassified_card_spend,unclassified,unclassified,unclassified,spend,spend
unclassified_transfer,unclassified,unclassified,unclassified,spend,spend
financial_institution_unspecified,unclassified,unclassified,unclassified,spend,spend
services_unspecified,unclassified,unclassified,unclassified,spend,spend
adjustment,unclassified,unclassified,unclassified,spend,spend
unclassified_other,unclassified,unclassified,unclassified,spend,spend
